yavstvenno	j a f s t vʲ i n a
gomer	ɡ a mʲ e r
spletavshij	s p lʲ i t a f ʂ i j
usy'novlyajte	u s i n a v lʲ a j tʲ e
l'da	lʲ d a
prozvuchish'	p r a z v u t͡ɕ i ʂ
satirax	s a tʲ i r a x
remiksov	rʲ i mʲ i k s a f
zaleplyayu	z a lʲ i p lʲ a j u
absorbirovaniyami	a p s a r bʲ i r a v a nʲ i j a mʲ i
plavkoyu	p ɫ a f k a j u
zashumit	z a ʂ u mʲ i t
muzhenenavistnichestvam	m u ʐ i nʲ i n a vʲ i sʲ nʲ i t͡ɕ i s t v a m
zolotisty'm	z a ɫ a tʲ i s t i m
katerochkax	k a tʲ i r o t͡ɕ k a x
smeyalos'	s mʲ i j a ɫ a sʲ
zamy'slu	z a m i s ɫ u
semiugol'nika	sʲ i mʲ i u ɡ o lʲ nʲ i k a
prisyagnuvshi	p rʲ i sʲ i ɡ n u f ʂ i
ponosyat	p a n o sʲ a t
izuchites'	i z u t͡ɕ i tʲ i sʲ
pomojkoyu	p a m o j k a j u
angliczizaczieyu	a n ɡ lʲ i t͡s i z a t͡s i j i j u
pry'shhavy'j	p r i ɕː a v i j
usopla	u s o p ɫ a
poletat'	p a lʲ i t a tʲ
ukuty'vayushhij	u k u t i v a j u ɕː i j
muruj	m u r u j
summiruesh'	s u mʲ i r u j i ʂ
sekta	sʲ e k t a
zaklejte	z a k lʲ e j tʲ e
amilazoj	a mʲ i ɫ a z a j
posodejstvovat'	p a s a dʲ e j s t v a v a tʲ
op'yanivshij	a p ⁽ʲ ⁾ j i nʲ i f ʂ i j
zagovarivajtes'	z a ɡ a v a rʲ i v a j tʲ i sʲ
uzhestocheniya	u ʐ i s t a t͡ɕ e nʲ i j a
raspravax	r a s p r a v a x
letny'j	lʲ e t n i j
dubu	d u b u
zagadit	z a ɡ a dʲ i t
propitajtes'	p r a pʲ i t a j tʲ i sʲ
otschyotax	a t͡ɕ ɕː o t a x
desniczu	dʲ i sʲ nʲ i t͡s u
obuevala	a b u j i v a ɫ a
vertlug	vʲ i r t ɫ u k
navevavshij	n a vʲ i v a f ʂ i j
poligrafiyax	p a lʲ i ɡ r a fʲ i j a x
zapadaesh'	z a p a d a j i ʂ
dozreyu	d a z rʲ e j u
vzy'skivaete	v z i s kʲ i v a j i tʲ e
iz''yanami	i z j a n a mʲ i
metafiziku	mʲ i t a fʲ i zʲ i k u
veseleesh'	vʲ i sʲ i lʲ e j i ʂ
texnokratiyu	tʲ i x n a k r a tʲ i j u
prigorodom	p rʲ i ɡ a r a d a m
pionerov	pʲ i a nʲ e r a f
poruchitel'stvom	p a r u t͡ɕ i tʲ i lʲ s t v a m
gost'yax	ɡ o sʲ tʲ j a x
podtyagivayus'	p a tʲː a ɡʲ i v a j u sʲ
prischity'vaj	p rʲ i ɕː i t i v a j
ottayalo	a t a j i ɫ a
opushalas'	a p u ʂ a ɫ a sʲ
poklonnichestvo	p a k ɫ o nʲ i t͡ɕ i s t v a
ablautov	a b ɫ a u t a f
otekayu	a tʲ i k a j u
stipendij	sʲ tʲ i pʲ e nʲ dʲ i j
kromkoj	k r o m k a j
vlyapalsya	v lʲ a p a ɫ s ⁽ʲ ⁾ a
uverovat'	u vʲ e r a v a tʲ
tusknevshi	t u s k nʲ e f ʂ i
prokaly'vaesh'	p r a k a ɫ i v a j i ʂ
skonfuzyat	s k a n f u zʲ a t
izvinyali	i z vʲ i nʲ a lʲ i
pofigizmami	p a fʲ i ɡʲ i z m a mʲ i
murzikami	m u r zʲ i k a mʲ i
rekvizicziyami	rʲ i k vʲ i zʲ i t͡s i j a mʲ i
administracziyax	a d mʲ i nʲ i s t r a t͡s i j a x
ottashhila	a t a ɕː i ɫ a
srodnivshij	s r a dʲ nʲ i f ʂ i j
nedolyublivajte	nʲ i d a lʲ u b lʲ i v a j tʲ e
mnozhitsya	m n o ʐ i t͡s a
nardy'	n a r d i
isteki	i sʲ tʲ i kʲ i
pravooxranitel'ny'j	p r a v a a x r a nʲ i tʲ i lʲ n i j
vy'skablivaya	v i s k a b lʲ i v a j a
audite	a u dʲ i tʲ e
obvil	a b vʲ i ɫ
shepnuv	ʂ i p n u f
gorkoj	ɡ o r k a j
fleksijny'j	f lʲ i k sʲ i j n i j
svyatoyu	s vʲ i t o j u
kastan'ety'	k a s t a nʲ j e t i
podejstvovat'	p a dʲ e j s t v a v a tʲ
kebabax	kʲ i b a b a x
ozhivlyajtes'	a ʐ i v lʲ a j tʲ i sʲ
osklablyayu	a s k ɫ a b lʲ a j u
uklonenii	u k ɫ a nʲ e nʲ i i
adekvatnostyax	a d i k v a t n a sʲ tʲ a x
analiziruet	a n a lʲ i zʲ i r u j i t
lososya	ɫ a s o sʲ a
babosam	b a b o s a m
vosstanut	v a s t a n u t
krasiv	k r a sʲ i f
chajkovskij	t͡ɕ i j k o f s kʲ i j
asinxronny'j	a sʲ i n x r o n i j
mirovy'mi	mʲ i r a v i mʲ i
vakansiyu	v a k a n ⁽ʲ ⁾ sʲ i j u
vodyanogo	v a dʲ i n o v a
obrosshij	a b r o ʂ i j
tekilax	tʲ i kʲ i ɫ a x
nasazhdavshi	n a s a ʐ d a f ʂ i
disketax	dʲ i s kʲ e t a x
priplyasy'vat'	p rʲ i p lʲ a s i v a tʲ
plesh'	p lʲ e ʂ
pred''yavitsya	p rʲ i d j a vʲ i t͡s a
