адрас	a d r a s
шклянка	ʂ k lʲ a n k a
але	a lʲ e
падручнік	p a d r u t͡ʂ nʲ i k
шкло	ʂ k ɫ o
краіна	k r a j i n a
сэрца	s e r t͡s a
незалежнасць	nʲ e z a lʲ e ʐ n a sʲ t͡sʲ
колькі	k o lʲ kʲ i
менск	mʲ e n s k
учора	u t͡ʂ o r a
перад	pʲ e r a t
выдаць	v ɨ d a t͡sʲ
валянцін	v a lʲ a nʲ t͡sʲ i n
скасаваць	s k a s a v a t͡sʲ
дзікі	d͡zʲ i kʲ i
аўтар	a u̯ t a r
дом	d o m
нідзе	nʲ i d͡zʲ e
свет	sʲ vʲ e t
творчы	t v o r t͡ʂ ɨ
рэспубліка	r e s p u b lʲ i k a
цэлы	t͡s e ɫ ɨ
ўплыў	w p ɫ ɨ u̯
дзіця	d͡zʲ i t͡sʲ a
любіць	lʲ u bʲ i t͡sʲ
ісус	j i s u s
гнаць	ɣ n a t͡sʲ
кіно	kʲ i n o
бурак	b u r a k
полымя	p o ɫ ɨ mʲ a
бізнэс	bʲ i z n e s
зваць	z v a t͡sʲ
дровы	d r o v ɨ
дзевяць	d͡zʲ e vʲ a t͡sʲ
як	j a k
двое	d v o j e
непасрэдны	nʲ e p a s r e d n ɨ
варшава	v a r ʂ a v a
сена	sʲ e n a
сусед	s u sʲ e t
ложак	ɫ o ʐ a k
перажыць	pʲ e r a ʐ ɨ t͡sʲ
ірак	j i r a k
расейскі	r a sʲ e j s kʲ i
галава	ɣ a ɫ a v a
тэлефон	t e lʲ e f o n
жыццё	ʐ ɨ t͡sʲː o
радыё	r a d ɨ j o
ніна	nʲ i n a
пачаць	p a t͡ʂ a t͡sʲ
напрыклад	n a p r ɨ k ɫ a t
зямля	zʲ a m lʲ a
любы	lʲ u b ɨ
вячорка	vʲ a t͡ʂ o r k a
ужо	u ʐ o
птушка	p t u ʂ k a
гэты	ɣ e t ɨ
пачацца	p a t͡ʂ a t͡sː a
пераклад	pʲ e r a k ɫ a t
ездзіць	j e z d͡zʲ i t͡sʲ
забараняць	z a b a r a nʲ a t͡sʲ
параўнаць	p a r a u̯ n a t͡sʲ
нага	n a ɣ a
раіць	r a j i t͡sʲ
праца	p r a t͡s a
іх	j i x
адпачынак	a t p a t͡ʂ ɨ n a k
хто	x t o
будаваць	b u d a v a t͡sʲ
план	p ɫ a n
просты	p r o s t ɨ
мінск	mʲ i n s k
палец	p a lʲ e t͡s
адпачываць	a t p a t͡ʂ ɨ v a t͡sʲ
старшыня	s t a r ʂ ɨ nʲ a
лідзія	lʲ i d͡zʲ i j a
руская	r u s k a j a
забіваць	z a bʲ i v a t͡sʲ
капейка	k a pʲ e j k a
пуцін	p u t͡sʲ i n
блакітны	b ɫ a kʲ i t n ɨ
стол	s t o ɫ
крыху	k r ɨ x u
крэсла	k r e s ɫ a
наступны	n a s t u p n ɨ
гонар	ɣ o n a r
малады	m a ɫ a d ɨ
мець	mʲ e t͡sʲ
абавязак	a b a vʲ a z a k
здаровы	z d a r o v ɨ
рэч	r e t͡ʂ
свабодны	s v a b o d n ɨ
ўсё	w sʲ o
гандаль	ɣ a n d a lʲ
берлін	bʲ e r lʲ i n
праграма	p r a ɣ r a m a
мастацтва	m a s t a t͡s t v a
аляксей	a lʲ a k sʲ e j
антаніна	a n t a nʲ i n a
беларуска	bʲ e ɫ a r u s k a
лукашэнка	ɫ u k a ʂ e n k a
прадаваць	p r a d a v a t͡sʲ
заставацца	z a s t a v a t͡sː a
калена	k a lʲ e n a
дакладны	d a k ɫ a d n ɨ
статкевіч	s t a t kʲ e vʲ i t͡ʂ
нікарагуа	nʲ i k a r a ɣ u a
факт	f a k t
выбар	v ɨ b a r
хтосьці	x t o sʲ t͡sʲ i
плошча	p ɫ o ʂ t͡ʂ a
неабходны	nʲ e a p x o d n ɨ
верагодны	vʲ e r a ɣ o d n ɨ
жанчыны	ʐ a n t͡ʂ ɨ n ɨ
старонка	s t a r o n k a
служба	s ɫ u ʐ b a
прыняць	p r ɨ nʲ a t͡sʲ
шкодны	ʂ k o d n ɨ
значыць	z n a t͡ʂ ɨ t͡sʲ
грамадзянін	ɣ r a m a d͡zʲ a nʲ i n
каліноўскі	k a lʲ i n o u̯ s kʲ i
тайна	t a j n a
адзін	a d͡zʲ i n
будзем	b u d͡zʲ e m
дачка	d a t͡ʂ k a
рахунак	r a x u n a k
ўвесну	w vʲ e s n u
каб	k a p
сад	s a t
ганьба	ɣ a nʲ b a
радкевіч	r a t kʲ e vʲ i t͡ʂ
выкарыстоўваць	v ɨ k a r ɨ s t o u̯ v a t͡sʲ
вайна	v a j n a
забастоўка	z a b a s t o u̯ k a
хваля	x v a lʲ a
тамара	t a m a r a
дзякуй	d͡zʲ a k u j
прынамсі	p r ɨ n a m sʲ i
іосіф	j i o sʲ i f
бог	b o x
народны	n a r o d n ɨ
артур	a r t u r
сёстры	sʲ o s t r ɨ
лёд	lʲ o t
ёсць	j o sʲ t͡sʲ
