অঁকোল	ɔ k o l
অকর্তা	ɔ k ɔ ɹ t̪ a
অকর্মা	ɔ k ɔ ɹ m a
অকলঙ্কিনী	ɔ k ɔ l o ŋ k i n i
অকল্পিত	ɔ k o l p i t̪ o
অকষ্টবদ্ধ	ɔ k ɔ ʃ ʈ o b ɔ d̪ d̪ʰ o
অকার্যকরী	ɔ k a ɾ d͡ʒ ɔ k ɔ ɾ i
অকাল	ɔ k a l
অকুস্থল	o k u s t̪ʰ ɔ l
অকৃপণতা	ɔ k r i p ɔ n ɔ t̪ a
অকৃষ্টপচ্য	ɔ k r i ʃ ʈ o p o c c o
অক্টোপাস	ɔ k t o p a ʃ
অক্রিয়া	ɔ k k r iʲ a
অক্লেশে	ɔ k k l e ʃ e
অক্ষতশরীরে	ɔ k kʰ ɔ t̪ o ʃ o r i r e
অক্ষার	ɔ k kʰ a r
অক্ষুব্ধ	ɔ k kʰ u b d̪ʱ o
অক্সিডেশন	ɔ k ʃ i ɖ e ʃ ɔ n
অগম্যা	ɔ ɡ o m m a
অগস্ট	ɔ ɡ ɔ s t
অগ্নিকুণ্ড	ɔ ɡ n i k u n d o
অগ্নিগর্ভ	o ɡ n i ɡ ɔ r bʱ o
অগ্নিতপ্ত	o ɡ n i t̪ ɔ p t̪ o
অগ্নিদাহ	o ɡ n i d̪ a h o
অগ্নিবর্ষী	o ɡ n i b o r ʃ i
অগ্নিবৃষ্টি	o ɡ n i b r i ʃ ʈ i
অগ্নিযুগ	o ɡ n i ɟ u ɡ
অগ্নিহোত্রী	o ɡ n i h o t̪ t̪ r i
অগ্ন্যুদ্গার	o ɡ n u d̪ ɡ a r
অগ্ন্যুদ্‌গার	o ɡ n u d̪ ɡ a r
অঙ্কস্থিত	ɔ ŋ k o s t̪ʰ i t̪ o
অঙ্গ	ɔ ŋ ɡ o
অঙ্গার	ɔ ŋ ɡ a r
অজগর	ɔ d͡ʒ ɔ ɡ ɔ ɾ
অঞ্চল	ɔ n t ʃ ɔ l
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ ɔ b ɑ
অনুরাগ	o n u ɹ a ɡ
অনেক	ɔ n e k
অন্ন	ɔ nː ɔ
অন্যায়	ɔ n n ɛ e̯
অপারেশন	ɔ p ɑ ɾ e ʃ ɔ n
অভিনেতা	ɔ bʱ i n e t̪ a
অমার্জনীয়	ɔ m ɑ ɾ d͡ʒ ɔ n i ɔ
