oঁkol̪	ɔ k o l
okɔrt̪a	ɔ k ɔ ɹ t̪ a
okɔrma	ɔ k ɔ ɹ m a
okɔl̪ɔŋkin̪i	ɔ k ɔ l o ŋ k i n i
okɔl̪pit̪	ɔ k o l p i t̪ o
okɔʂtɔbɔd̪d̪̤ɔ	ɔ k ɔ ʃ ʈ o b ɔ d̪ d̪ʰ o
okard͡zɔkɔri	ɔ k a ɾ d͡ʒ ɔ k ɔ ɾ i
okal̪	ɔ k a l
okus̪t̪ʰɔl̪ɔ	o k u s t̪ʰ ɔ l
okɽipɔnɔt̪a	ɔ k r i p ɔ n ɔ t̪ a
okɽiʂtɔpɔt͡ɕd͡zɔ	ɔ k r i ʃ ʈ o p o c c o
oktopas̪	ɔ k t o p a ʃ
okrie̯a	ɔ k k r iʲ a
okl̪eɕe	ɔ k k l e ʃ e
okʂɔt̪ɔɕɔrire	ɔ k kʰ ɔ t̪ o ʃ o r i r e
okʂar	ɔ k kʰ a r
okʂubd̪̤ɔ	ɔ k kʰ u b d̪ʱ o
oks̪ideɕɔn̪ɔ	ɔ k ʃ i ɖ e ʃ ɔ n
oɡɔmd͡za	ɔ ɡ o m m a
oɡɔs̪tɔ	ɔ ɡ ɔ s t
oɡn̪ikundɔ	ɔ ɡ n i k u n d o
oɡn̪iɡɔrb̤ɔ	o ɡ n i ɡ ɔ r bʱ o
oɡn̪it̪ɔpt̪ɔ	o ɡ n i t̪ ɔ p t̪ o
oɡn̪id̪ahɔ	o ɡ n i d̪ a h o
oɡn̪ibɔrʂi	o ɡ n i b o r ʃ i
oɡn̪ibɽiʂti	o ɡ n i b r i ʃ ʈ i
oɡn̪id͡zuɡ	o ɡ n i ɟ u ɡ
oɡn̪ihot̪ri	o ɡ n i h o t̪ t̪ r i
oɡɔn̪d͡zud̪ɡar	o ɡ n u d̪ ɡ a r
oɡɔn̪d͡zud̪‌ɡar	o ɡ n u d̪ ɡ a r
oŋkɔs̪t̪ʰit̪	ɔ ŋ k o s t̪ʰ i t̪ o
oŋɡɔ	ɔ ŋ ɡ o
oŋɡar	ɔ ŋ ɡ a r
od͡ʑɔɡɔrɔ	ɔ d͡ʒ ɔ ɡ ɔ ɾ
ont͡ɕɔl̪ɔ	ɔ n t ʃ ɔ l
ot̪imɔŋɡɔl̪d͡zɔ	o t i m o ŋ ɡ o lː ɔ
ot̪ʰɔt͡ɕɔ	ɔ t̪ʰ ɔ t͡ʃ o
ot̪ʰba	ɔ t̪ʰ ɔ b ɑ
on̪uraɡ	o n u ɹ a ɡ
on̪ek	ɔ n e k
on̪n̪ɔ	ɔ nː ɔ
on̪d͡zae̯	ɔ n n ɛ e̯
opareɕɔn̪ɔ	ɔ p ɑ ɾ e ʃ ɔ n
ob̤in̪et̪a	ɔ bʱ i n e t̪ a
omard͡ʑɔn̪ie̯	ɔ m ɑ ɾ d͡ʒ ɔ n i ɔ
orɔnd͡zɔ	ɔ ɾ o nː o
ort̪ʰat̪	ɔ r t̪ʰ a t̪
orpit̪a	ɔ ɹ p i t̪ a
oɕn̪i	ɔ ʃ o n i
oɕikʂit̪	ɔ ʃ i kʰː i t̪ o
oɕot̪	ɔ ʃ o t
os̪us̪t̪ʰɔ	ɔ ʃ u s tʰ ɔ
ohɔrɔhɔ	ɔ ɦ ɔ ɾ ɔ ɦ ɔ
aঁi	ã i
aঁs̪ɔ	a ʃ
aŋɕik	a ŋ ʃ i k
aid͡ʑ	a i z
aid͡ʑkail̪	a i z k a i l
aid͡ʑko	a i z k ɔ
aid͡ʑd͡za	a i d͡ʑ d͡ʑ a
akʰbar	a kʰ b a ɹ
aɡun̪	a ɡ u n
aɡrabad̪	a ɡ ɾ a b a d
ad͡ʑ	a d ʒ
ad͡ʑɔbɔ	a d ʒ o b
ant͡ɕɔl̪ik	a n t ʃ ɔ l i k
ant͡ɕɔl̪ikt̪a	a n t ʃ ɔ l i k ɔ t̪ a
ada	a d̺ a
aɽ̤	a ɾ
anda	a ɳ ɖ a
at̪ka	a t̪ k a
at̪ɔɕɔ	a t̪ o ʃ
ad̪ɔmɔɕumar	ɑ d̪ ɔ m ʃ u m ɑ ɾ
ad̪eɕ	ɑ d̪ e ʃ
an̪t̪ɔrd͡ʑat̪ik	a n t̪ ɔ ɹ d ʑ a t̪ i k
an̪t̪ɔrd͡ʑal̪	ɑ n t̪ ɔ ɾ d͡ʒ ɑ l
an̪d̪̤air	a n d̪ʱ a i ɾ
apn̪ake	a p n a k e
apn̪ad̪er	a p n a d̪ e ɹ
apn̪e	a p n e
apa	a p a
abɔhaoe̯a	a b o h a w a
abir	ä b i ɾ
abeɡ	a b e ɡ
abbu	a b b u
amɽa	a m ɽ a
amrar	a m ɾ a ɾ
amɔl̪ɔki	a m l o k i
amaɡɔrɔ	a m a ɡ ɔ ɾ
amad̪er	ɑ m ɑ d e r
amar	ɑː m ɑ ɹ
amme	a m m e
ard͡ʑuman̪d̪ɔ	a ɹ d ʑ u m a n
ard͡ʑi	a ɹ d ʑ i
art̪ɔbɔ	ɑ ɾ t̪ ɔ b
al̪ap	a l a p
al̪em	a l e m
al̪o	a l o
al̪okɔrɔɕmi	a l o k r o ʃ m i
aɕot̪	a ʃ o t
aʂtɔ	a ʃ t̺ ɔ
as̪am	a s a m
as̪iɸ	a s i f
as̪t̪e	a s t̪ e
iŋred͡ʑi	i ŋ ɹ e d ʑ i
ikue̯edɔrɔ	i k u̯ e d ɔ ɹ
iɡa	i ɡ a
itan̪o	i ʈ a n o
ida	i d̺ a
in̪	i n
in̪kil̪ab	i n k i l ɑ b
in̪kil̪abi	i n k i l ɑ b i
in̪ɕaal̪l̪ah	i n ʃ a a l l aʱ
in̪d̪u	i n d̪ u
ie̯an̪	i a n
il̪iɕ	i l i ʃ
is̪pat̪	i ʃ p a t̪
iɡɔl̪ɔ	i ɡ ɔ l
ukka	u k k a
uŋ̤ɡ̤an̪o	u ŋ ɡʱ a n ɔ
ud̪in̪	u d̪ i n
un̪d̪ur	u n d̪ u ɾ
upas̪n̪a	u p a ʃ ɔ n a
ue̯as̪	u a ʃ
ul̪ka	u l k ɐ
ul̪ki	u l k i
uʂnɔ	u ʃ n o
ut̪ɔpɔt̪t̪i	u t̪ p ɔ t̪ː i
ɽit̪u	ɾ i t̪ u
ɽiʂi	r i ʃ i
ekd͡ʑibiɕɔn̪ɔ	e k d͡ʒ i b i ʃ ɔ n
ekʰɔn̪ɔ	æ kʰ ɔ n
ekʰn̪o	æ kʰ ɔ n o
eti	e t i
ebe	e b e
el̪aka	e l a k a
es̪rad͡ʑ	e s ɹ a d ʑ
ojt̪ihas̪ik	o i t̪ i ɦ ɑ s i k
otʰa	o ʈʰ a
od̪er	ɔː ð ɛ ɹ
oɸat̪	o f a t̪
oe̯ad̪a	w a d a
kɔks̪ɔbad͡ʑar	k ɔ k ʃ ɔ b a d ʑ a ɹ
kɔkʰɔn̪ɔ	k ɒ kʰ ɒ n
kɔkʰɔn̪o	k ɔ kʰ ɔ n o
kɔtʰin̪	k ɔ ʈʰ i n
kɔt̪ɔ	k ɔ t̪ o
kɔd̪ɔmɔ	k ɔ d ɔ m
kɔd̪at͡ɕit̪	k ɔ d̪ ɑ t͡ʃ i t̪
kɔd̪u	k o d̪ u
kɔn̪ɔkɔt͡ɕɔ̃pa	k ɔ n ɔ k c ã p a
kɔn̪dɔmɔ	k ɔ n ɖ ɔ m
kɔɸɔ	k ɔ pʰ
kɔbut̪ɔrɔ	k o b u t̪ ɔ r
