холандски	x o ɫ a n t s kʲ i
браташ	b r ɐ t a ʃ
овластителен	o v ɫ ɐ s t i t ɛ lʲ ɛ n
саламандър	s ɐ ɫ ɐ m a n d ɐ r
легла	lʲ ɛ ɡ ɫ a
лакът	ɫ a k ɐ t
липа	lʲ i p a
съзра	s ɐ z r ɤ
състояние	s ɐ s t o j a n i ɛ
викам	v i k ɐ m
хидроелектричен	xʲ i d r o ɛ lʲ ɛ k t r i t͡ʃ ɛ n
диона	d i ɔ n ɐ
събудя	s ɐ b u dʲ ɐ
хомосексуалистка	x ɔ m o s ɛ k s u ɐ lʲ i s k ɐ
морелетник	m o r ɛ lʲ ɛ t n i k
панпсихизъм	p ɐ n p s i xʲ i z ɐ m
абанос	ɐ b ɐ n ɔ s
кои	k o i
улица	u lʲ i t͡s ɐ
вашта	v a ʃ t ɐ
туркменистан	t u r k m ɛ n i s t a n
къжлица	k ɐ ʒ lʲ i t͡s ɐ
бида	b i d ɐ
материя	m ɐ t ɛ r i j ɐ
узаконяваха	u z ɐ k o nʲ a v ɐ x ɐ
зрян	z rʲ a n
лавка	ɫ a f k ɐ
андора	ɐ n d ɔ r ɐ
стръмнина	s t r ɐ m n i n a
работилница	r ɐ b o t i ɫ n i t͡s ɐ
съобщавам	s ɐ o p ʃ t a v ɐ m
върху	v ɐ r x u
съветвам	s ɐ v ɛ t v ɐ m
драка	d r a k ɐ
цезий	t͡s ɛ z i
начало	n ɐ t͡ʃ a ɫ o
протека	p r o t ɛ k ɤ
париж	p ɐ r i ʃ
примирам	p r i m i r ɐ m
галба	ɡ ɐ ɫ b a
щирица	ʃ t i r i t͡s ɐ
въстание	v ɐ s t a n i ɛ
художник	x u d ɔ ʒ n i k
доверчив	d o v ɛ r t͡ʃ i f
чешма	t͡ʃ ɛ ʃ m a
успех	u s p ɛ x
катерица	k a t ɛ r i t͡s ɐ
трепетлика	t r ɛ p ɛ t lʲ i k ɐ
видра	v i d r ɐ
врабче	v r ɐ p t͡ʃ ɛ
светлосянка	s v ɛ t ɫ o sʲ a n k ɐ
щастие	ʃ t a s t i ɛ
живот	ʒ i v ɔ t
проститутка	p r o s t i t u t k ɐ
крехък	k r ɛ x ɐ k
сивкав	s i f k ɐ f
модел	m o d ɛ ɫ
липък	lʲ i p ɐ k
случаен	s ɫ u t͡ʃ ɐ ɛ n
ароматен	ɐ r o m a t ɛ n
мързел	m ɤ r z ɛ ɫ
кое	k o ɛ
платя	p ɫ ɐ tʲ ɤ
цербер	t͡s ɛ r b ɛ r
печален	p ɛ t͡ʃ a lʲ ɛ n
брания	b r a n i j ɐ
първи	p ɤ r v i
зарист	z ɐ r i s t
албания	ɐ ɫ b a n i j ɐ
върша	v ɐ r ʃ a
занимая	z ɐ n i m a j ɐ
абдикиралия	ɐ b d i kʲ i r ɐ lʲ i j ɐ
ама	a m ɐ
как	k a k
декември	d ɛ kʲ ɛ m v r i
забождам	z ɐ b ɔ ʒ d ɐ m
минск	m i n s k
изпея	i s p ɛ j ɐ
стреме	s t r ɛ m ɛ
абсолютен	ɐ p s o lʲ u t ɛ n
селекционен	s ɛ lʲ ɛ k t͡s i ɔ n ɛ n
чуващ	t͡ʃ u v ɐ ʃ t
слава	s ɫ a v ɐ
смрад	s m r a t
хамбургер	x a m b u r ɡʲ ɛ r
крава	k r a v ɐ
ему	ɛ m u
мускулен	m u s k u lʲ ɛ n
ловец	ɫ o v ɛ t͡s
мръсен	m r ɤ s ɛ n
гангстер	ɡ a n k s t ɛ r
кур	k u r
мойто	m ɔ j t o
явен	j a v ɛ n
немкиня	n ɛ m kʲ i nʲ ɐ
светлана	s v ɛ t ɫ a n ɐ
опера	ɔ p ɛ r ɐ
черква	t͡ʃ ɛ r k v ɐ
околен	o k ɔ lʲ ɛ n
паткан	p ɐ t k a n
представям	p r ɛ t s t a vʲ ɐ m
холмий	x ɔ ɫ m i
какъвто	k ɐ k ɤ f t o
алка	a ɫ k ɐ
бижу	b i ʒ u
узаконили	u z ɐ k o n i lʲ i
социален	s o t͡s i a lʲ ɛ n
дъх	d ɤ x
гуждам	ɡ u ʒ d ɐ m
изслушам	i s ɫ u ʃ ɐ m
езичен	ɛ z i t͡ʃ ɛ n
вървите	v ɐ r v i t ɛ
склонен	s k ɫ ɔ n ɛ n
върволяк	v ɐ r v o lʲ a k
тъкан	t ɐ k a n
рай	r a j
панкреатит	p ɐ n k r ɛ ɐ t i t
хладък	x ɫ a d ɐ k
добре	d o b r ɛ
легален	lʲ ɛ ɡ a lʲ ɛ n
алармен	ɐ ɫ a r m ɛ n
възголям	v ɐ z ɡ o lʲ a m
кюлоти	kʲ u ɫ ɔ t i
хамбар	x ɐ m b a r
зърнест	z ɤ r n ɛ s t
нос	n ɔ s
възсин	v ɐ s s i n
побеждавам	p o b ɛ ʒ d a v ɐ m
прага	p r a ɡ ɐ
едноличен	ɛ d n o lʲ i t͡ʃ ɛ n
подпиша	p o t p i ʃ ɐ
височина	v i s o t͡ʃ i n a
наредба	n ɐ r ɛ d b ɐ
прахоляк	p r ɐ x o lʲ a k
зло	z ɫ ɔ
кожа	k ɔ ʒ ɐ
бахър	b a x ɐ r
яд	j a t
кълва	k ɐ ɫ v a
издател	i z d a t ɛ ɫ
напластяване	n ɐ p ɫ ɐ s tʲ a v ɐ n ɛ
продам	p r o d a m
членувана	t͡ʃ lʲ ɛ n u v ɐ n ɐ
изгреба	i z ɡ r ɛ b ɐ
държава	d ɐ r ʒ a v ɐ
изучаем	i z u t͡ʃ a ɛ m
кошара	k o ʃ a r ɐ
пеганка	p ɛ ɡ a n k ɐ
кожарница	k o ʒ a r n i t͡s ɐ
икона	i k ɔ n ɐ
ядяхте	j a dʲ a x t ɛ
затворен	z ɐ t v ɔ r ɛ n
свойство	s v ɔ j s t v o
абдоминалния	ɐ b d o m i n a ɫ n i j ɐ
гледам	ɡ lʲ ɛ d ɐ m
поп	p ɔ p
история	i s t ɔ r i j ɐ
повтор	p o f t ɔ r
данък	d a n ɐ k
граната	ɡ r ɐ n a t ɐ
предприемач	p r ɛ t p r i ɛ m a t͡ʃ
каца	k a t͡s ɐ
абонаментен	ɐ b o n ɐ m ɛ n t ɛ n
бекон	b ɛ k ɔ n
технеций	t ɛ x n ɛ t͡s i
кокоши	k o k ɔ ʃ i
пропаст	p r ɔ p ɐ s t
авиобомба	a v i o b ɔ m b ɐ
прекален	p r ɛ k ɐ lʲ ɛ n
кофа	k ɔ f ɐ
чия	t͡ʃ i j a
вашия	v a ʃ i j ɐ
забележа	z ɐ b ɛ lʲ ɛ ʒ ɐ
щъркел	ʃ t ɤ r kʲ ɛ ɫ
резултат	r ɛ z u ɫ t a t
