holandski	x o ɫ a n t s kʲ i
bratash	b r ɐ t a ʃ
ovlastitelen	o v ɫ ɐ s t i t ɛ lʲ ɛ n
salamandăr	s ɐ ɫ ɐ m a n d ɐ r
legla	lʲ ɛ ɡ ɫ a
lakăt	ɫ a k ɐ t
lipa	lʲ i p a
săzra	s ɐ z r ɤ
săstoyanie	s ɐ s t o j a n i ɛ
vikam	v i k ɐ m
hidroelektrichen	xʲ i d r o ɛ lʲ ɛ k t r i t͡ʃ ɛ n
diona	d i ɔ n ɐ
săbudya	s ɐ b u dʲ ɐ
homoseksualistka	x ɔ m o s ɛ k s u ɐ lʲ i s k ɐ
moreletnik	m o r ɛ lʲ ɛ t n i k
panpsihizăm	p ɐ n p s i xʲ i z ɐ m
abanos	ɐ b ɐ n ɔ s
koi	k o i
ulitsa	u lʲ i t͡s ɐ
vashta	v a ʃ t ɐ
turkmenistan	t u r k m ɛ n i s t a n
kăzhlitsa	k ɐ ʒ lʲ i t͡s ɐ
bida	b i d ɐ
materiya	m ɐ t ɛ r i j ɐ
uzakonyavaha	u z ɐ k o nʲ a v ɐ x ɐ
zryan	z rʲ a n
lavka	ɫ a f k ɐ
andora	ɐ n d ɔ r ɐ
strămnina	s t r ɐ m n i n a
rabotilnitsa	r ɐ b o t i ɫ n i t͡s ɐ
săobshtavam	s ɐ o p ʃ t a v ɐ m
vărhu	v ɐ r x u
săvetvam	s ɐ v ɛ t v ɐ m
draka	d r a k ɐ
tseziy	t͡s ɛ z i
nachalo	n ɐ t͡ʃ a ɫ o
proteka	p r o t ɛ k ɤ
parizh	p ɐ r i ʃ
primiram	p r i m i r ɐ m
galba	ɡ ɐ ɫ b a
shtiritsa	ʃ t i r i t͡s ɐ
văstanie	v ɐ s t a n i ɛ
hudozhnik	x u d ɔ ʒ n i k
doverchiv	d o v ɛ r t͡ʃ i f
cheshma	t͡ʃ ɛ ʃ m a
uspeh	u s p ɛ x
kateritsa	k a t ɛ r i t͡s ɐ
trepetlika	t r ɛ p ɛ t lʲ i k ɐ
vidra	v i d r ɐ
vrabche	v r ɐ p t͡ʃ ɛ
svetlosyanka	s v ɛ t ɫ o sʲ a n k ɐ
shtastie	ʃ t a s t i ɛ
zhivot	ʒ i v ɔ t
prostitutka	p r o s t i t u t k ɐ
krehăk	k r ɛ x ɐ k
sivkav	s i f k ɐ f
model	m o d ɛ ɫ
lipăk	lʲ i p ɐ k
sluchaen	s ɫ u t͡ʃ ɐ ɛ n
aromaten	ɐ r o m a t ɛ n
mărzel	m ɤ r z ɛ ɫ
koe	k o ɛ
platya	p ɫ ɐ tʲ ɤ
tserber	t͡s ɛ r b ɛ r
pechalen	p ɛ t͡ʃ a lʲ ɛ n
braniya	b r a n i j ɐ
părvi	p ɤ r v i
zarist	z ɐ r i s t
albaniya	ɐ ɫ b a n i j ɐ
vărsha	v ɐ r ʃ a
zanimaya	z ɐ n i m a j ɐ
abdikiraliya	ɐ b d i kʲ i r ɐ lʲ i j ɐ
ama	a m ɐ
kak	k a k
dekemvri	d ɛ kʲ ɛ m v r i
zabozhdam	z ɐ b ɔ ʒ d ɐ m
minsk	m i n s k
izpeya	i s p ɛ j ɐ
streme	s t r ɛ m ɛ
absolyuten	ɐ p s o lʲ u t ɛ n
selektsionen	s ɛ lʲ ɛ k t͡s i ɔ n ɛ n
chuvasht	t͡ʃ u v ɐ ʃ t
slava	s ɫ a v ɐ
smrad	s m r a t
hamburger	x a m b u r ɡʲ ɛ r
krava	k r a v ɐ
emu	ɛ m u
muskulen	m u s k u lʲ ɛ n
lovets	ɫ o v ɛ t͡s
mrăsen	m r ɤ s ɛ n
gangster	ɡ a n k s t ɛ r
kur	k u r
moyto	m ɔ j t o
yaven	j a v ɛ n
nemkinya	n ɛ m kʲ i nʲ ɐ
svetlana	s v ɛ t ɫ a n ɐ
opera	ɔ p ɛ r ɐ
cherkva	t͡ʃ ɛ r k v ɐ
okolen	o k ɔ lʲ ɛ n
patkan	p ɐ t k a n
predstavyam	p r ɛ t s t a vʲ ɐ m
holmiy	x ɔ ɫ m i
kakăvto	k ɐ k ɤ f t o
alka	a ɫ k ɐ
bizhu	b i ʒ u
uzakonili	u z ɐ k o n i lʲ i
sotsialen	s o t͡s i a lʲ ɛ n
dăh	d ɤ x
guzhdam	ɡ u ʒ d ɐ m
izslusham	i s ɫ u ʃ ɐ m
ezichen	ɛ z i t͡ʃ ɛ n
vărvite	v ɐ r v i t ɛ
sklonen	s k ɫ ɔ n ɛ n
vărvolyak	v ɐ r v o lʲ a k
tăkan	t ɐ k a n
ray	r a j
pankreatit	p ɐ n k r ɛ ɐ t i t
hladăk	x ɫ a d ɐ k
dobre	d o b r ɛ
legalen	lʲ ɛ ɡ a lʲ ɛ n
alarmen	ɐ ɫ a r m ɛ n
văzgolyam	v ɐ z ɡ o lʲ a m
kyuloti	kʲ u ɫ ɔ t i
hambar	x ɐ m b a r
zărnest	z ɤ r n ɛ s t
nos	n ɔ s
văzsin	v ɐ s s i n
pobezhdavam	p o b ɛ ʒ d a v ɐ m
praga	p r a ɡ ɐ
ednolichen	ɛ d n o lʲ i t͡ʃ ɛ n
podpisha	p o t p i ʃ ɐ
visochina	v i s o t͡ʃ i n a
naredba	n ɐ r ɛ d b ɐ
praholyak	p r ɐ x o lʲ a k
zlo	z ɫ ɔ
kozha	k ɔ ʒ ɐ
bahăr	b a x ɐ r
yad	j a t
kălva	k ɐ ɫ v a
izdatel	i z d a t ɛ ɫ
naplastyavane	n ɐ p ɫ ɐ s tʲ a v ɐ n ɛ
prodam	p r o d a m
chlenuvana	t͡ʃ lʲ ɛ n u v ɐ n ɐ
izgreba	i z ɡ r ɛ b ɐ
dărzhava	d ɐ r ʒ a v ɐ
izuchaem	i z u t͡ʃ a ɛ m
koshara	k o ʃ a r ɐ
peganka	p ɛ ɡ a n k ɐ
kozharnitsa	k o ʒ a r n i t͡s ɐ
ikona	i k ɔ n ɐ
yadyahte	j a dʲ a x t ɛ
zatvoren	z ɐ t v ɔ r ɛ n
svoystvo	s v ɔ j s t v o
abdominalniya	ɐ b d o m i n a ɫ n i j ɐ
gledam	ɡ lʲ ɛ d ɐ m
pop	p ɔ p
istoriya	i s t ɔ r i j ɐ
povtor	p o f t ɔ r
danăk	d a n ɐ k
granata	ɡ r ɐ n a t ɐ
predpriemach	p r ɛ t p r i ɛ m a t͡ʃ
katsa	k a t͡s ɐ
abonamenten	ɐ b o n ɐ m ɛ n t ɛ n
bekon	b ɛ k ɔ n
tehnetsiy	t ɛ x n ɛ t͡s i
kokoshi	k o k ɔ ʃ i
propast	p r ɔ p ɐ s t
aviobomba	a v i o b ɔ m b ɐ
prekalen	p r ɛ k ɐ lʲ ɛ n
kofa	k ɔ f ɐ
chiya	t͡ʃ i j a
vashiya	v a ʃ i j ɐ
zabelezha	z ɐ b ɛ lʲ ɛ ʒ ɐ
shtărkel	ʃ t ɤ r kʲ ɛ ɫ
rezultat	r ɛ z u ɫ t a t
nerazboriya	n ɛ r ɐ z b o r i j ɐ
noemvri	n o ɛ m v r i
pafkam	p a f k ɐ m
mig	m i k
siyaehte	s i j a ɛ x t ɛ
patitsa	p a t i t͡s ɐ
preda	p r ɛ d ɤ
dlan	d ɫ a n
gotov	ɡ ɔ t o f
bled	b lʲ ɛ t
vek	v ɛ k
poilka	p o i ɫ k ɐ
dosega	d o s ɛ ɡ a
yadyashtoto	j a dʲ a ʃ t o t o
izvadya	i z v a dʲ ɐ
povtorim	p o f t o r i m
glupost	ɡ ɫ u p o s t
zavinagi	z ɐ v i n ɐ ɡʲ i
bărne	b ɐ r n ɛ
svrachi	s v r a t͡ʃ i
hidra	xʲ i d r ɐ
zavivka	z ɐ v i f k ɐ
chitatelka	t͡ʃ i t a t ɛ ɫ k ɐ
plen	p lʲ ɛ n
tsupya	t͡s u pʲ ɐ
shveytsarski	ʃ v ɛ j t͡s a r s kʲ i
gadina	ɡ ɐ d i n ɐ
devoyka	d ɛ v ɔ j k ɐ
erida	ɛ r i d ɐ
zryasht	z rʲ a ʃ t
inakvo	i n a k v o
deymos	d ɛ j m o s
sluzha	s ɫ u ʒ ɐ
nadolu	n ɐ d ɔ ɫ u
shifăr	ʃ i f ɐ r
predupredya	p r ɛ d u p r ɛ dʲ ɤ
karti	k a r t i
