Abapo	ʔ a b a p o
Abesamis	ʔ a b e s a m i s
Abril	ʔ a b ɾ i l
Adbentista	ʔ a d b e n t i s t a
Adlawan	ʔ ɐ d l a w a n
Agas	a ɡ ɐ s
Agdao	ʔ a ɡ d a w
Alcoy	ʔ a l k o j
Alvarado	ʔ a l b a ɾ a d o
Aragon	ʔ a ɾ a ɡ o n
Baclayon	b a k l a j o n
Bacus	b a k u s
Balatik	b a l a t i k
Balbuena	b a l b u w e n a
Barcenas	b a ɾ s e n a s
Bautista	b a w t i s t a
Bernes	b e ɾ n e s
Bibliya	b i b l i a
Bogohanon	b o ɡ o h a n o n
Bohol	b o h o l
Bonghanoy	b o ŋ h a n o j
Borongan	b o ɾ o n ɡ a n
Bulacan	b u l a k a n
Cabanlit	k a b a n l i t
Cabatuan	k a b a t u ʔ a n
Cabello	k a b e l j o
Cadeliña	k a d e l i ɲ a
Calinan	k a l i n a n
Castañeda	k a s t a ɲ e d a
Castaños	k a s t a ɲ o s
Catmon	k a t m o n
Cayanong	k a j a n o ŋ
Cañete	k a ɲ e t e
Comendador	k o m e n d a d o ɾ
Cyrus	s a j ɾ u s
Daanlungsod	d a a n l u ŋ s o d
Dacumos	d a k u m o s
Dagohoy	d a ɡ o h o j
Divinagracia	d i b i n a ɡ ɾ a s j a
Diyos	d i j o s
Eguia	ʔ e ɡ i j a
Enero	ʔ e n e ɾ o
Eulogia	ʔ e w l o h i j a
Francisco	p ɾ a n s i s k o
Genaro	h e n a ɾ o
Gomez	ɡ o m e s
Guiuan	ɡ i w a n
Huybes	h u i b e s
Ibañez	ʔ i b a ɲ e s
Iloilo	ʔ i l o j l o
Intsik	ʔ ɪ n t͡ʃ i k
Jorge	h o r h ɛ
Jose	h o s e
Kasambagan	k a s a m b a ɡ a n
Kinatsila	k i n a t s i l a ʔ
Kulas	k u l a s
Lawas	l a w a s
Lisondra	l i s o n d ɾ a
Loreto	l o ɾ e t o
Lunes	l u n e s
Mafalda	m a p a l d a
Mananquil	m a n a ŋ k i l
Manzano	m a n s a n o
Marigondon	m a ɾ i ɡ o n d o n
Marso	m a ɾ s o
Martinez	m a ɾ t i n e s
Matugas	m a t u ɡ a s
Mercader	m e ɾ k a d e ɾ
Ocampo	ʔ o k a m p o
Ocaña	ʔ o k a ɲ a
Padayhag	p a d a j a ɡ
Paquibato	p a k i b a t o
Pasipiko	p a s i p i k o
Perez	p e ɾ e s
Perla	p e ɾ l a
Pilapil	p i l a p i l
Pinadayag	p i n a d a j a ɡ
Quiñones	k i ɲ o n e s
Razonable	ɾ a s o n a b l e
Rodriguez	ɾ o d ɾ i ɡ e s
Sabado	s a b a d o
Samar	s a m a ɾ
Santiago	s a n t i a ɡ o
Santillan	s a n t i l j a n
Sinangote	s i n a ŋ ɡ o t e
Surigao	s u ɾ i ɡ a w
Tampos	t a m p o s
Taneo	t a n e o
Toledohanon	t o l e d o h a n o n
Tomas	t o m a s
Toril	t o ɾ i l
Torres	t o ɾ e s
Ulalong	ʔ u l a l o ŋ
Villanueva	b i l j a n u w e b a
abaga	ʔ a b a ɡ a
abakadhan	ʔ a b a k a d h a n
abog	ɐ b u ɡ
abogado	ʔ a b o ɡ a d o
abogasiya	ʔ a b o ɡ a s i j a
abrigo	ʔ a b ɾ i ɡ o
absolusyon	ʔ a b s o l u s j o n
administrador	ʔ a d m i n i s t ɾ a d o ɾ
adunahan	ʔ a d u n a h a n
agay	a ɡ a ɪ
agridulse	ʔ a ɡ ɾ i d u l s e
ahedres	ʔ a h e d ɾ e s
ahente	ʔ a h e n t e
akademiya	ʔ a k a d e m i j a
ako	ʔ a h o
aksiyon	ʔ a k s i j o n
aktibidades	ʔ a k t i b i d a d e s
akusar	ʔ a k u s a ɾ
akusasyon	ʔ a k u s a s j o n
alahas	ʔ a l a h a s
alambre	ʔ a l a m b ɾ e
alang	ʔ a l a ŋ
alegasyon	ʔ a l e ɡ a s j o n
aleluya	ʔ a l e l u j a
alibangbang	ʔ a l i b a ŋ b a ŋ
alimpatakan	ʔ a l i m p a t a k a n
alingagngag	a l i ŋ a ɡ ŋ a ɡ
almoranas	ʔ a l m o ɾ a n a s
alpa	ʔ a l p a
amag	ʔ a m a ɡ
amaon	ʔ a m a ʔ o n
amba	a m b a ʔ
amendar	ʔ a m e n d a ɾ
amplipikasyon	ʔ a m p l i p i k a s j o n
anak	ʔ a n a k
anemya	ʔ a n e m j a
angso	ʔ a ŋ s o
anilaw	ʔ a n i l a w
anino	ʔ a n i n o
anso	ʔ a n s o
antigo	ʔ a n t i ɡ o
antod	ʔ a n t o d
apostol	ʔ a p o s t o l
ari	ʔ a ɾ i
arisgar	ʔ a ɾ i s ɡ a ɾ
ariyos	ʔ a ɾ i j o s
arkipelago	ʔ a ɾ k i p e l a ɡ o
arkitekto	ʔ a ɾ k i t e k t o
arsobispado	ʔ a ɾ s o b i s p a d o
asa	ʔ a s a
asul	ʔ a s u l
atop	a t ʊ p
atsoy	ʔ a t s o j
away	ʔ a w a j
awto	ʔ a w t o
awtorisar	ʔ a w t o ɾ i s a ɾ
ayaay	ʔ a j a ʔ a j
ayroplano	ʔ a j ɾ o p l a n o
baboy	b a b o j
bagol	b a ɡ o l
bagsak	b a ɡ s a k
bahag	b a h a ɡ
baho	b a h o
bakilid	b a k i l i d
baklay	b a k l a j
bako	b a k o ʔ
bakos	b a k o s
baktas	b a k t a s
bakunawa	b a k u n a w a
balalatok	b a l a l a t o k
balatian	b a l a t i ʔ a n
balbakuwa	b a l b a k u w a
balda	b a l d a
balibago	b a l i b a ɡ o
balod	b a l o d
balon	b a j o n
balukag	b a l u k a ɡ
balungbong	b a l̪ u ŋ b o ŋ
bandido	b a n d i d o
bangkarote	b a ŋ k a ɾ o t e
banwa	b a n w a
banyera	b a n j e ɾ a
baos	b aː u s
barag	b a ɾ a ɡ
baskog	b a s k o ɡ
bat	b a t
batayan	b a t a j a n
bati	b a t i
batid	b a t i d
batiis	b a t i ʔ i s
batong	b a t o ŋ
batsilyer	b a t s i l j e ɾ
batuta	b a t u t a ʔ
batyag	b a t j a ɡ
bawod	b a w o d
bawos	b a w o s
bayad	b a d͡ʒ a d
bayat	b a j a t
baybay	b a j b a j
belib	b e l i b
berdin	b ɛ r d i n
bersikulo	b e ɾ s i k u l o
beterana	b e t e ɾ a n a
beterano	b e t e ɾ a n o
bibihan	b i b i h a n̪
biko	b i k o
bilat	b i l a t
bildo	b i l̪ d̪ o
bilyar	b i l j a ɾ
binali	b i n̪ a l̪ i
binatonan	b i n a t o n a n
binilanggo	b i n i l a ŋ ɡ o ʔ
birada	b i ɾ a d a
bitad	b i t a d
bitay	b i t a j
bitbit	b i t b i t
bitoon	b i t uˑ ʔ u n
biyahe	b i a h e
bloke	b l o k e
boda	b o d a
bodka	b o d k a
bokabularyo	b o k a b u l a ɾ j o
bokasyon	b o k a s j o n
bondying	b o n d j i ŋ
botas	b o t a s
botelya	b o t e l j a
boykot	b o j k o t
bringhinas	b ɾ i ŋ h i n a s
buang	b u ʔ a ŋ
buaya	b u ʔ a j a
bubo	b u b o
budaya	b u d a j a
budhi	b u d h i ʔ
bugaw	b u ɡ a w
bugdo	b u ɡ d o
bughaw	b u ɡ h a w
bugoy	b u ɡ ɔ ɪ
buhi	b u h i ʔ
buklad	b u k l a d
bukol	b u k o l
buktot	b u k t o t
bulakbol	b u l a k b o l
bulalakaw	b u l a l a k a w
bulawan	b u a w a n
bulhog	b u l h o ɡ
bulinaw	b u l i n a w
bulkan	b u l k a n
bulog	b u l o ɡ
bulto	b u l t o
bungahoy	b u ŋ a h o j
bunot	b u n o t
bunsod	b u n s o d
buntod	b u n t o d
buot	b u ʔ o t
buros	b u ɾ o s
busay	b u s a j
calculator	k a l k j u l e i t o ɾ
chiongbian	t͡ʃ ɔ ŋ b j a n
daan	d a ʔ a n
dagami	d a ɡ a m i
daghan	d a ɡ h a n
dagit	d a ɡ i t
dakbayan	d a k b a j a n
dalunggan	d a l u ŋ ɡ a n
dampog	d a m p o ɡ
danggit	d a ŋ ɡ i t
daog	d a ʔ o ɡ
dato	d a t o ʔ
day	d̪ a ɪ
dayap	d a j a p
deliryo	d e l i ɾ j o
detalye	d e t a l j e
diin	d i ʔ i n
diriyot	d i ɾ i j o t
disenteriya	d i s e n t e ɾ i j a
diyakono	d i a k o n o
diyot	d i j o t
dodong	d o d o ŋ
dughit	d u ɡ h i t
dugos	d u ɡ o s
dulaan	d u a ʔ a n
dulon	d u j o n
dumog	d u m o ɡ
dunggab	d u ŋ ɡ a b
dunggan	d u ŋ ɡ a n
dunggo	d u ŋ ɡ o ʔ
dunggoanan	d u ŋ ɡ o ʔ a n a n
edukasyon	ʔ e d u k a s j o n
eleksyon	ʔ e l e k s j o n
elepante	ʔ e l e p a n t e
empleyado	ʔ e m p l e j a d o
enad	ɛː n a d
espiritu	ʔ e s p i ɾ i t u
estatuwa	ʔ e s t a t u a
estupido	ʔ e s t u p i d o
exag	ɪ k s ɑ d ʒ
foreigner	f ɔ ɾ i n ə ɹ
gaba	ɡ a b a
gahom	ɡ a h o m
gajod	ɡ a d͡ʒ o d
gama	ɡ a m a ʔ
gamot	ɡ a m o t
gana	ɡ a n a
ganahan	ɡ a n a h a n
ganansiya	ɡ a n a n s i a
garing	ɡ a ɾ i ŋ
gilayon	ɡ i l a j o n
guba	ɡ u b a ʔ
gumamela	ɡ u m a m e l a
gutang	ɡ u t a ŋ
guwatsi	ɡ u w a t̪ s̪ i
gwapa	ɡ w a p a
habagatan	h a b a ɡ a t a n
habal	h a b a l
hagnaya	h a ɡ n a j a
halang	h a l a ŋ
halingan	h a l i ŋ a n
hangga	h a ŋ ɡ a ʔ
harina	h a ɾ i n a
hasang	h a s a ŋ
hasler	h a s l e ɾ
hatag	h a t a ɡ
hayahay	h a j a h a j
helikopter	h e l i k o p t e ɾ
higante	h i ɡ a n t e
hikot	h i k o t
hilomon	h i l o m o n
himantayon	h i m a n t a j o n
hinagiban	h i n a ɡ i b a n
hingatulog	h i ŋ a t u l o ɡ
hinguko	h i ŋ u k o
hinog	h i n o ɡ
hipon	h i p o n
hiring	h i ɾ̪ i ŋ
hita	h i t a ʔ
hitsura	h i t s u ɾ a
hiusa	h i uː s̪ a
hospital	h o s p i t a l
hubag	h u b a ɡ
hubo	h u b o ʔ
hugas	h u ɡ a s
hulga	h u l ɡ a ʔ
huwad	h u a d
huyang	h u j a ŋ
ibabaw	ʔ i b a b a w
ignorante	ʔ i ɡ n o ɾ a n t e
iho	ʔ i h o
ikaduha	i k a d u h a
ikanapulo	i k a n a p u l ʊ ʔ
ikaunom	i k a u n ʊ m
ikaupat	i k a u p a t̪
ikog	ʔ i k o ɡ
ilok	ʔ i l o k
imburnal	ʔ i m b u ɾ n a l
implikasyon	ʔ i m p l i k a s j o n
importansiya	ʔ i m p o ɾ t a n s i a
inadlawan	i n̪ a d̪ l̪ a w a n̪
inahan	ʔ i n a h a n
inom	ʔ i n o m
instruksyon	ʔ i n s t ɾ u k s j o n
inunlan	ʔ i n u n l a n
inunom	i n u n ʊ m
ipos	i p o s̪
isda	ʔ i s d a ʔ
isi	ʔ i s i
ispat	i s̪ p a t̪
itikan	i t̪ i k a n̪
itlog	ʔ i t l o ɡ
ito	ʔ i t o ʔ
iya	ʔ i a
iyot	ʔ i j o t
jakol	d͡ʒ a k o l
jorge	h o r h ɛ
jud	d͡ʒ u d
kaaslom	k a ʔ a s l o m
kabanga	k a b a ŋ a
kabuang	k a b u ʔ a ŋ
kadto	k a d t o
kaduha	k a d̪ u h a
kagabii	k a ɡ a b i ʔ i
kagawasan	k a ɡ a w a s a n
kagwapo	k a ɡ w a p o
kajo	k a d͡ʒ o
kakahoyan	k a k a h o j a n
kalabera	k a l a b e ɾ a
kalainan	k a l a ʔ i n a n
kalambre	k a l a m b ɾ e
kalasag	k a l a s a ɡ
kalaskas	k a l a s k a s
kalatkat	k a l̪ a t̪ k a t̪
kalentura	k a l e n t u ɾ a
kalinaw	k a l i n a w
kaliwatan	k a l i w a t a n
kamalig	k a m a l i ɡ
kamao	k a m a ʔ o
kamatis	k a m a t i s
kamatuoran	k a m a t u ʔ o ɾ a n
kambras	k a m b ɾ a s
kamkam	k a m k a m
kamlas	k a m l a s
kamot	k a m o t
kampana	k a m p a n a ʔ
kanta	k a n t a
kapait	k a p a i t
kapay	k a p a j
kapayas	k a p a j a s
kapito	k a p i t̪ o
kapuloan	k a p u l o ʔ a n
kaputol	k a p u t̪ o l̪
karaan	k a ɾ a ʔ ɐ n
karbon	k a ɾ b o n
karinyo	k a ɾ i n j o
kasag	k a s a ɡ
kasiyam	k a s̪ i j ʌ m
kasundalohan	k a s u n d a l o h a n
katahom	k a t a h o m
katarata	k a t a ɾ a t a
katawa	k a t a w a
katkat	k a t̪ k a t̪
katol	k a t o l
katre	k a t ɾ e
katulo	k a t̪ ɔ l ʊ
katunhayan	k a t u n h a j a n
katuod	k a t u ʔ o d
kaugalingnan	k a ʔ u ɡ a l i ŋ n a n
kaunom	k a u n ʊ m
kaupat	k a ɔ p a t̪
kausa	k a ɔ s a
kay	k a j
kaymito	k a j m i t o
kayo	k aː y u
kilat	k i l a t
kinahanglan	k i n a h a ŋ l a n
kinaunahan	k i n ʌ u n a h ʌ n
kinsa	k i n s a ʔ
kisame	k i s a m e
kita	k i t a
kobrador	k o b ɾ a d o ɾ
kolera	k o l e ɾ a
kombensyon	k o m b e n s j o n
kombento	k o m b ɛ n t o
komedyana	k o m e d j a n a
komite	k o m i t e
komportable	k o m p o ɾ t a b l e
komun	k o m u n
kondensada	k o n d e n s a d a
kongreso	k o n ɡ ɾ e s o
konkreto	k o n k ɾ e t o
konsagrasyon	k o n s a ɡ ɾ a s j o n
konsolasyon	k o n s o l a s j o n
konsorte	k o n s o ɾ t e
kontento	k o n t e n t o
kosina	k o s i n a
kubalan	k u b a l a n
kubkob	k u b k o b
kugmo	k u ɡ m o
kugon	k u ɡ o n
kukok	k u k o k
kulago	k u l a ɡ o ʔ
kuli	k u l i ʔ
kulkog	k u l k u ɡ
kulkol	k u l k o l
kulob	k u l o b
kulukabildo	k u l̪ u k a b i l̪ d̪ o
kumalagko	k u m a l a ɡ k o ʔ
kupo	k u p o ʔ
kuratsa	k u ɾ a t s a
kusgan	k u s ɡ a n
kutsara	k u t s a ɾ a
kutsaron	k u t s a ɾ o n
kuwadrilyon	k u w a d ɾ i l j o n
kuwang	k u w a ŋ
kuwartahan	k u w a ɾ t a h a n
kuwenta	k u w e n t a
kuwintilyon	k u w i n t i l j o n
kwelyo	k w e l j o
laag	l a ʔ a ɡ
laagan	l a ʔ a ɡ a n
labaha	l a b a h a
labot	l a b o t
lagutmon	l a ɡ u t m o n
lahar	l a h a ɾ
lakat	l a k a t
lalaki	l a l a k i
lamparilya	l a m p a ɾ i l j a
langaw	l a ŋ a w
langoyanan	l a ŋ o j a n a n
lanot	l̪ a n̪ o t̪
lansa	l a n s a
lansyaw	l a n s j a w
lapa	l̪ a p a ʔ
largabista	l a ɾ ɡ a b i s t a
lasang	l a s a ŋ
laslas	l a s l a s
lawas	l a w a s
lawin	l a w i n
libang	l i b a ŋ
libre	l i b ɾ e
lider	l i d e ɾ
ligid	l i ɡ i d
lihay	l i h a j
liog	l i ʔ o ɡ
lisensiyado	l i s e n s i a d o
liso	l i s o
listahan	l i s t a h a n
litrato	l i t ɾ a t o
lubnganan	l u b ŋ a n a n
lugaw	l u ɡ a w
lugos	l u ɡ o s
luhod	l u h o d
lukdo	l u k d o
lunga	l̪ u ŋ a
lungayngay	l u ŋ a j ŋ a j
lungib	l u ŋ i b
lungon	l u ŋ o n
lungsod	l u ŋ s o d
lunhaw	l u n h a u
lupoy	l u p o j
lusa	l u s a ʔ
lusay	l u s a j
luwag	l u a ɡ
luwas	l u a s
mabalod	m a b a l o d
mabangis	m a b a ŋ i s
madre	m a d ɾ e
magdudula	m a ɡ d u d u l a ʔ
magduduwa	m a ɡ d u d u w a ʔ
maglala	m a ɡ l a l a
mahatagon	m a h a t a ɡ o n
mahilom	m a h i l u m
makaduha	m a k a d u h a
makalima	m ʌ k a l̪ i m a
makapito	m ʌ k a p i t̪ o
makatubol	m a k a t u b o l
makaunom	m ʌ k a u n ʊ m
makausa	m ʌ k a u s̪ a
maldito	m a l d i t o
malinawon	m a l i n a w o n
malisyoso	m a l i s j o s o
maluya	m a l u j a
man	m a n
manahon	m a n a h o n
manambalay	m a n a m b a l a j
mangahoy	m a ŋ a h o j
mangga	m a ŋ ɡ a
mani	m a n i
manokmanok	m a n o k m a n o k
mapa	m a p a
mapahiyomon	m a p a h i j o m o n
martilyo	m a ɾ t i l j o
maskara	m a s k a ɾ a
matahapon	m a t a h a p o n
matulogtulog	m a t u l o ɡ t u l o ɡ
matunok	m a t u n o k
mayor	m ɛ j o ɾ
merkado	m e ɾ k a d o
mikropono	m i k ɾ o p o n o
milo	m i l̪ o ʔ
miyentras	m i j e n t ɾ a s
morpema	m o ɾ p e m a
mulmol	m u l m o l
nana	n a n a ʔ
napulo	n a p u l ʊ ʔ
nasyon	n a s j o n
negra	n e ɡ ɾ a
negro	n e ɡ ɾ o
ngabil	ŋ a b i l
ngilo	ŋ i l̪ o
ngislo	ŋ i s l o ʔ
ngutngot	ŋ u t ŋ o t
nila	n i l a
ninyo	n i n d͡ʒ o
okupado	ʔ o k u p a d o
otap	o t̪ a p
otin	ʔ o t i n
pagkuha	p ʌ ɡ k u h a ʔ
pagpamolitika	p a ɡ p a m o l i t i k a
pagpanigarilyo	p a ɡ p a n i ɡ a ɾ i l j o
pagpuno	p ʌ ɡ p u n ɔ ʔ
pagtupad	p a ɡ t u p a d
pahayahay	p a h a j a h a j
pahiyom	p a h i j o m
pahumot	p a h u m o t
painit	p a ʔ i n i t
palahubog	p a l a h u b o ɡ
palainom	p a l a ʔ i n o m
palangga	p a l a ŋ ɡ a ʔ
palibot	p a l i b o t
pambata	p a m b a t a
panagang	p a n a ɡ a ŋ
pandak	p a n d a k
pandong	p a n d o ŋ
pangadye	p a ŋ a d j ɛ
pangitik	p a ŋ i t̪ i k
panigarilyo	p a n i ɡ a ɾ i l j o
pantalon	p a n t a l o n
paragrap	p a ɾ a ɡ ɾ a p
paraiso	p a ɾ a j s o
parapente	p a ɾ a p e n t e
parapo	p a ɾ a p o
