abaty	a b a t i
aberhonddu	a b ɛ r h ɔ n ð i
abertawe	a b ɛ r t a u̯ ɛ
absennol	a b s ɛ n ɔ l
academi	a k a d ɛ m i
acen	a k ɛ n
acer	a k ɛ r
achosi	a χ ɔ s i
actor	a k t ɔ r
adborth	a d b ɔ r θ
adeilad	a d e i̯ l a d
adfeilion	a d v e i̯ l j ɔ n
adnabyddus	a d n a b ə ð ɪ s
adran	a d r a n
adrodd	a d r ɔ ð
adroddiad	a d r ɔ ð j a d
aelod	e i̯ l ɔ d
aelwyd	e i̯ l ʊ i̯ d
aeron	e i̯ r ɔ n
affrica	a f r ɪ k a
afiach	a v j a χ
afiechydon	a v j ɛ χ ə d ɔ n
agoriad	a ɡ ɔ r j a d
albwm	a l b ʊ m
all	aː ɬ
allanfa	a ɬ a n v a
allor	a ɬ ɔ r
alltud	a ɬ d ɪ d
almaen	ə r a l m a i̯ n
almaeneg	a l m e i̯ n ɛ ɡ
ambell	a m b ɛ ɬ
amddiffyn	a m ð ɪ f ɪ n
america	a m ɛ r ɪ k a
amgylch	a m ɡ ɪ l χ
amlach	a m l a χ
amlwg	a m l ʊ ɡ
amod	a m ɔ d
amrywio	a m r ɪ u̯ j ɔ
amser	a m s ɛ r
angen	a ŋ ɛ n
anghywir	a ŋ̊ h ə w ɪ r
anhawster	a n h a u̯ s d ɛ r
anhwylder	a n h ʊ i̯ l d ɛ r
anhysbys	a n h ə s b ɪ s
annog	a n ɔ ɡ
ansawdd	a n s a u̯ ð
apostol	a p ɔ s d ɔ l
arbennig	a r b ɛ n ɪ ɡ
archesgob	a r χ ɛ s ɡ ɔ b
ardal	a r d a l
arddangos	a r ð a ŋ ɡ ɔ s
arddangosfa	a r ð a ŋ ɡ ɔ s v a
arestio	a r ɛ s d j ɔ
arfer	a r v ɛ r
arglwyddi	a r ɡ l ʊ i̯ ð i
argraffiad	a r ɡ r a f j a d
argyfwng	a r ɡ ə v ʊ ŋ
arian	a r j a n
arswyd	a r s ʊ i̯ d
arweinyddion	a r w e i̯ n ə ð j ɔ n
asgell	a s ɡ ɛ ɬ
astudio	a s d ɪ d j ɔ
asyn	a s ɪ n
atal	a t a l
athrawes	a θ r a u̯ ɛ s
athrod	a θ r ɔ d
ati	a t i
ato	a t ɔ
aur	a i̯ r
awdur	a u̯ d ɪ r
awdurdod	a u̯ d ɪ r d ɔ d
awgrym	a u̯ ɡ r ɪ m
awr	a u̯ r
awst	a u̯ s d
awstralia	a u̯ s d r a l j a
awyren	a u̯ ə r ɛ n
bach	b aː χ
bachgen	b a χ ɡ ɛ n
bae	b a i̯
ban	b a n
band	b a n d
bardd	b a r ð
barhau	b a r h a i̯
barnwr	b a r n ʊ r
bath	b aː θ
bedd	b eː ð
bedwar	b ɛ d w a r
beichiogrwydd	b e i̯ χ j ɔ ɡ r ʊ i̯ ð
bencampwr	b ɛ ŋ k a m p ʊ r
beth	b eː θ
betws	b ɛ t ʊ s
blasu	b l a s i
ble	b l eː
blwyddyn	b l ʊ i̯ ð ɪ n
blynedd	b l ə n ɛ ð
bob	b oː b
boi	b ɔ i̯
boncyff	b ɔ ŋ k ɪ f
bras	b r aː s
braster	b r a s t ɛ r
breifat	b r e i̯ v a t
brif	b r iː v
brig	b r iː ɡ
bro	b r oː
bron	b r ɔ n
brwd	b r uː d
bryd	b r iː d
bryn	b r ɪ n
brynu	b r ə n i
brys	b r iː s
bu	b iː
budd	b iː ð
bum	b ɪ m
bwrdd	b ʊ r ð
bwthyn	b ʊ θ ɪ n
bwyd	b ʊ i̯ d
bychan	b ə χ a n
byd	b iː d
bydd	b iː ð
byddin	b ə ð ɪ n
bynnag	b ə n a ɡ
byr	b ɪ r
byth	b ɪ θ
byw	b ɪ u̯
bywiog	b ɪ u̯ j ɔ ɡ
bôn	b oː n
caergrawnt	k a i̯ r ɡ r a u̯ n t
caffi	k a f i
cais	k a i̯ s
cangen	k a ŋ ɛ n
caniatáu	k a n j a t a i̯
canlynol	k a n l ə n ɔ l
cant	k a n t
cantorion	k a n t ɔ r j ɔ n
capel	k a p ɛ l
carchar	k a r χ a r
caredigrwydd	k a r ɛ d ɪ ɡ r ʊ i̯ ð
cariad	k a r j a d
cato	k a t ɔ
ceir	k e i̯ r
cemeg	k ɛ m ɛ ɡ
cenedlaethol	k ɛ n ɛ d l e i̯ θ ɔ l
cerbyd	k ɛ r b ɪ d
cerddor	k ɛ r ð ɔ r
cerddorfaol	k ɛ r ð ɔ r v aː ɔ l
cesar	k ɛ s a r
chaiff	χ a i̯ f
chariad	χ a r j a d
cheir	χ e i̯ r
chlustdlws	χ l ɪ s d l ʊ s
chwaraeon	χ w a r e i̯ ɔ n
chwi	χ w iː
chwyldro	χ w ɪ l d r ɔ
chymorth	χ ə m ɔ r θ
chyngor	χ ə ŋ ɔ r
ci	k iː
cipio	k ɪ p j ɔ
claf	k l aː v
clymu	k l ə m i
coch	k oː χ
cod	k oː d
cofio	k ɔ v j ɔ
cofrestru	k ɔ v r ɛ s d r i
colledion	k ɔ ɬ ɛ d j ɔ n
colomen	k ɔ l ɔ m ɛ n
contract	k ɔ n t r a k t
conwy	k ɔ n ʊ i̯
copa	k ɔ p a
corff	k ɔ r f
creadur	k r ɛ a d ɪ r
crech	k r eː χ
crefyddol	k r ɛ v ə ð ɔ l
creu	k r e i̯
crist	k r ɪ s t
cryn	k r ɪ n
cwrdd	k ʊ r ð
cychwyn	k ə χ w ɪ n
cydweithio	k iː d w e i̯ θ j ɔ
cyfamser	k ə v a m s ɛ r
cyffwrdd	k ə f ʊ r ð
cyflawni	k ə v l a u̯ n i
cyflwr	k ə v l ʊ r
cyflwyno	k ə v l ʊ i̯ n ɔ
cyflym	k ə v l ɪ m
cyfnod	k ə v n ɔ d
cyfreithiol	k ə v r e i̯ θ j ɔ l
cyfreithiwr	k ə v r e i̯ θ j ʊ r
cyfres	k ə v r ɛ s
cyfrifoldeb	k ə v r ɪ v ɔ l d ɛ b
cyfrol	k ə v r ɔ l
cyfrwng	k ə v r ʊ ŋ
cyhoeddus	k ə h ɔ i̯ ð ɪ s
cyhyr	k ə h ɪ r
cylch	k ɪ l χ
cymar	k ə m a r
cymdeithas	k ə m d e i̯ θ a s
cymdeithasol	k ə m d e i̯ θ a s ɔ l
cymreig	k ə m r e i̯ ɡ
cymro	k ə m r ɔ
cymry	k ə m r i
cyn	k ɪ n
cyngaws	k ə ŋ a u̯ s
cyngor	k ə ŋ ɔ r
cynhadledd	k ə n h a d l ɛ ð
cynllunio	k ə n ɬ ɪ n j ɔ
cynnes	k ə n ɛ s
cynnig	k ə n ɪ ɡ
cynnwys	k ə n ʊ i̯ s
cynnyrch	k ə n ɪ r χ
cynorthwyo	k ə n ɔ r θ ʊ i̯ ɔ
cynyddol	k ə n ə ð ɔ l
cynyddu	k ə n ə ð i
cyrn	k ɪ r n
cysgu	k ə s ɡ i
cysgu fel clawdd	k ə s ɡ i v ɛ l k l a u̯ ð
cytuno	k ə t iː n ɔ
côd	k oː d
cŵn	k uː n
da	d aː
daclus	d a k l ɪ s
dad	d aː d
dail	d a i̯ l
daith	d a i̯ θ
damwain	d a m w a i̯ n
dan	d a n
dangos	d a ŋ ɡ ɔ s
darllen	d a r ɬ ɛ n
darlunio	d a r l ɪ n j ɔ
datblygiad	d a t b l ə ɡ j a d
datblygu	d a t b l ə ɡ i
dathlu	d a θ l i
daw	d a u̯
dawn	d a u̯ n
dawns	d a u̯ n s
ddal	ð a l
ddarllen	ð a r ɬ ɛ n
ddaw	ð a u̯
ddefnyddio	ð ɛ v n ə ð j ɔ
ddeuddeg	ð e i̯ ð ɛ ɡ
ddod	ð oː d
ddringo	ð r ɪ ŋ ɔ
ddweud	ð w e i̯ d
ddydd	ð iː ð
ddyn	ð iː n
ddynes	ð ə n ɛ s
decaf	d ɛ k a v
defnydd	d ɛ v n ɪ ð
defnyddio	d ɛ v n ə ð j ɔ
defnyddiwr	d ɛ v n ə ð j ʊ r
derbyn	d ɛ r b ɪ n
des	d eː s
deuddeg	d e i̯ ð ɛ ɡ
dewi	d ɛ u̯ i
deyrnas	d e i̯ r n a s
dibynnu	d i b ə n i
diffyg	d ɪ f ɪ ɡ
digwydd	d ɪ ɡ w ɪ ð
dileu	d ɪ l e i̯
dioddef	d j ɔ ð ɛ v
dipyn	d ɪ p ɪ n
dir	d iː r
diraddio	d ɪ r a ð j ɔ
diwedd	d ɪ u̯ ɛ ð
diweithdra	d ɪ w e i̯ θ d r a
diwydiant	d ɪ u̯ ɪ d j a n t
diwylliant	d i w ə ɬ j a n t
dof	d oː v
doniol	d ɔ n j ɔ l
dorri	d ɔ r i
dosbarth	d ɔ s b a r θ
dosbarthiad	d ɔ s b a r θ j a d
dosbarthu	d ɔ s b a r θ i
draw	d r a u̯
dringo	d r ɪ ŋ ɔ
dro	d r oː
droi	d r ɔ i̯
dros	d r ɔ s
drwy	d r ʊ i̯
du	d iː
dull	d ɪ ɬ
duw	d ɪ u̯
dweud	d w e i̯ d
dwll	d ʊ ɬ
dwylo	d ʊ i̯ l ɔ
dwys	d ʊ i̯ s
dydd	d iː ð
dyddio	d ə ð j ɔ
dydy	d ə d i
dyffryn	d ə f r ɪ n
dyfi	d ə v i
dylai	d ə l a i̯
dylanwad	d ə l a n w a d
dylid	d ə l i d
dynnu	d ə n i
dyrnu	d ə r n i
dysgu	d ə s ɡ i
dîm	d iː m
dŵr	d uː r
eangfrydig	ɛ a ŋ v r ə d ɪ ɡ
ebrill	ɛ b r ɪ ɬ
edrych	ɛ d r ɪ χ
ef	eː v
effeithio	ɛ f e i̯ θ j ɔ
effeithiol	ɛ f e i̯ θ j ɔ l
efrog	ɛ v r ɔ ɡ
egwyddor	ɛ ɡ ʊ i̯ ð ɔ r
ehangu	ɛ h a ŋ i
ei	e i̯
eidal	e i̯ d a l
eira	e i̯ r a
el	ɛ l
elfen	ɛ l v ɛ n
ennill	ɛ n ɪ ɬ
enwocaf	ɛ n w ɔ k a v
enwog	ɛ n w ɔ ɡ
erbyn	ɛ r b ɪ n
ers	ɛ r s
erthygl	ɛ r θ ɪ ɡ l
eryri	ɛ r ə r i
esgob	ɛ s ɡ ɔ b
esgyn	ɛ s ɡ ɪ n
esgyrn	ɛ s ɡ ɪ r n
estron	ɛ s d r ɔ n
etholiad	ɛ θ ɔ l j a d
eto	ɛ t ɔ
fach	v aː χ
faint	v a i̯ n t
fam	v a m
farn	v a r n
fas	v aː s
fath	v aː θ
fawr	v a u̯ r
fe	v eː
fechan	v eː χ a n
fel	v ɛ l
felly	v ɛ ɬ i
ferch	v ɛ r χ
fersiwn	v ɛ r ʃ ʊ n
fesur	v ɛ s ɪ r
ffasiwn	f a ʃ ʊ n
fferi	f ɛ r i
fferm	f ɛ r m
ffermwr	f ɛ r m ʊ r
ffilm	f ɪ l m
ffin	f iː n
ffoi	f ɔ i̯
ffrainc	f r a i̯ ŋ k
ffrind	f r ɪ n d
ffug	f iː ɡ
ffurf	f ɪ r v
ffurfio	f ɪ r v j ɔ
ffwrdd	f ʊ r ð
ffydd	f iː ð
ffôn	f oː n
fi	v iː
flew	v l ɛ u̯
flwyddyn	v l ʊ i̯ ð ɪ n
flynedd	v l ə n ɛ ð
fod	v oː d
fodlon	v ɔ d l ɔ n
ford	v ɔ r d
fri	v r iː
frith	v r iː θ
fro	v r oː
frys	v r iː s
fu	v iː
fwy	v ʊ i̯
fychan	f ə χ a n
fydd	v iː ð
fyddwn	v ə ð ʊ n
fynd	v ɪ n d
fyw	v ɪ u̯
fûm	v iː m
gad	ɡ aː d
gadawodd	ɡ a d a u̯ ɔ ð
gallant	ɡ a ɬ a n t
galon	ɡ a l ɔ n
ganddo	ɡ a n ð ɔ
ganlyniad	ɡ a n l ə n j a d
gariad	ɡ a r j a d
gellir	ɡ ɛ ɬ i r
gemwaith	ɡ ɛ m w a i̯ θ
ger	ɡ ɛ r
gerdded	ɡ ɛ r ð ɛ d
gerrig	ɡ ɛ r ɪ ɡ
gestyll	ɡ ɛ s d ɪ ɬ
glo	ɡ l oː
glust	ɡ l ɪ s t
glwb	ɡ l ʊ b
gnoi	ɡ n ɔ i̯
goch	ɡ oː χ
goddrych	ɡ ɔ ð r ɪ χ
gofid	ɡ ɔ v ɪ d
gogledd	ɡ ɔ ɡ l ɛ ð
goleuni	ɡ ɔ l e i̯ n i
goleuo	ɡ ɔ l e i̯ ɔ
golygu	ɡ ɔ l ə ɡ i
gorchymyn	ɡ ɔ r χ ə m ɪ n
gordd	ɡ ɔ r ð
gorff	ɡ ɔ r f
gorffennaf	ɡ ɔ r f ɛ n a v
gorllewin	ɡ ɔ r ɬ ɛ u̯ ɪ n
gorwedd	ɡ ɔ r w ɛ ð
gosod	ɡ ɔ s ɔ d
gradd	ɡ r aː ð
groeg	ɡ r ɔ i̯ ɡ
grym	ɡ r ɪ m
grŵp	ɡ r uː p
gwael	ɡ w a i̯ l
gwag	ɡ w aː ɡ
gwair	ɡ w a i̯ r
gwaith	ɡ w a i̯ θ
gwan	ɡ w a n
gwanwyn	ɡ w a n w ɪ n
gwastad	ɡ w a s t a d
gweinyddol	ɡ w e i̯ n ə ð ɔ l
gweinyddu	ɡ w e i̯ n ə ð i
gweithdy	ɡ w ə i̯ θ d i
gweithwyr	ɡ w e i̯ θ w ɪ r
gweld	ɡ w ɛ l d
gweler	ɡ w eː l ɛ r
gwelwch	ɡ w ɛ l ʊ χ
gwerthu	ɡ w ɛ r θ i
gwilym	ɡ w ɪ l ɪ m
gwin	ɡ w iː n
gwleidyddol	ɡ w l e i̯ d ə ð ɔ l
gwmpas	ɡ ʊ m p a s
gwnaethpwyd	ɡ w n e i̯ θ p ʊ i̯ d
gwobr	ɡ w ɔ b r
gwreiddiol	ɡ w r e i̯ ð j ɔ l
gwres	ɡ w r eː s
gwrs	ɡ ʊ r s
gwrthryfel	ɡ ʊ r θ r ə v ɛ l
gwrthwynebiad	ɡ ʊ r θ w ɪ n ɛ b j a d
gwydr	ɡ w ɪ d ɪ r
gwydrau	ɡ w ə d r ɛ
gwyfyn	ɡ w ə v ɪ n
gwylan	ɡ ʊ i̯ l a n
gwyllt	ɡ w ɪ ɬ d
gwyn	ɡ w ɪ n
gwynedd	ɡ u i̯ n ɛ ð
gwynt	ɡ w ɪ n t
gwyrdd	ɡ w ɪ r ð
gwyrth	ɡ w ɪ r θ
gwŷs	ɡ w iː s
gychwyn	ɡ ə χ w ɪ n
gyd	ɡ iː d
gylch	ɡ ɪ l χ
gymro	ɡ ə m r ɔ
gymru	ɡ ə m r i
gymryd	ɡ ə m r ɪ d
