abaxial	æ b æ k s i ə l
abetting	ə b ɛ t ɪ ŋ
abordage	ə b ɔ ɹ d ɪ d͡ʒ
aborning	ə b ɔ ɹ n ɪ ŋ
abound	ə b a ʊ n d
abrim	ə b ɹ ɪ m
abydocomist	æ b ɪ d ə k o ʊ m ɪ s t
academism	ə k æ d ə m ɪ z ə m
acarnanian	ɔ k ɔ ɹ n e ɪ n i ə n
acknowledge	æ k n ɑ l ɪ d͡ʒ
adhocrat	æ d h ə k ɹ æ t
adjudge	ə d͡ʒ ʌ d͡ʒ
admirability	æ d m ɪ ɹ ə b ɪ l ɪ t i
admittance	ə d m ɪ t n̩ s
aeap	e ɪ i e ɪ p i
aface	ə f e ɪ s
ag	æ ɡ
ages	e ɪ d͡ʒ ɪ z
aimed	e ɪ m d
airing	ɛ ɹ ɪ ŋ
aisles	a ɪ l z
alchemistical	æ l k ə m ɪ s t ɪ k ə l
alecy	e ɪ l s i
alight	ə l a ɪ t
alitretinoin	æ l ɪ t ɹ ɛ t n̩ o ʊ ɪ n
alligator	æ l ɪ ɡ e ɪ t ɚ
altered	ɔ l t ɚ d
amazed	ə m e ɪ z d
ambiguity	æ m b ɪ ɡ j u ɪ t i
ambushed	æ m b ʊ ʃ t
amenities	ə m ɛ n ə t i z
analloerotic	æ n æ l o ʊ ɪ ɹ ɔ t ɪ k
anarthrous	æ n ɑ ɹ θ ɹ ə s
ancestor	æ n s ɛ s t ɚ
announcer	ə n a ʊ n s ɚ
annuity	ə n j u ɪ t i
anode	æ n o ʊ d
anthropological	æ n θ ɹ ə p ə l ɑ d͡ʒ i k ə l
antiochene	æ n t i ə k i n
antithalian	æ n t ɪ θ e ɪ l i ə n
anything	ɛ n i θ ɪ ŋ
apathetic	æ p ə θ ɛ t ɪ k
aped	e ɪ p t
apex	e ɪ p ɛ k s
apojove	æ p ə d͡ʒ ə u v
arabella	æ ɹ ə b ɛ l ə
arbuscle	ɑ b ʌ s ə l
ardor	ɑ ɹ d ə ɹ
arete	æ ɹ ɪ t i
argillaceous	ɑ d͡ʒ ɪ l e ɪ ʃ ə s
armed	ɑ ɹ m d
artifice	ɑ ɹ t ɪ f ɪ s
aspiration	æ s p ə ɹ e ɪ ʃ ə n
asteroid	æ s t ə ɹ o ɪ d
astrionics	æ s t ɹ i ɔ n ɪ k s
asunder	ə s ʌ n d ɚ
aureole	ɔ r i o ʊ l
aureus	ɔ ɹ ɪ ə s
autolytic	ɔ t ə l ɪ t ɪ k
autonomist	ɔ t ɔ n ə m ɪ s t
avalon	æ v ə l ɑ n
avgolemono	ɑ v ɡ o ʊ l ɛ m ə n o ʊ
aylesham	e ɪ l ʃ ə m
