dljl	d a l i l
ɡlv	ɡ a l oː
dɡrd͡ʒns‌ɡrɒ	d e ɡ a ɾ d͡ʒ e n s ɡ a ɾ ɑː
mrnd	m a ɾ a n d
hmɒm	h a m m ɑː m
ktɒb	k e t ɑː b
ɒʔzɒ	a ʔ z ɑː
پjt͡ʃjdn	p e t͡ʃ i d a
brɒdr	b a ɾ ɑː d a ɾ
rftɒr	ɾ a f t ɑː ɾ
ʃvr	ʃ oː ɾ
bvj	b oː j
t͡ʃtvr	t͡ʃ e t o v ɾ
bnjɒdɡrɒ	b o n j ɑː d ɡ a ɾ ɑː
rɒʔj	ɾ a ʔ j
ɣɒft	ɢ ɑː f e t
hʃt	h a ʃ t
پɒkstɒnj	p ɑː k i s t ɑː n iː
zhn	z e h n
bhʃt	b e h e ʃ t
rbɒʔj	ɾ o b ɑː ʔ iː
fhrst	f e h ɾ e s t
drɒjjdn	d a ɾ ɑː j iː d a n
ks	k a s
bxtr	b e x t a ɾ
ʃʔb	ʃ o ʔ a b
ɒhŋ	ɑː h a n ɡ
t͡ʃɒʃnj	t ʃ ɑː ʃ n iː
bz	b o z
svrtj	s uː ɾ a t iː
hj	h e j
sljmɒn	s o l e j m ɑː n
ɒd͡ʒɒzh	e d͡ʒ ɑː z e
پvʃjdn	p oː ʃ iː d a n
ɣsmt	ɢ i s m a t
پxtn	p o x t a n
brxvrdɒr	b a ɾ x o ɾ d ɑː ɾ
bɒmdɒd	b ɑː m d ɑː n
khkʃɒn‌hɒ	k a h k a ʃ ɑː n h ɑː
dt͡ʃɒr	d o t͡ʃ ɑː ɾ
srvdn	s o ɾ uː d a n
ʒɒmbvn	ʒ ɑː m b o n
پtk	p o t k
ɒjndh	ɑː j a n d a
hsɒb	h e s ɑː b
hfdh	h a b d a h
ɒbdst	ɑː b d a s t
ɡjɒn	ɡ o j ɑː n
hnr	h o n a ɾ
zvrxɒnh	z oː ɾ x ɑː n a
ɡvɒh	ɡ o v ɑː h
srdɒr	s a ɾ d ɑː ɾ
mhm	m o h e m m
ɒsپrzh	e s p a ɾ z e
ɡj	a ɡ iː
nsxh	n o s x e
mrdhɒ	m a ɾ d h ɑː
mvʔssh	m o ʔ a s s a s e
kjmjɒ	k iː m i j ɑː
kɒrvɒn	k ɑː ɾ v ɑː n
mhrbɒnj	m e h ɾ a b ɑː n iː
fzɒ	f a z ɑː
tɣsjm	t a ɢ s i m
zjrzmjn	z iː ɾ z a m iː n
پnɒhndh	p a n ɑː h a n d e
sdh	s a d a
trɒzv	t a ɾ ɑː z uː
bɒb	b ɑː b
zbh	z e b h
dɒdɒr	d ɑː d ɑː r
ɒlrʒj	ɑː l i ɾ ʒ iː
zjn	z i n
dzd	d o z d
zkr	z a k a ɾ
msɒft	m a s ɑː f a t
kndn	k a n d a n
knfrɒns	k o n f e ɾ ɑː n s
mjɣ	m e ɢ
d͡ʒnsj	d͡ʒ e n s iː
bjʃ	b e ʃ
ɒstɒnh‌ɒj	ɑː s t ɑː n a iː
ɡlɒbj	ɡ o l ɑː b iː
zjɒd	z i j ɑː d
tkjdn	t a k i d a n
bhtɒn	b o h t u n
d͡ʒɒjɡɒh	d͡ʒ ɑː j ɡ ɑː h
zjst‌ʃnɒs	z iː s t ʃ e n ɑː s
ɒjdvn	e d u n
bɒbl	b ɑː b i l
mrbvt	m a ɾ b u t
ɣvr	ɢ o v ɾ
پɒdɒʃ	p ɑː d ɑː ʃ
bjmɒr	b e m ɑː ɾ
lsh	l a s e
ɒlbrz	ʔ a l b o ɾ z
hdjh	h a d i j a
mlɒɣɒt	m o l ɑː ɢ ɑː t
frjdvn	f e ɾ e i d uː n
md͡ʒɒzɒt	m o d ʒ ɑː z ɑː t
ʃvrh	ʃ oː ɾ e
vjr	v i ɾ
t͡ʃmjdn	t͡ʃ a m i d a n
kɒlbd	k ɑː l b u d
srپrstj	s a ɾ p a ɾ a s t iː
jxt͡ʃɒl	j a x t͡ʃ ɑː l
ɒdɣɒm	e d ɢ ɑː m
ɒnɣvzh	ɑː n ɢ u z a
پrdjs	p a ɾ d e s
hnvz	h a n oː z
ɡrɒz	ɡ o ɾ ɑː z
