dlil	d a l i l
glw	ɡ a l oː
dgrjnsgra	d e ɡ a ɾ d͡ʒ e n s ɡ a ɾ ɑː
mrnd	m a ɾ a n d
hmam	h a m m ɑː m
ktab	k e t ɑː b
a'da	a ʔ z ɑː
pitchidn	p e t͡ʃ i d a
bradr	b a ɾ ɑː d a ɾ
rftar	ɾ a f t ɑː ɾ
shwr	ʃ oː ɾ
bwi	b oː j
tchtwr	t͡ʃ e t o v ɾ
bniadgra	b o n j ɑː d ɡ a ɾ ɑː
rai	ɾ a ʔ j
ghaft	ɢ ɑː f e t
hsht	h a ʃ t
pakstani	p ɑː k i s t ɑː n iː
thhn	z e h n
bhsht	b e h e ʃ t
rba'i	ɾ o b ɑː ʔ iː
fhrst	f e h ɾ e s t
draiidn	d a ɾ ɑː j iː d a n
ks	k a s
bkhtr	b e x t a ɾ
sh'b	ʃ o ʔ a b
ahng	ɑː h a n ɡ
tchashni	t ʃ ɑː ʃ n iː
bz	b o z
swrti	s uː ɾ a t iː
hi	h e j
sliman	s o l e j m ɑː n
ajazh	e d͡ʒ ɑː z e
pwshidn	p oː ʃ iː d a n
qsmt	ɢ i s m a t
pkhtn	p o x t a n
brkhwrdar	b a ɾ x o ɾ d ɑː ɾ
bamdad	b ɑː m d ɑː n
khkshanha	k a h k a ʃ ɑː n h ɑː
dtchar	d o t͡ʃ ɑː ɾ
srwdn	s o ɾ uː d a n
jambwn	ʒ ɑː m b o n
ptk	p o t k
aindh	ɑː j a n d a
hsab	h e s ɑː b
hfdh	h a b d a h
abdst	ɑː b d a s t
gian	ɡ o j ɑː n
hnr	h o n a ɾ
zwrkhanh	z oː ɾ x ɑː n a
gwah	ɡ o v ɑː h
srdar	s a ɾ d ɑː ɾ
mhm	m o h e m m
asprzh	e s p a ɾ z e
gi	a ɡ iː
nskhh	n o s x e
mrdha	m a ɾ d h ɑː
mwssh	m o ʔ a s s a s e
kimia	k iː m i j ɑː
karwan	k ɑː ɾ v ɑː n
mhrbani	m e h ɾ a b ɑː n iː
fda	f a z ɑː
tqsim	t a ɢ s i m
zirzmin	z iː ɾ z a m iː n
pnahndh	p a n ɑː h a n d e
sdh	s a d a
trazw	t a ɾ ɑː z uː
bab	b ɑː b
thbh	z e b h
dadar	d ɑː d ɑː r
alrji	ɑː l i ɾ ʒ iː
zin	z i n
dzd	d o z d
thkr	z a k a ɾ
msaft	m a s ɑː f a t
kndn	k a n d a n
knfrans	k o n f e ɾ ɑː n s
migh	m e ɢ
jnsi	d͡ʒ e n s iː
bish	b e ʃ
astanhi	ɑː s t ɑː n a iː
glabi	ɡ o l ɑː b iː
ziad	z i j ɑː d
tkidn	t a k i d a n
bhtan	b o h t u n
jaigah	d͡ʒ ɑː j ɡ ɑː h
zistshnas	z iː s t ʃ e n ɑː s
idwn	e d u n
babl	b ɑː b i l
mrbwt	m a ɾ b u t
ghwr	ɢ o v ɾ
padash	p ɑː d ɑː ʃ
bimar	b e m ɑː ɾ
lthh	l a s e
albrz	ʔ a l b o ɾ z
hdih	h a d i j a
mlaqat	m o l ɑː ɢ ɑː t
fridwn	f e ɾ e i d uː n
mjazat	m o d ʒ ɑː z ɑː t
shwrh	ʃ oː ɾ e
wir	v i ɾ
tchmidn	t͡ʃ a m i d a n
kalbd	k ɑː l b u d
srprsti	s a ɾ p a ɾ a s t iː
ikhtchal	j a x t͡ʃ ɑː l
adgham	e d ɢ ɑː m
anghwzh	ɑː n ɢ u z a
prdis	p a ɾ d e s
hnwz	h a n oː z
graz	ɡ o ɾ ɑː z
qhrman	ɢ a h ɾ a m ɑː n
trsh	t o ɾ ʃ
bimnak	b i n m ɑː k
jwlidn	ʒ uː l iː d a n
wash	v ɑ ʃ
mikhwahm	m iː x ɑː h a m
prndgan	p a ɾ a n d a ɡ ɑː n
swrpraiz	s u r p e ɾ ɑ j z
dmagh	d a m ɑː ɢ
khakstri	x ɑː k i s t a ɾ iː
jrfa	ʒ a ɾ f ɑː
zrnapa	z u r n ɑː p ɑː
dindari	d i n d ɑː ɾ iː
bl'idn	b a l ʔ iː d a n
that	z ɑː t
tchish	t ʃ i ʃ
hmishh	h a m e ʃ a
mrgh	m o ɾ ɢ
fsl	f a s l
iaftn	j ɑː f t a n
blwr	b i l oː ɾ
bngah	b o n ɡ ɑː h
d'a	d o ʔ ɑː
pap	p ɑː p
amar	ɑː m ɑː ɾ
istadn	i s t ɑː d a n
pzshk	p e z e ʃ k
khwrshid	x o ɾ ʃ iː d
siast	s i j ɑː s a t
prtchm	p a ɾ t͡ʃ a m
bkhatr	b a x ɑː t i ɾ i
grwh	ɡ o ɾ uː h
'lawh	a l ɑː v a
kht	x a t
bhafrid	b e h ɑː f a ɾ iː d
gw	ɡ o v
iraq	j a ɾ ɑː ɢ
nwishgrdani	n e v iː s e ɡ a ɾ d ɑː n iː
mrdanh	m a ɾ d ɑː n a
pnir	p a n i ɾ
ashkal	a ʃ k ɑː l
snm	s a n a m
smnd	s a m a n d
tar	t ɑː ɾ
snan	s e n ɑː n
jrfi	ʒ a ɾ f iː
hkwmt	h o k uː m a t
gwn	ɡ oː n
drwdn	d o ɾ uː d a n
sfinh	s a f i n a
ashfth	ɑː ʃ u f t a
swrta	s u ɾ a t iː
asfhani	e s f a h ɑː n iː
shm'dan	ʃ a m ʔ d ɑː n
qfs	ɢ a f a s
prwaz	p a ɾ v ɑː z
