აგდებს	ɑ ɡ d ɛ b s
აგენტის	ɑ ɡ ɛ n tʼ i s
აგრესიულობა	ɑ ɡ r ɛ s i u l ɔ b ɑ
ადამიანს	ɑ d ɑ m i ɑ n s
ადამიანური	ɑ d ɑ m i ɑ n u r i
ადაპტაცია	ɑ d ɑ pʼ tʼ ɑ t͡s i ɑ
ავადმყოფობა	ɑ v ɑ d m qʼ ɔ pʰ ɔ b ɑ
ავადმყოფობს	ɑ v ɑ d m qʼ ɔ pʰ ɔ b s
ავალდებულებს	ɑ v ɑ l d ɛ b u l ɛ b s
ავსტრია	ɑ v s tʼ r i ɑ
ავტოკოლონა	ɑ v tʼ ɔ kʼ ɔ l ɔ n ɑ
ავტომატური	ɑ v tʼ ɔ m ɑ tʼ u r i
ავღანეთი	ɑ v ɣ ɑ n ɛ tʰ i
აზრი	ɑ z r i
აზრის	ɑ z r i s
აზღუდი	ɑ z ɣ u d i
ათბობს	ɑ tʰ b ɔ b s
ათენი	ɑ tʰ ɛ n i
აკრძალვითად	ɑ kʼ r d͡z ɑ l v i tʰ ɑ d
აკუსტიკური	ɑ kʼ u s tʼ i kʼ u r i
ალექსანდრე	ɑ l ɛ kʰ s ɑ n d r ɛ
ამაო	ɑ m ɑ ɔ
ამერიკელი	ɑ m ɛ r i kʼ ɛ l i
ამთავრებს	ɑ m tʰ ɑ v r ɛ b s
ამინდი	ɑ m i n d i
ამნისტია	ɑ m n i s tʼ i ɑ
ამომწურავად	ɑ m ɔ m t͡sʼ u r ɑ v ɑ d
ანაბარი	ɑ n ɑ b ɑ r i
ანბანი	ɑ n b ɑ n i
ანომალურად	ɑ n ɔ m ɑ l u r ɑ d
აპარატის	ɑ pʼ ɑ r ɑ tʼ i s
აპოკალიფსური	ɑ pʼ ɔ kʼ ɑ l i pʰ s u r i
აპრილმა	ɑ pʼ r i l m ɑ
არაბიძე	ɑ r ɑ b i d͡z ɛ
არაბუნებრივი	ɑ r ɑ b u n ɛ b r i v i
არაზუსტი	ɑ r ɑ z u s tʼ i
არათანაბარი	ɑ r ɑ tʰ ɑ n ɑ b ɑ r i
არაპროფესიონალური	ɑ r ɑ pʼ r ɔ pʰ ɛ s i ɔ n ɑ l u r i
არასწორი	ɑ r ɑ s t͡sʼ ɔ r i
არგენტინა	ɑ r ɡ ɛ n tʼ i n ɑ
არგუმენტაცია	ɑ r ɡ u m ɛ n tʼ ɑ t͡s i ɑ
არდი	ɑ r d i
არის	ɑ r i s
არნახული	ɑ r n ɑ x u l i
არსენალი	ɑ r s ɛ n ɑ l i
არსით	ɑ r s i tʰ
არტისტული	ɑ r tʼ i s tʼ u l i
არქიტექტურულად	ɑ r kʰ i tʼ ɛ kʰ tʼ u r u l ɑ d
არყოფნა	ɑ r qʼ ɔ pʰ n ɑ
არცერთი	ɑ r t͡s ɛ r tʰ i
არხი	ɑ r x i
ასწლიანი	ɑ s t͡sʼ l i ɑ n i
ატენიანებს	ɑ tʼ ɛ n i ɑ n ɛ b s
აუდიტი	ɑ u d i tʼ i
აქანე	ɑ kʰ ɑ n ɛ
აქეთ	ɑ kʰ ɛ tʰ
აქტიურად	ɑ kʰ tʼ i u r ɑ d
აღბეჭდილი	ɑ ɣ b ɛ t͡ʃʼ d i l i
აღგზნებული	ɑ ɣ ɡ z n ɛ b u l i
აღმოაჩინე	ɑ ɣ m ɔ ɑ t͡ʃ i n ɛ
აღნიშნავს	ɑ ɣ n i ʃ n ɑ v s
აღწერა	ɑ ɣ t͡sʼ ɛ r ɑ
აღწერით	ɑ ɣ t͡sʼ ɛ r i tʰ
აყრუებს	ɑ qʼ r u ɛ b s
აცდენილი	ɑ t͡s d ɛ n i l i
აცხობს	ɑ t͡s x ɔ b s
აწყვეტინებს	ɑ t͡sʼ qʼ v ɛ tʼ i n ɛ b s
ახალგაზრდა	ɑ x ɑ l ɡ ɑ z r d ɑ
ახარისხებს	ɑ x ɑ r i s x ɛ b s
აჯიკა	ɑ d͡ʒ i kʼ ɑ
ბადმინტონი	b ɑ d m i n tʼ ɔ n i
ბაზელი	b ɑ z ɛ l i
ბაირამი	b ɑ i r ɑ m i
ბანკირი	b ɑ n kʼ i r i
ბარდი	b ɑ r d i
ბარიკადა	b ɑ r i kʼ ɑ d ɑ
ბარსელონა	b ɑ r s ɛ l ɔ n ɑ
ბასკი	b ɑ s kʼ i
ბატარეა	b ɑ tʼ ɑ r ɛ ɑ
ბეგი	b ɛ ɡ i
ბელა	b ɛ l ɑ
ბერძნული	b ɛ r d͡z n u l i
ბეწვი	b ɛ t͡sʼ v i
ბინა	b i n ɑ
ბიურო	b i u r ɔ
ბიჭი	b i t͡ʃʼ i
ბომბავს	b ɔ m b ɑ v s
ბორკილი	b ɔ r kʼ i l i
ბორტზე	b ɔ r tʼ z ɛ
ბრძენი	b r d͡z ɛ n i
ბრძოლა	b r d͡z ɔ l ɑ
ბრძოლამ	b r d͡z ɔ l ɑ m
ბურდღა	b u r d ɣ ɑ
ბუქსირი	b u kʰ s i r i
გააგრძელებს	ɡ ɑ ɑ ɡ r d͡z ɛ l ɛ b s
გაამდიდრებს	ɡ ɑ ɑ m d i d r ɛ b s
გაზქურა	ɡ ɑ z kʰ u r ɑ
გამოადგება	ɡ ɑ m ɔ ɑ d ɡ ɛ b ɑ
გამოითქმის	ɡ ɑ m ɔ i tʰ kʰ m i s
გამომდინარე	ɡ ɑ m ɔ m d i n ɑ r ɛ
გამონაყარი	ɡ ɑ m ɔ n ɑ qʼ ɑ r i
