abnormalnost	a b n o r m ǎː l n oː s t
administracija	a d m i n i s t r ǎː t͡s i j a
advokat	a d ʋ ǒ k aː t
aerobik	a e r ǒ b i k
akcija	ǎ k t͡s i j a
aktivnost	a k t ǐː ʋ n oː s t
alat	ǎ l aː t
alternativan	â l t e r n a t iː ʋ a n
anka	âː n k a
anđeo	âː n d͡ʑ e o
aplicirati	a p l i t͡s ǐː r a t i
apostol	ǎ p o s t o l
aranžman	a r ǎ n ʒ m aː n
arogancija	a r o ɡ ǎ n t͡s i j a
arogantan	a r o ɡ ǎ n t a n
artiljerija	a r t i ʎ ě r i j a
asirski	ǎ s iː r s k iː
atletičarka	a t l ě t i t͡ʃ aː r k a
atribut	a t r ǐ b uː t
aukcija	a ǔ k t͡s i j a
autocesta	a u t o t͡s ě s t a
autoritet	a u t o r ǐ t eː t
bacač	b ǎ t͡s aː t͡ʃ
bajka	b âː j k a
barijera	b a r i j ěː r a
barjak	b ǎ r j aː k
bend	b ê n d
beskonačnost	b ê s k o n a t͡ʃ n oː s t
beskoristan	b ê s k o r iː s t a n
beton	b ě t oː n
bevanda	b ě ʋ aː n d a
bezbrižnost	b ě z b r i ʒ n oː s t
bezgrešan	b ě z ɡ r e ʃ a n
bezosjećajno	b ê z o s j e t͡ɕ aː j n o
bezuspješan	b e z ǔ s p j e ʃ a n
bešćutnost	b ě ʃ t͡ɕ u t n oː s t
biciklizam	b i t͡s i k l ǐ z a m
bilježnik	b ǐ ʎ e ʒ n iː k
birački	b ǐ r aː t͡ʃ k iː
bitno	b î t n o
boginja	b ǒ ɡ i ɲ a
bojkot	b ǒ j k o t
boka	b ô k a
boljitak	b o ʎ ǐː t a k
bolnica	b ǒː l n i t͡s a
bombardirati	b o m b a r d ǐː r a t i
bor	b ôː r
boris	b ôː r i s
boston	b ô s t o n
božur	b ǒ ʒ uː r
brada	b r ǎː d a
brdovit	b r d ǒ ʋ i t
brodica	b r ǒ d i t͡s a
bubnjar	b ǔ b ɲ aː r
budala	b u d ǎ l a
cijenjen	t͡s i j êː ɲ e n
crnogorac	t͡s r n ǒ ɡ o r a t͡s
dalekoistočni	d a l e k o ǐ s t o t͡ʃ n iː
dalekovidno	d a l e k ǒ ʋ i d n o
dalibor	d ǎ l i b o r
daljina	d a ʎ ǐ n a
dan	d âː n
danac	d ǎː n a t͡s
danski	d âː n s k iː
decenija	d ě t͡s eː n i j a
dekan	d ě k aː n
delegacija	d e l e ɡ ǎː t͡s i j a
depo	d ě p oː
desetoro	d ê s e t o r o
despot	d ě s p o t
direktorica	d i r e k t ǒ r i t͡s a
diskretno	d ǐ s k r e t n o
divlje	d ǐ ʋ ʎ eː
djelomično	d j ê l o m i t͡ʃ n o
djeva	d j ěː ʋ a
dlaka	d l â k a
dodavanje	d o d ǎː ʋ aː ɲ e
doista	d ô i s t a
dojilja	d ǒ j iː ʎ a
dokle	d ǒː k l eː
dopustiti	d o p ǔ s t i t i
dopuštati	d o p ǔː ʃ t a t i
dosadan	d ô s aː d a n
dovoljno	d ô ʋ oː ʎ n o
dozvoliti	d o z ʋ ǒ l i t i
dočekati	d ǒ t͡ʃ e k a t i
drijen	d r i j êː n
drugačiji	d r u ɡ ǎ t͡ʃ i j iː
drukčije	d r ǔ k t͡ʃ i j eː
drvo	d r̂ ʋ o
dugotrajan	d û ɡ o t r aː j a n
duhan	d ǔ x aː n
duhovni	d ǔ x oː ʋ n iː
dužnosnica	d ǔː ʒ n o s n i t͡s a
dvadesetak	d ʋ a d e s ěː t a k
dvojnik	d ʋ ôː j n iː k
džak	d͡ʒ âː k
džin	d͡ʒ î n
efekt	ě f e k t
ekipa	e k ǐː p a
elektrana	e l e k t r ǎ n a
električar	e l ě k t r i t͡ʃ aː r
elemenat	e l ě m e n a t
emotivan	ê m o t iː ʋ a n
epitet	e p ǐ t eː t
estonija	ě s t oː n i j a
fatalno	f ǎ t aː l n o
