abort	ɑ b ɔ ɾ t
abram	ɑ b ɾ ɑ m
agnostik	ɑ ɡ n ɔ s t i k
agucel	ɑ ɡ u t͡sʰ ɛ l
adrbejanci	ɑ d ə ɾ b ɛ d͡ʒ ɑ n t͡sʰ i
azdvel	ɑ z d v ɛ l
alani	ɑ l ɑ n i
albom	ɑ l b ɔ m
alemaneren	ɑ l ɛ m ɑ n ɛ ɾ ɛ n
alyur	ɑ l j u ɾ
aluck	ɑ l u t͡sʰ kʰ
akht	ɑ χ t
akademia	ɑ k ɑ d ɛ m j ɑ
aknakhndzor	ɑ k n ɑ χ ə n d͡z ɔ ɾ
aknatsalic	ɑ k n ɑ t͡s ɑ l i t͡sʰ
aknaghbyur	ɑ k n ɑ χ p j u ɾ
akntart	ɑ k ə n tʰ ɑ ɾ tʰ
ah	ɑ h
aghb	ɑ χ p
aghegh	ɑ ʁ ɛ ʁ
aghioghorm	ɑ ʁ i ɔ ʁ ɔ ɾ m
aghunik	ɑ ʁ u n i k
aghjamughj	ɑ ʁ d͡ʒ ɑ m u ʁ d͡ʒ
amenalav	ɑ m ɛ n ɑ l ɑ v
amerikaci	ɑ m ɛ ɾ i k ɑ t͡sʰ i
amnistia	ɑ m n i s t j ɑ
aytseni	ɑ j t͡s ɛ n i
aynuhetew	ɑ j n u h ɛ t ɛ v
ayntegh	ɑ j n t ɛ ʁ
anali	ɑ n ɑ l i
anak	ɑ n ɑ k
anatolia	ɑ n ɑ t ɔ l j ɑ
anatoliakan	ɑ n ɑ t ɔ l j ɑ k ɑ n
anarat	ɑ n ɑ ɾ ɑ t
angnahateli	ɑ ŋ ɡ ə n ɑ h ɑ t ɛ l i
ander	ɑ n d ɛ ɾ
andrkovkasyan	ɑ n d ə ɾ k ɔ f k ɑ s j ɑ n
anerdzag	ɑ n ɛ ɾ d͡z ɑ kʰ
anirav	ɑ n i ɾ ɑ v
ankareli	ɑ ŋ k ɑ ɾ ɛ l i
anhamestutyun	ɑ n h ɑ m ɛ s t u tʰ j u n
anhavanakan	ɑ n h ɑ v ɑ n ɑ k ɑ n
anhetetutyun	ɑ n h ɛ tʰ ɛ tʰ u tʰ j u n
anmahutyun	ɑ n m ɑ h u tʰ j u n
anspar	ɑ n s p ɑ r
antoni	ɑ n t ɔ n i
ashkhen	ɑ ʃ χ ɛ n
apahovel	ɑ p ɑ h ɔ v ɛ l
apush	ɑ p u ʃ
apstambel	ɑ p ə s t ɑ m b ɛ l
aporini	ɑ p ɔ ɾ i n i
arandzin	ɑ r ɑ n d͡z i n
arajadimakan	ɑ r ɑ t͡ʃʰ ɑ d i m ɑ k ɑ n
arajacum	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ u m
arajnordel	ɑ r ɑ t͡ʃʰ n ɔ ɾ tʰ ɛ l
aravelaguyn	ɑ r ɑ v ɛ l ɑ ɡ u j n
arakelyan	ɑ r ɑ kʰ ɛ l j ɑ n
areres	ɑ r ɛ ɾ ɛ s
arewangum	ɑ r ɛ v ɑ ŋ ɡ u m
arkaytsum	ɑ r k ɑ j t͡s u m
arhavatchya	ɑ r h ɑ v ɑ t t͡ʃʰ j ɑ
aroghjaran	ɑ r ɔ χ t͡ʃʰ ɑ ɾ ɑ n
asacvatsk	ɑ s ɑ t͡sʰ v ɑ t͡s kʰ
asel	ɑ s ɛ l
asegh	ɑ s ɛ ʁ
asketizm	ɑ s k ɛ t i z m
asocacnel	ɑ s ɔ t͡sʰ ɑ t͡sʰ n ɛ l
astvatsabanakan	ɑ s t v ɑ t͡s ɑ b ɑ n ɑ k ɑ n
astvatsashunch	ɑ s t v ɑ t͡s ɑ ʃ u n t͡ʃʰ
ask	ɑ s kʰ
avan	ɑ v ɑ n
avandakan	ɑ v ɑ n d ɑ k ɑ n
avartel	ɑ v ɑ ɾ t ɛ l
avel	ɑ v ɛ l
atamnayin	ɑ t ɑ m n ɑ j i n
aragil	ɑ ɾ ɑ ɡ i l
argelel	ɑ ɾ kʰ ɛ l ɛ l
argishti	ɑ ɾ ɡ i ʃ t i
ardaradatutyun	ɑ ɾ tʰ ɑ ɾ ɑ d ɑ t u tʰ j u n
ardyunaberutyun	ɑ ɾ tʰ j u n ɑ b ɛ ɾ u tʰ j u n
aristakes	ɑ ɾ i s t ɑ k ɛ s
artsrun	ɑ ɾ t͡s ɾ u n
arkgh	ɑ ɾ k ə ʁ
ardzagank	ɑ ɾ d͡z ɑ ɡ ɑ ŋ kʰ
armav	ɑ ɾ m ɑ v
arshipelag	ɑ ɾ ʃ i p ɛ l ɑ ɡ
aru	ɑ ɾ u
aruyr	ɑ ɾ u j ɾ
arsen	ɑ ɾ s ɛ n
arvestaget	ɑ ɾ v ɛ s t ɑ ɡ ɛ t
artahanum	ɑ ɾ t ɑ h ɑ n u m
artorayk	ɑ ɾ t ɔ ɾ ɑ j kʰ
arcakh	ɑ ɾ t͡sʰ ɑ χ
ap	ɑ pʰ
api	ɑ pʰ i
aksorel	ɑ kʰ s ɔ ɾ ɛ l
babayan	b ɑ b ɑ j ɑ n
bazmamard	b ɑ z m ɑ m ɑ ɾ tʰ
bazmanal	b ɑ z m ɑ n ɑ l
bazhak	b ɑ ʒ ɑ k
bal	b ɑ l
balalayka	b ɑ l ɑ l ɑ j k ɑ
bakhum	b ɑ χ u m
bah	b ɑ h
baghadrich	b ɑ ʁ ɑ d ɾ i t͡ʃʰ
bambasank	b ɑ m b ɑ s ɑ ŋ kʰ
bayden	b ɑ j d ɛ n
banasteghtsuhi	b ɑ n ɑ s t ɛ χ t͡s u h i
banjar	b ɑ n d͡ʒ ɑ ɾ
barbarayin	b ɑ ɾ b ɑ r ɑ j i n
barekamutyun	b ɑ ɾ ɛ k ɑ m u tʰ j u n
bardzr	b ɑ ɾ t͡sʰ ə ɾ
bardzracnel	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n ɛ l
bardzrutyun	b ɑ ɾ t͡sʰ ɾ u tʰ j u n
barsegh	b ɑ ɾ s ɛ ʁ
bacoroshaki	b ɑ t͡sʰ ɔ ɾ ɔ ʃ ɑ k i
bacum	b ɑ t͡sʰ u m
betghehem	b ɛ tʰ χ ɛ h ɛ m
belisarios	b ɛ l i s ɑ ɾ i ɔ s
bern	b ɛ r n
berman	b ɛ ɾ m ɑ n
biznesmen	b i z n ɛ s m ɛ n
bilak	b i l ɑ k
bifshteks	b i f ʃ t ɛ kʰ s
bnorosh	b ə n ɔ ɾ ɔ ʃ
boghokarkum	b ɔ ʁ ɔ kʰ ɑ ɾ k u m
boyajyan	b ɔ j ɑ d͡ʒ j ɑ n
bu	b u
but	b u tʰ
buyl	b u j l
busakerutyun	b u s ɑ k ɛ ɾ u tʰ j u n
brnazavtum	b ə r n ɑ z ɑ f tʰ u m
brnutyun	b ə r n u tʰ j u n
bryusel	b ɾ j u s ɛ l
bronz	b ə ɾ ɔ n z
gazananoc	ɡ ɑ z ɑ n ɑ n ɔ t͡sʰ
gaghapar	ɡ ɑ ʁ ɑ pʰ ɑ ɾ
gamirk	ɡ ɑ m i ɾ kʰ
gaj	ɡ ɑ d͡ʒ
gavit	ɡ ɑ v i tʰ
gavot	ɡ ɑ v ɔ t
garnanayin	ɡ ɑ ɾ n ɑ n ɑ j i n
garshel	ɡ ɑ ɾ ʃ ɛ l
gegham	ɡ ɛ ʁ ɑ m
geghani	ɡ ɛ ʁ ɑ n i
geghon	ɡ ɛ ʁ ɔ n
general	ɡ ɛ n ɛ ɾ ɑ l
gerazancutyun	ɡ ɛ ɾ ɑ z ɑ n t͡sʰ u tʰ j u n
germaneren	ɡ ɛ ɾ m ɑ n ɛ ɾ ɛ n
gtutyun	ɡ ə tʰ u tʰ j u n
gind	ɡ i n d
gisherotik	ɡ i ʃ ɛ ɾ ɔ tʰ i k
gitakic	ɡ i t ɑ k i t͡sʰ
gitenal	ɡ i t ɛ n ɑ l
gir	ɡ i ɾ
goghuni	ɡ ɔ ʁ u n i
gomaghb	ɡ ɔ m ɑ χ p
goral	ɡ ɔ r ɑ l
gorozutyun	ɡ ɔ r ɔ z u tʰ j u n
goris	ɡ ɔ ɾ i s
gortselaotch	ɡ ɔ ɾ t͡s ɛ l ɑ v ɔ t͡ʃ
gortsich	ɡ ɔ ɾ t͡s i t͡ʃʰ
gund	ɡ u n d
gtatso	ɡ ə t ɑ t͡s ɔ
grakan	ɡ ə ɾ ɑ k ɑ n
grancum	ɡ ə ɾ ɑ n t͡sʰ u m
gratakhtak	ɡ ə ɾ ɑ t ɑ χ t ɑ k
grgrvats	ɡ ə ɾ ɡ ə r v ɑ t͡s
grich	ɡ ə ɾ i t͡ʃʰ
grip	ɡ ə ɾ i p
dadar	d ɑ tʰ ɑ ɾ
dahlitch	d ɑ h l i t͡ʃ
