balairung	b a . l a i̯ . r ʊ ŋ
gen	ɡ ɛ n
kapas	k a . p a s
eceran	ɛ t͡ʃ ɛ r a n
nasabah	n a s a b a h
emas	ə m a s
vokal	v o . k a l
bobot	b o . b ɔ t̚
peremajaan	p ə . r ə . m a . d͡ʒ a . a n
instrumental	ɪ n . s t r u . m ɛ n . t a l
mu	m u
bajing	b a . d͡ʒ ɪ ŋ
tenge	t e ŋ e
senter	s ɛ n t ə r
juag	d͡ʒ u a k̚
arit	a . r i t
lajak	l a d͡ʒ a k̚
rahayu	r a h a j u
gatal	ɡ a . t a l
antarpemain	a n t a r p ə m a ɪ n
pleidoi	p l e i . d o i̯
administratur	a t̚ m i n ɪ s t r a t ʊ r
agar	a ɡ a r
pendarahan	p ə n . d a . r a h . a n
pameget	p a . m ə . ɡ ə t
ancai	a n t͡ʃ a i̯
akil	a . k ɪ l
angai	a ŋ a i̯
sentralistis	s ɛ n t r a l ɪ s t ɪ s
hadirat	h a d i r a t̚
negeri	n ə ɡ ə r i
pronomina	p r o . n o . m i . n a
perjaka	p ə r . d͡ʒ a . k a
lansia	l a n s i a
wasana	w a s a n a
pengawasan	p ə ŋ a w a s a n
dolfin	d ɔ l . f i n
pekerti	p ə k ə r t i
bersedia	a b o n ə m ɛ n
vetsin	v ɛ t . ʃ i n
anehe	a n e h e
masyarakat	m a ʃ a r a k a t̚
selalu	s ə l a l u
keadilan	k ə a d ɪ l a n
abilah	a b i l a h
pengungsi	p ə ŋ . ʊ ŋ . s i
eco	e . t͡ʃ o
kempis	k ə m p ɪ s
sandung	s a n d ʊ ŋ
amo	a m o
ustaz	ʊ s t a z
anggrang	a ŋ . ɡ r a ŋ
malem	m a . l ə m
dansa	d a n . s a
amonga	a m o ŋ a
nyiur	ɲ j u r
lengah	l ɛ ŋ a h
amfibi	a m f i b i
tahap	t a . h a p
awur	a w ʊ r
deduksi	d e d ʊ k s i
bam	b a m
perak	p e . r a k
tegap	t ə ɡ a p̚
wudu	w u . d u
reanimasi	r e a n i m a s i
sembrono	s ə m . b ə̆ r o . n o
damkar	d a m . k a r
peka	p e . k a
amah	a m a h
voli	v o . l i
obesitas	o b ɛ . s i . t a s
pinta	p i n t a
meninggali	m ə n i ŋ . ɡ a l i
laher	l a . h ə r
polen	p o l ə n
kegiatan	k ə . ɡ i . a t . a n
riba	r i b a
berbahasa	b ə r b a h a s a
mengalir	m ə ŋ . a . l ɪ r
lelang	l ɛ l a ŋ
kumico	k u . m i . t͡ʃ o
kehidupan	k ə . h i . d ʊ p . a n
membunuh	m ə m b u n ʊ h
padri	p a d r i
sijil	s i d͡ʒ ɪ l
masjid	m a s d͡ʒ ɪ t̚
pencitraan	p ə ŋ t͡ʃ i t r a a n
lengkung	l ə ŋ . k ʊ ŋ
tindas	t ɪ n d a s
