gen	ɡ ɛ n
kapas	k a . p a s
senter	s ɛ n t ə r
juag	d͡ʒ u a k̚
rahayu	r a h a j u
gatal	ɡ a . t a l
pendarahan	p ə n . d a . r a h . a n
akil	a . k ɪ l
sentralistis	s ɛ n t r a l ɪ s t ɪ s
negeri	n ə ɡ ə r i
perjaka	p ə r . d͡ʒ a . k a
lansia	l a n s i a
bersedia	a b o n ə m ɛ n
vetsin	v ɛ t . ʃ i n
keadilan	k ə a d ɪ l a n
abilah	a b i l a h
kempis	k ə m p ɪ s
amo	a m o
malem	m a . l ə m
dansa	d a n . s a
nyiur	ɲ j u r
tahap	t a . h a p
bam	b a m
reanimasi	r e a n i m a s i
voli	v o . l i
mengalir	m ə ŋ . a . l ɪ r
lelang	l ɛ l a ŋ
bodok	b o d ɔ k̚
antigen	a n . t i . ɡ ɛ n
audite	a u̯ . d i . t e
defile	d e f i l e
kuil	k u ɪ l
puri	p u . r i
balur	b a l ʊ r
bangsa	b a ŋ . s a
pulut	p u l ʊ t̚
menganiayai	m ə ŋ a n i a j a i
mama	m a m a
kruk	k r ʊ k
bapak	b a p a ʔ
stasi	s t a s i
lintasan	l ɪ n . t a s . a n
amali	a . m a . l i
pendukung	p ə n d u k ʊ ŋ
siram	s i . r a m
yakin	j a k ɪ n
videografer	v i d e o ɡ r a f ə r
pengguna	p ə ŋ ɡ u n a
kuliah	k u l i a h
telur	t ə l u r
veteriner	v ɛ . t ə . r i . n ɛ r
anghun	a ŋ . h u n
imperialisme	ɪ m p ɛ r i a l ɪ s m ə
L	ɛ l
lateral	l a . t ə . r a l
urita	u r i t a
abir	a b ɪ r
semak	s ə m a ʔ
pemberontakan	p ə m b ə r ɔ n t a k a n
faring	f ä . r i ŋ
obrol	ɔ b r ɔ l
sabi	s a . b i
semir	s ə m i r
kardiolog	k a r . d i . o . l ɔ k
berus	b ə r ʊ s
ortu	o r . t u
engkau	ə ŋ k a u̯
tua	t u . a
makmum	m a ʔ m ʊ m
hakam	h a . k a m
anua	a . n u . a
korporal	k ɔ r . p o . r a l
perjanjian	p ə r . d͡ʒ a n . d͡ʒ i . a n
kuartal	k u a r t a l
penanda	p ə n a n d a
malik	m a . l ɪ ʔ
anyam	a ɲ a m
sutra	s u . t r a
gelora	ɡ ə l o r a
alir	a . l ɪ r
sempoa	s ə m p o a
bak	b a k
jangan	d͡ʒ a ŋ a n
enzim	ɛ n . z ɪ m
wasabi	w a s a b i
kumpulan	k ʊ m p ʊ l a n
selada	s a l a d a
altitudo	a l t i t u d o
nabi	n a b i
alpa	a l . p a
cendana	t͡ʃ ə n . d a . n a
mulai	m u . l a i̯
pasraman	p a s . r a . m a n
perasaan	p ə r a s a a n
Allah	ɑ l l ɑ h
tir	t ɪ r
kau	k a u̯
tebang	t ə . b a ŋ
kaji	k a d͡ʒ i
hedonisme	h e . d o . n i s . m ə
reduksionisme	r e . d ʊ k . s i . o . n ɪ s . m ə
arhir	a r . h ɪ r
ambyur	a m bʲ ʊ r
pulau	p u l a u̯
lomba	l ɔ m b a
kesenjangan	k ə . s ə n . d͡ʒ a ŋ . a n
tempeleng	t ə m . p e . l ɛ ŋ
margarin	m a r ɡ a r ɪ n
selaka	s ə . l a . k a
aliah	a l i a h
adiafora	a d i a f o r a
Naufal	n a u . f a l
prabu	p r a . b u
dakwaan	d a ʔ w a a n
menemukan	m ə n ə m u k a n
ketinggalan	k ə t i ŋ . ɡ a . l a n
ponsel	p o n s ɛ l
wadah	w a . d a h
soba	s o . b a
kartun	k a r t u n
celaan	t͡ʃ ə l a a n
kredo	k r e . d o
berambang	b ə . r a m . b a ŋ
difusi	d i f u s i
ergonomi	e r ɡ o n o m i
anjing	a n d͡ʒ i ŋ
romusa	r o . m u . s a
praktek	p r a k̚ t ɛ k̚
nira	n i . r a
grahita	ɡ r a . h i . t a
maktub	m a k t u b
reputasi	r e p u t a s i
gempita	ɡ ə m . p i . t a
cecer	t͡ʃ e . t͡ʃ ɛ r
sambilan	s a m . b ɪ l . a n
cabul	t͡ʃ a . b ʊ l
usul	u s ʊ l
kenyataan	k ə . ɲ a . t a . a n
Rabu	r a . b u
toto	t o t o
waralaba	w a r a l a b a
penguatan	p ə ŋ u a t̚ a n
granat	ɡ r a . n a t̚
kegagalan	k ə . ɡ a . ɡ a l . a n
biro	b i . r o
tertinggal	t ə r t ɪ ŋ ɡ a l
parut	p a . r ʊ t
halusinasi	h a l u s i n a s i
tentu	t ə n t u
lama	l a . m a
staf	s t a f
uskup	u s . k ʊ p
swasta	s w a s t a
Callista	k a l i s t a
Finlandia	f ɪ n l a n d i a̯
juta	d͡ʒ u t a
aruna	a r u n a
bahaya	b a h a j a
PM	p e ɛ m
adaptif	a d a p . t ɪ f
benduan	b ə n . d u . a n
celapa	t͡ʃ ə . l a . p a
perintah	p ə r ɪ n t a h
ribu	r i b u
kompet	k ɔ m p ɛ t̚
marhabanan	m a r h a b a n a n
semangka	s ə . m a ŋ . k a
kopitiam	k o p i t i a m
lestari	l ə s . t a . r i
chindo	t͡ʃ i n d o
yubileum	j u b i l e ʊ m
hadiah	h a d i j a h
awet	a . w ɛ t
baftah	b a f t a h
tamat	t a m a t̚
mizab	m i z a p̚
jenasah	d͡ʒ ə n a s a h
aporia	a . p o . r i . a
aslosin	a s . l o . s ɪ n
syahbandar	ʃ a h . b a n . d a r
anggara	a ŋ ɡ a r a
kait	k a ɪ t̚
kembang	k ə m b a ŋ
resep	r ə s ɛ p
kilap	k i l a p̚
analitis	a n a l i t ɪ s
patriarkat	p a . t r i . a r . k a t̚
pap	p a p
mengabsen	m ə ŋ . a p . s e n
bausastra	b a . u . s a s . t r a
anyir	a ɲ ɪ r
terpal	t ə r p a l
darah	d a r a h
angsongar	a ŋ s o ŋ a r
belajar	b ə . l a . d͡ʒ a r
romansa	r o m a n s a
komisi	k o m i . s i
sabo	s a . b o
atan	a t a n
koneksi	k o n ɛ k s i
lanca	l a n . t͡ʃ a
anuhuai	a . n u . h u . a i̯
kurung	k u . r ʊ ŋ
paru	p ä . r u
sapa	s a . p a
sarung	s a r ʊ ŋ
puas	p u a s
dedak	d ə . d a k
rantau	r a n . t a u̯
pahala	p a . h a . l a
pekerjaan	p ə . k ə r . d ʒ a . ʔ a n
diferensial	d i . f e . r ɛ n . s i . a l
gravitasi	ɡ r a v i t a s i
hilang	h i l a ŋ
inset	i n s ɛ t
observasi	ɔ p̚ . s ə r . v a . s i
dana	d a . n a
magis	m a . ɡ ɪ s
abiseka	a b i . s e . k a
tempur	t ə m p ʊ r
terowongan	t ə r o w ɔ ŋ a n
semalem	s ə . m a . l ə m
KPR	k a . p e . ɛ r
gunseikan	ɡ u n . s e i . k a n
algoritmik	a l ɡ o r ɪ t̚ m ɪ k̚
prei	p r e i
kamuflase	k a m u f l a s ə
antunga	a n . t u . ŋ a
mangkat	m a ŋ k a t̚
anggong	a ŋ ɡ ɔ ŋ
