aiɡaɴ	a̠ i ɡ ã̠ ɴ
aiɲikɯ	a̠ i ɲ̟ i k ɯ̟ᵝ
aijo	a̠ i j o̞
aoɡeːtoɯ	a̠ o̞ ɡ e̞ː t o̞ː
aoba	a̠ o̞ b a̠
aomoɾʲikeŋ	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
aɡakʲi	a̠ ɡ a̠ kʲ i
akɯsekɯ	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
akɯɲit͡ɕi	a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i
aɡehat͡ɕoɯ	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
asaiɾo	a̠ s a̠ i ɾ o̞
asatte	a̠ s a̠ t̚ t e̞
azaɰaɾaɯ	a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ
akkenai	a̠ k̚ k e̞ n a̠ i
assakɯ	a̠ sː a̠ k ɯ̟ᵝ
at͡sɯkɯɾɯɕiː	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
at͡sɯɾaeɾɯ	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
aɲi	a̠ ɲ̟ i
amadeɾa	a̠ m a̠ d e̞ ɾ a̠
amanekɯ	a̠ m a̠ n e̞ k ɯ̟ᵝ
aɾai	a̠ ɾ a̠ i
aɾɯ	a̠ ɾ ɯ̟ᵝ
aŋkoɯ	ã̠ ŋ k o̞ː
aãɕiʑɯt͡sɯ	ã̠ ɰ̃ ɕ i ʑ ɨᵝ t͡s ɨᵝ
annaɲi	ã̠ nː a̠ ɲ̟ i
ammaɾʲi	ã̠ mː a̠ ɾʲ i
iːŋkai	i ĩ ŋ k a̠ i
iɯ	i ɯ̟ᵝ
iɕikaɰakeŋ	i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ
iɕiɡantoɯ	i ɕ i ɡ ã̠ n t o̞ː
iɕidatamʲi	i ɕ i d a̠ t a̠ mʲ i
iɕɯː	i ɕ ɨᵝː
isɯzɯ	i s ɨᵝ z ɨᵝ
izɯnokɯɲi	i z ɨᵝ n o̞ k ɯ̟ᵝ ɲ̟ i
izɯɾe	i z ɨᵝ ɾ e̞
iseː	i s e̞ː
ita	i t a̠
itaɕa	i t a̠ ɕ a̠
it͡ɕiʑikɯka	i t͡ɕ i ʑ i k ɯ̟ᵝ k a̠
it͡ɕiɲimmae	i t͡ɕ i ɲ̟ ĩ mː a̠ e̞
it͡ɕihajakɯ	i t͡ɕ i h a̠ j a̠ k ɯ̟ᵝ
it͡ɕibɯ	i t͡ɕ i b ɯ̟ᵝ
it͡ɕait͡ɕa	i t͡ɕ a̠ i t͡ɕ a̠
iɕɕɯː	i ɕː ɯ̟ᵝː
iɕɕokɯ	i ɕː o̞ k ɯ̟ᵝ
ittemaiɾʲimasɯ	i t̚ t e̞ m a̠ i ɾʲ i m a̠ s ɨᵝ
ippand͡ʑiŋ	i p̚ p ã̠ ɲ̟ d͡ʑ ĩ ɴ
inase	i n a̠ s e̞
inot͡ɕi	i n o̞ t͡ɕ i
ihaɴ	i h ã̠ ɴ
iboʑi	i b o̞ ʑ i
iɰakɯt͡sɯkʲi	i ɰᵝ a̠ k ɯ̟ᵝ t͡s ɨᵝ kʲ i
ɯekʲibat͡ɕi	ɯ̟ᵝ e̞ kʲ i b a̠ t͡ɕ i
ɯesama	ɯ̟ᵝ e̞ s a̠ m a̠
ɯɕiɾoaɾɯkʲi	ɯ̟ᵝ ɕ i ɾ o̞ a̠ ɾ ɯ̟ᵝ kʲ i
ɯsoçime	ɯ̟ᵝ s o̞ ç i m e̞
ɯmaɾet͡sɯkʲi	ɯ̟ᵝ m a̠ ɾ e̞ t͡s ɨᵝ kʲ i
ɯmekɯ	ɯ̟ᵝ m e̞ k ɯ̟ᵝ
ɯɾa	ɯ̟ᵝ ɾ a̠
ɯɾabʲoɯɕi	ɯ̟ᵝ ɾ a̠ bʲ o̞ː ɕ i
ɯɾʲi	ɯ̟ᵝ ɾʲ i
ɯɾotaeɾɯ	ɯ̟ᵝ ɾ o̞ t a̠ e̞ ɾ ɯ̟ᵝ
ɯndoɯont͡ɕi	ɯ̟̃ᵝ n d o̞ː õ̞ ɲ̟ t͡ɕ i
ɯndoɯɾʲoɯ	ɯ̟̃ᵝ n d o̞ː ɾʲ o̞ː
esa	e̞ s a̠
esaɕi	e̞ s a̠ ɕ i
eɾʲi	e̞ ɾʲ i
end͡zand͡zoɯɸɯkɯkʲi	ẽ̞ n d͡z ã̠ n d͡z o̞ː ɸ ɯ̟ᵝ k ɯ̟̊ᵝ kʲ i
eẽɕɯː	ẽ̞ ɰ̃ ɕ ɨᵝː
entakɯ	ẽ̞ n t a̠ k ɯ̟ᵝ
endai	ẽ̞ n d a̠ i
ent͡ɕɯːçoɯ	ẽ̞ ɲ̟ t͡ɕ ɨᵝː ç o̞ː
ent͡ɕoɯseŋ	ẽ̞ ɲ̟ t͡ɕ o̞ː s ẽ̞ ɴ
embʲiɸɯkɯ	ẽ̞ m bʲ i ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
