あいがん	a̠ i ɡ ã̠ ɴ
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
あいよ	a̠ i j o̞
あおげいとう	a̠ o̞ ɡ e̞ː t o̞ː
あおば	a̠ o̞ b a̠
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あがき	a̠ ɡ a̠ kʲ i
あくせく	a̠ k ɯ̟ᵝ s e̞ k ɯ̟ᵝ
あくにち	a̠ k ɯ̟ᵝ ɲ̟ i t͡ɕ i
あげはちょう	a̠ ɡ e̞ h a̠ t͡ɕ o̞ː
あさいろ	a̠ s a̠ i ɾ o̞
あさって	a̠ s a̠ t̚ t e̞
あざわらう	a̠ z a̠ ɰᵝ a̠ ɾ a̠ ɯ̟ᵝ
あっけない	a̠ k̚ k e̞ n a̠ i
あっさく	a̠ sː a̠ k ɯ̟ᵝ
あつくるしい	a̠ t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あつらえる	a̠ t͡s ɨᵝ ɾ a̠ e̞ ɾ ɯ̟ᵝ
あに	a̠ ɲ̟ i
あまでら	a̠ m a̠ d e̞ ɾ a̠
あまねく	a̠ m a̠ n e̞ k ɯ̟ᵝ
あらい	a̠ ɾ a̠ i
ある	a̠ ɾ ɯ̟ᵝ
あんこう	ã̠ ŋ k o̞ː
あんしじゅつ	ã̠ ɰ̃ ɕ i ʑ ɨᵝ t͡s ɨᵝ
あんなに	ã̠ nː a̠ ɲ̟ i
あんまり	ã̠ mː a̠ ɾʲ i
いいんかい	i ĩ ŋ k a̠ i
いう	i ɯ̟ᵝ
いしかわけん	i ɕ i k a̠ ɰᵝ a̠ k ẽ̞ ɴ
いしがんとう	i ɕ i ɡ ã̠ n t o̞ː
いしだたみ	i ɕ i d a̠ t a̠ mʲ i
いしゅう	i ɕ ɨᵝː
いすず	i s ɨᵝ z ɨᵝ
いずのくに	i z ɨᵝ n o̞ k ɯ̟ᵝ ɲ̟ i
いずれ	i z ɨᵝ ɾ e̞
いせい	i s e̞ː
いた	i t a̠
いたしゃ	i t a̠ ɕ a̠
いちじくか	i t͡ɕ i ʑ i k ɯ̟ᵝ k a̠
いちにんまえ	i t͡ɕ i ɲ̟ ĩ mː a̠ e̞
いちはやく	i t͡ɕ i h a̠ j a̠ k ɯ̟ᵝ
いちぶ	i t͡ɕ i b ɯ̟ᵝ
いちゃいちゃ	i t͡ɕ a̠ i t͡ɕ a̠
いっしゅう	i ɕː ɯ̟ᵝː
いっしょく	i ɕː o̞ k ɯ̟ᵝ
いってまいります	i t̚ t e̞ m a̠ i ɾʲ i m a̠ s ɨᵝ
いっぱんじん	i p̚ p ã̠ ɲ̟ d͡ʑ ĩ ɴ
いなせ	i n a̠ s e̞
いのち	i n o̞ t͡ɕ i
いはん	i h ã̠ ɴ
いぼじ	i b o̞ ʑ i
いわくつき	i ɰᵝ a̠ k ɯ̟ᵝ t͡s ɨᵝ kʲ i
うえきばち	ɯ̟ᵝ e̞ kʲ i b a̠ t͡ɕ i
うえさま	ɯ̟ᵝ e̞ s a̠ m a̠
うしろあるき	ɯ̟ᵝ ɕ i ɾ o̞ a̠ ɾ ɯ̟ᵝ kʲ i
うそひめ	ɯ̟ᵝ s o̞ ç i m e̞
うまれつき	ɯ̟ᵝ m a̠ ɾ e̞ t͡s ɨᵝ kʲ i
うめく	ɯ̟ᵝ m e̞ k ɯ̟ᵝ
うら	ɯ̟ᵝ ɾ a̠
うらびょうし	ɯ̟ᵝ ɾ a̠ bʲ o̞ː ɕ i
うり	ɯ̟ᵝ ɾʲ i
うろたえる	ɯ̟ᵝ ɾ o̞ t a̠ e̞ ɾ ɯ̟ᵝ
うんどうおんち	ɯ̟̃ᵝ n d o̞ː õ̞ ɲ̟ t͡ɕ i
うんどうりょう	ɯ̟̃ᵝ n d o̞ː ɾʲ o̞ː
えさ	e̞ s a̠
えさし	e̞ s a̠ ɕ i
えり	e̞ ɾʲ i
えんざんぞうふくき	ẽ̞ n d͡z ã̠ n d͡z o̞ː ɸ ɯ̟ᵝ k ɯ̟̊ᵝ kʲ i
えんしゅう	ẽ̞ ɰ̃ ɕ ɨᵝː
えんたく	ẽ̞ n t a̠ k ɯ̟ᵝ
えんだい	ẽ̞ n d a̠ i
えんちゅうひょう	ẽ̞ ɲ̟ t͡ɕ ɨᵝː ç o̞ː
えんちょうせん	ẽ̞ ɲ̟ t͡ɕ o̞ː s ẽ̞ ɴ
えんびふく	ẽ̞ m bʲ i ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
えんぴつ	ẽ̞ m pʲ i̥ t͡s ɨᵝ
おいたつ	o̞ i t a̠ t͡s ɨᵝ
おうこく	o̞ː k o̞ k ɯ̟ᵝ
おうごんじだい	o̞ː ɡ õ̞ ɲ̟ d͡ʑ i d a̠ i
おうじょうぎわ	o̞ː ʑ o̞ː ɡʲ i ɰᵝ a̠
おうへい	o̞ː h e̞ː
おうれん	o̞ː ɾ ẽ̞ ɴ
おおずもう	o̞ː z ɨᵝ m o̞ː
おから	o̞ k a̠ ɾ a̠
おからこうじ	o̞ k a̠ ɾ a̠ k o̞ː ʑ i
おきゃく	o̞ kʲ a̠ k ɯ̟ᵝ
おきる	o̞ kʲ i ɾ ɯ̟ᵝ
おぎなう	o̞ ɡʲ i n a̠ ɯ̟ᵝ
おこがましい	o̞ k o̞ ɡ a̠ m a̠ ɕ iː
おこもり	o̞ k o̞ m o̞ ɾʲ i
おこる	o̞ k o̞ ɾ ɯ̟ᵝ
おしゃぶり	o̞ ɕ a̠ b ɯ̟ᵝ ɾʲ i
おじうえ	o̞ ʑ i ɯ̟ᵝ e̞
おそれる	o̞ s o̞ ɾ e̞ ɾ ɯ̟ᵝ
おち	o̞ t͡ɕ i
おとこ	o̞ t o̞ k o̞
おとこがお	o̞ t o̞ k o̞ ɡ a̠ o̞
おとこのこ	o̞ t o̞ k o̞ n o̞ k o̞
おふくろ	o̞ ɸ ɯ̟̊ᵝ k ɯ̟ᵝ ɾ o̞
おべっか	o̞ b e̞ k̚ k a̠
おまえ	o̞ m a̠ e̞
おまんこ	o̞ m ã̠ ŋ k o̞
おもいつき	o̞ m o̞ i t͡s ɨᵝ kʲ i
おもいやり	o̞ m o̞ i j a̠ ɾʲ i
おもんぱかる	o̞ m õ̞ m p a̠ k a̠ ɾ ɯ̟ᵝ
おや	o̞ j a̠
おやすみになる	o̞ j a̠ s ɨᵝ mʲ i ɲ̟ i n a̠ ɾ ɯ̟ᵝ
および	o̞ j o̞ bʲ i
おりる	o̞ ɾʲ i ɾ ɯ̟ᵝ
おんどり	õ̞ n d o̞ ɾʲ i
おんながお	õ̞ nː a̠ ɡ a̠ o̞
おんよみ	õ̞ ɰ̃ j o̞ mʲ i
かいあわせ	k a̠ i a̠ ɰᵝ a̠ s e̞
かいけつ	k a̠ i k e̞ t͡s ɨᵝ
かいこく	k a̠ i k o̞ k ɯ̟ᵝ
かいぞくばん	k a̠ i z o̞ k ɯ̟ᵝ b ã̠ ɴ
かいらいし	k a̠ i ɾ a̠ i ɕ i
かえすがえす	k a̠ e̞ s ɨᵝ ɡ a̠ e̞ s ɨᵝ
かがくはくぶつかん	k a̠ ɡ a̠ k ɯ̟ᵝ h a̠ k ɯ̟ᵝ b ɯ̟ᵝ t͡s ɨ̥ᵝ k ã̠ ɴ
かがむ	k a̠ ɡ a̠ m ɯ̟ᵝ
かきとる	k a̠ kʲ i t o̞ ɾ ɯ̟ᵝ
かぎ	k a̠ ɡʲ i
かくたる	k a̠ k ɯ̟ᵝ t a̠ ɾ ɯ̟ᵝ
かげえ	k a̠ ɡ e̞ e̞
かさい	k a̠ s a̠ i
かざい	k a̠ z a̠ i
かしこ	k a̠ ɕ i̥ k o̞
かしゃ	k a̠ ɕ a̠
かずかず	k a̠ z ɨᵝ k a̠ z ɨᵝ
かぜ	k a̠ z e̞
かそる	k a̠ s o̞ ɾ ɯ̟ᵝ
かたて	k a̠ t a̠ t e̞
かたなかじ	k a̠ t a̠ n a̠ k a̠ ʑ i
かっこうわるい	k a̠ k̚ k o̞ː ɰᵝ a̠ ɾ ɯ̟ᵝ i
かっせん	k a̠ sː ẽ̞ ɴ
かつえき	k a̠ t͡s ɨᵝ e̞ kʲ i
かつら	k a̠ t͡s ɨᵝ ɾ a̠
かのう	k a̠ n o̞ː
かふか	k a̠ ɸ ɯ̟ᵝ k a̠
かまぼこ	k a̠ m a̠ b o̞ k o̞
かみあわせる	k a̠ mʲ i a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
かみしばい	k a̠ mʲ i ɕ i b a̠ i
から	k a̠ ɾ a̠
からすとんび	k a̠ ɾ a̠ s ɨ̥ᵝ t õ̞ m bʲ i
からだ	k a̠ ɾ a̠ d a̠
かる	k a̠ ɾ ɯ̟ᵝ
かるい	k a̠ ɾ ɯ̟ᵝ i
かんこんそうさい	k ã̠ ŋ k õ̞ ɰ̃ s o̞ː s a̠ i
かんしつけい	k ã̠ ɰ̃ ɕ i t͡s ɨᵝ k e̞ː
かんせん	k ã̠ ɰ̃ s ẽ̞ ɴ
かんたん	k ã̠ n t ã̠ ɴ
がいこうかん	ɡ a̠ i k o̞ː k ã̠ ɴ
がいちょう	ɡ a̠ i t͡ɕ o̞ː
がごう	ɡ a̠ ɡ o̞ː
がちょう	ɡ a̠ t͡ɕ o̞ː
がっこ	ɡ a̠ k̚ k o̞
がってん	ɡ a̠ t̚ t ẽ̞ ɴ
がにまた	ɡ a̠ ɲ̟ i m a̠ t a̠
がりべん	ɡ a̠ ɾʲ i b ẽ̞ ɴ
がんきゅう	ɡ ã̠ ŋʲ kʲ ɨᵝː
きえる	kʲ i e̞ ɾ ɯ̟ᵝ
きが	kʲ i ɡ a̠
ききはずす	kʲ i kʲ i h a̠ z ɨᵝ s ɨᵝ
きこくしじょ	kʲ i k o̞ k ɯ̟ᵝ ɕ i ʑ o̞
きじゅつ	kʲ i ʑ ɨᵝ t͡s ɨᵝ
きじょ	kʲ i ʑ o̞
きそく	kʲ i s o̞ k ɯ̟ᵝ
きびしい	kʲ i bʲ i ɕ i i
きゃくしょく	kʲ a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
きゅうげき	kʲ ɨᵝː ɡ e̞ kʲ i
きょうごうじょうたい	kʲ o̞ː ɡ o̞ː d͡ʑ o̞ː t a̠ i
きょうしゃ	kʲ o̞ː ɕ a̠
きょうしょう	kʲ o̞ː ɕ o̞ː
きょうじょう	kʲ o̞ː ʑ o̞ː
きょうせいしゅうようじょ	kʲ o̞ː s e̞ː ɕ ɨᵝː j o̞ː ʑ o̞
きょうそうきょく	kʲ o̞ː s o̞ː kʲ o̞ k ɯ̟ᵝ
きょうてん	kʲ o̞ː t ẽ̞ ɴ
きょうどうしゅっし	kʲ o̞ː d o̞ː ɕ ɨᵝ ɕː i
きょくげん	kʲ o̞ k ɯ̟ᵝ ɡ ẽ̞ ɴ
きよ	kʲ i j o̞
きれい	kʲ i ɾ e̞ː
きんてき	kʲ ĩ n t e̞ kʲ i
きんよく	kʲ ĩ ɰ̃ j o̞ k ɯ̟ᵝ
ぎゃくさつ	ɡʲ a̠ k ɯ̟ᵝ s a̠ t͡s ɨᵝ
ぎりぎり	ɡʲ i ɾʲ i ɡʲ i ɾʲ i
ぎんぽ	ɡʲ ĩ m p o̞
くたびれる	k ɯ̟ᵝ t a̠ bʲ i ɾ e̞ ɾ ɯ̟ᵝ
くだらごと	k ɯ̟ᵝ d a̠ ɾ a̠ ɡ o̞ t o̞
くちずさむ	k ɯ̟ᵝ t͡ɕ i z ɨᵝ s a̠ m ɯ̟ᵝ
くつした	k ɯ̟̊ᵝ t͡s ɨᵝ ɕ i̥ t a̠
くびったけ	k ɯ̟ᵝ bʲ i t̚ t a̠ k e̞
くへんとうゆ	k ɯ̟ᵝ h ẽ̞ n t o̞ː j ɯ̟ᵝ
くやしい	k ɯ̟ᵝ j a̠ ɕ iː
くるい	k ɯ̟ᵝ ɾ ɯ̟ᵝ i
くるいざき	k ɯ̟ᵝ ɾ ɯ̟ᵝ i z a̠ kʲ i
くわ	k ɯ̟ᵝ ɰᵝ a̠
くわわる	k ɯ̟ᵝ ɰᵝ a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
ぐうぞうすうはい	ɡ ɯ̟ᵝː z o̞ː s ɨᵝː h a̠ i
ぐせい	ɡ ɯ̟ᵝ s e̞ː
ぐちをこぼす	ɡ ɯ̟ᵝ t͡ɕ i o̞ k o̞ b o̞ s ɨᵝ
ぐんぴ	ɡ ɯ̟̃ᵝ m pʲ i
けいこうひにんやく	k e̞ː k o̞ː ç i ɲ̟ ĩ ɰ̃ j a̠ k ɯ̟ᵝ
けいりょうき	k e̞ː ɾʲ o̞ː kʲ i
けた	k e̞ t a̠
けつけつ	k e̞ t͡s ɨᵝ k e̞ t͡s ɨᵝ
けれども	k e̞ ɾ e̞ d o̞ m o̞
けんぎゅうせい	k ẽ̞ ŋʲ ɡʲ ɨᵝː s e̞ː
けんぎょう	k ẽ̞ ŋʲ ɡʲ o̞ː
けんじょうしゃ	k ẽ̞ ɲ̟ d͡ʑ o̞ː ɕ a̠
け゚	ŋ e̞
げき	ɡ e̞ kʲ i
げっか	ɡ e̞ k̚ k a̠
げんめつ	ɡ ẽ̞ mː e̞ t͡s ɨᵝ
こうきゅう	k o̞ː kʲ ɨᵝː
こうくう	k o̞ː k ɯ̟ᵝː
こうご	k o̞ː ɡ o̞
こうちしょ	k o̞ː t͡ɕ i ɕ o̞
こうつうきかん	k o̞ː t͡s ɨᵝː kʲ i k ã̠ ɴ
こうにち	k o̞ː ɲ̟ i t͡ɕ i
こうもり	k o̞ː m o̞ ɾʲ i
こうら	k o̞ː ɾ a̠
こうりゃく	k o̞ː ɾʲ a̠ k ɯ̟ᵝ
こおり	k o̞ː ɾʲ i
こおりや	k o̞ː ɾʲ i j a̠
こかげ	k o̞ k a̠ ɡ e̞
こがねいろ	k o̞ ɡ a̠ n e̞ i ɾ o̞
こくすい	k o̞ k ɯ̟ᵝ s ɨᵝ i
こくそう	k o̞ k ɯ̟ᵝ s o̞ː
こくそく	k o̞ k ɯ̟ᵝ s o̞ k ɯ̟ᵝ
こくど	k o̞ k ɯ̟ᵝ d o̞
こくどう	k o̞ k ɯ̟ᵝ d o̞ː
こくゆう	k o̞ k ɯ̟ᵝ j ɯ̟ᵝː
こけおどし	k o̞ k e̞ o̞ d o̞ ɕ i
こころみ	k o̞ k o̞ ɾ o̞ mʲ i
こせい	k o̞ s e̞ː
こちとら	k o̞ t͡ɕ i t o̞ ɾ a̠
こっくん	k o̞ k̚ k ɯ̟̃ᵝ ɴ
こづち	k o̞ z ɨᵝ t͡ɕ i
こぼれ	k o̞ b o̞ ɾ e̞
こまぶえ	k o̞ m a̠ b ɯ̟ᵝ e̞
こめ	k o̞ m e̞
こもりぐま	k o̞ m o̞ ɾʲ i ɡ ɯ̟ᵝ m a̠
こやま	o̞ j a̠ m a̠
こん	k õ̞ ɴ
こんごう	k õ̞ ŋ ɡ o̞ː
ごうご	ɡ o̞ː ɡ o̞
ごうりてき	ɡ o̞ː ɾʲ i t e̞ kʲ i
ごく	ɡ o̞ k ɯ̟ᵝ
ごくらくちょう	ɡ o̞ k ɯ̟ᵝ ɾ a̠ k ɯ̟̊ᵝ t͡ɕ o̞ː
ごげんてき	ɡ o̞ ɡ ẽ̞ n t e̞ kʲ i
ごっちゃ	ɡ o̞ t̚ t͡ɕ a̠
さいしょくしゅぎ	s a̠ i ɕ o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
さいほうし	s a̠ i h o̞ː ɕ i
さいみんりょうほう	s a̠ i mʲ ĩ n ɾʲ o̞ː h o̞ː
さえ	s a̠ e̞
さかいめ	s a̠ k a̠ i m e̞
さかな	s a̠ k a̠ n a̠
さくひん	s a̠ k ɯ̟̊ᵝ ç ĩ ɴ
さくらもち	s a̠ k ɯ̟ᵝ ɾ a̠ m o̞ t͡ɕ i
ささげる	s a̠ s a̠ ɡ e̞ ɾ ɯ̟ᵝ
ささやか	s a̠ s a̠ j a̠ k a̠
さざなみ	s a̠ z a̠ n a̠ mʲ i
さだめない	s a̠ d a̠ m e̞ n a̠ i
さっきゅう	s a̠ k̚ʲ kʲ ɨᵝː
さてつ	s a̠ t e̞ t͡s ɨᵝ
さと	s a̠ t o̞
さとうや	s a̠ t o̞ː j a̠
さば	s a̠ b a̠
さま	s a̠ m a̠
さむい	s a̠ m ɯ̟ᵝ i
