kɑːkkɑːɗɑːា	k ɑ ʔ k a ʔ ɗ aː
kɑːŋɔː	k ɑː ŋ
kɑːŋɔː់	k ɑ ŋ
kɑːŋkɑːែɓɑː	k ɑ ŋ k a e p
kɑːɲcɔːះ	k ɑ ɲ c ĕ ə h
kɑːnɗɑːឹŋɔː	k ɑ n ɗ ə ŋ
kɑːnɗɑːូɓɑː	k ɑ n ɗ o u p
kɑːnɗɔː	k a n
kɑːtɑː់	k ɑ t
kɑːnlɔːែŋɔː	k ɑ n l a e ŋ
kɑːnsɑːោmɔː	k ɑ n s a o m
kɑːɓɑː៉ាlɔː់	k a ʔ p a l
kɑːmpɔːុcɔːា	k a m p u c i ə
kɑːmpɔːោcɔːិkɑː	k ɑ m p oː c ɨ k
kɑːmmɔː	k a m
kɑːmmɔːntɑː	k a m m ɑ n t a ʔ
kɑːmmɔːាtʰɔːិkɑːាrɔː	k a m m aː tʰ i k aː
kɑːrɔːnɑːី	k a ʔ r a ʔ n ə j
kɑːlɔːhɑː	k a ʔ l a ʔ h a ʔ
kɑːsɑːិkɑːrɔː	k a ʔ s e k ɑː
kɑːsɑːិɗtʰɑːាnɔː	k a ʔ s ə t tʰ aː n
kɑːាkɑː់	k a ʔ
kɑːាnɑːាɗɑːា	k aː n aː ɗ aː
kɑːាtɑː	k aː t
kɑːាtɑː់	k a t
kɑːាpɔːិ	k aː p i ʔ
kɑːាpjɔː	k aː p
kɑːាmɔːីɲɔː៉ុŋɔː	k aː m iː ɲ o ŋ
kɑːាrɔː	k aː
kɑːាrɔːŋɔːាrɔː	k aː ŋ i ə
kɑːាrɔːɓɑːɗɑːិʋɔːttɑːnɔː៍	k aː p a ʔ ɗ e ʋ ŏ ə t
kɑːាrɔːpɔːាrɔː	k aː p i ə
kɑːាrɔːិjɔːាlɔː័jɔː	k aː r i j aː l a j
kɑːាrɔː៉េmɔː	k aː r eː m
kɑːាʋɔː	k aː w
kɑːាsɑːែtɑː	k aː s a e t
kɑːាsɑː៊ីnɑːូ	k aː s iː n o u
kɑːាhʋɔːេ	k aː f eː
kɑːាំ	k a m
kɑːាំpʰlɔːើŋɔː	k a m p l əː ŋ
kɑːិccɑː	k ə c
kɑːិrɔːិjɔːាsɑːptɔː	k e r i j aː s a p
kɑːុŋɔː	k o ŋ
kɑːុnɔː	k o n
kɑːុmpʰɔːៈ	k o m pʰ ĕ ə ʔ
kɑːូkɑːាkɑːូlɑːា	k o u k aː k o u l aː
kɑːូnɔːsrɔːី	k o u n s r ə j
kɑːូɓɑːាlɔː	k o u ɓ aː l
kɑːូmɔː័rɔː	k o u m ɔ ə
kɑːូlɑːាlɑːាំpɔːួrɔː	k o u l aː l a m p u ə
kɑːើtɑː	k a ə t
kɑːៀhsɑː៊ីsɑː៊ីstʰɑːាnɔː	k i ə z iː s iː s tʰ aː n
kɑːែŋɔː	k a e ŋ
kɑːែtɔːំrɔːŋɔː់	k a e t u m r ŭ ə ŋ
kɑːែʋɔː	k a e w
kɑːែsɑː	k a e h
kɑːៃlɑːាtɑː់	k a j l a t
kɑːោrɔːីlɔː	k a o r iː l
kɑːោះ	k ɑ h
kɑːំɲɔːmɔː	k ɑ m ɲ ɑː m
kɑːំnɑːtɑː់	k ɑ m n ɑ t
kɑːំnɑːាɲɔː់	k ɑ m n a ɲ
kɑːំnɑːាrɔː	k ɑ m n aː
kɑːំɓlɔːោkɑː	k ɑ m pʰ l a o k
kɑːំpʰɑːើmɔː	k ɑ m pʰ a ə m
kɑːំpɔːsɑː់	k ɑ m p ŭ ə h
kɑːំrɔːាlɔː	k ɑ m r aː l
kŋɔːោkɑː	k ŋ a o k
kɗɑːោŋɔː	k ɗ a o ŋ
knɔːុŋɔː	kʰ n o ŋ
kɓɑːាlɔː	k ɓ aː l
kɓɑːួnɔː	k ɓ u ə n
kmɔːេŋɔːsrɔːី	kʰ m eː ŋ s r ə j
krɔː	k r ɑː
krɔːcɑːើlɔː	k r ɑ c a ə l
krɔːɲɔːrɔː	k r ɑ ɲ ɑː
krɔːɲɔːាំ	k r ɑ ɲ a m
krɔːɗɑːាsɑː	k r ɑ ɗ aː h
krɔːmɔː	k r ɑ m
krɔːlɔːៀnɔː	k r ɑ l i ə n
krɔːʋɔːិlɔː	k r ɑ ʋ ə l
krɔːsɑːាnɔː	k r ɑ s aː n
krɔːhɑːmɔː	k r ɑ h ɑː m
krɔːlɑːាhɑːោmɔː	k r ɑː l aː h a o m
krɔːាɓɑː	k r aː p
krɔːុkɑːៗ	k r o k k r o k
krɔːុmɔː	k r o m
krɔːូmɔː	k r o u m
krɔːៀmɔː	k r i ə m
ksɑːtrɔː	kʰ s a t
ksɑːtrɔːិjɔː៍	kʰ s a t
kʔɑːាtɑː់	k ʔ a t
kʔɑːែɓɑː	k ʔ a e p
kʰɑːnɔːិcɔː	kʰ ɑ n ɨ c
kʰɑːាtɑː់	kʰ a t
