가공품	k a̠ ɡ o̞ ŋ pʰ u m
가르침	k a̠ ɾ ɯ t͡ɕʰ i m
가리비	k a̠ ɾ i b i
가마우지	k a̠ m a̠ u d͡ʑ i
가만	k a̠ m a̠ n
가만두다	k a̠ m a̠ n d u d a̠
가맣다	k a̠ː m a̠ tʰ a̠
가문	k a̠ m u n
가방	k a̠ b a̠ ŋ
가봉	k a̠ b o̞ ŋ
가시다	k a̠ ɕʰ i d a̠
가장자리	k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i
가져가다	k a̠ d͡ʑ ʌ̹ ɡ a̠ d a̠
각도	k a̠ k̚ t͈ o̞
간질이다	k a̠ ɲ d͡ʑ i ɾ i d a̠
간통	k a̠ː n tʰ o̞ ŋ
갈비	k a̠ ɭ b i
감초	k a̠ m t͡ɕʰ o̞
강국	k a̠ ŋ ɡ u k̚
강설	k a̠ː ŋ sʰ ʌ̹ ɭ
거만	k ɘː m a̠ n
거문고	k ʌ̹ m u n ɡ o̞
건의	k ɘː n ɰ i
걸레	k ʌ̹ ɭ ɭ e̞
걸프렌드	k ʌ̹ ɭ pʰ ɯ ɾ e̞ n d ɯ
검다	k ɘː m t͈ a̠
검둥이	k ʌ̹ m d u ŋ i
검사	k ɘː m sʰ a̠
검열	k ɘː m ɲ j ʌ̹ ɭ
검은금	k ʌ̹ m ɯ n ɡ ɯ m
게릴라	k e̞ ɾ i ɭ ɭ a̠
게이트	k e̞ i tʰ ɯ
게장	k e̞ d͡ʑ a̠ ŋ
겨드랑이	k j ʌ̹ d ɯ ɾ a̠ ŋ i
겨우	k j ʌ̹ u
결심	k j ʌ̹ ɭ ɕ͈ i m
결핍	k j ʌ̹ ɭ pʰ i p̚
결혼	k j ʌ̹ ɾ β o̞ n
경찰	k j ɘː ŋ t͡ɕʰ a̠ ɭ
계급	k j e̞ ɡ ɯ p̚
계승	k j e̞ sʰ ɯ ŋ
계열	k j e̞ j ʌ̹ ɭ
계절	k j e̞ː d͡ʑ ʌ̹ ɭ
고기겹빵	k o̞ ɡ i ɡ j ʌ̹ p̚ p͈ a̠ ŋ
고지식하다	k o̞ d͡ʑ i ɕʰ i kʰ a̠ d a̠
고집하다	k o̞ d͡ʑ i pʰ a̠ d a̠
곧바로	k o̞ t̚ p͈ a̠ ɾ o̞
곰실	k o̞ m ɕʰ i ɭ
공갈	k o̞ː ŋ ɡ a̠ ɭ
공군	k o̞ ŋ ɡ u n
공무원	k o̞ ŋ m u w ʌ̹ n
공산당	k o̞ː ŋ sʰ a̠ n d a̠ ŋ
공업	k o̞ ŋ ʌ̹ p̚
공원	k o̞ ŋ w ʌ̹ n
