kakoŋpʰum	k a̠ ɡ o̞ ŋ pʰ u m
kalɯt͡ɕʰim	k a̠ ɾ ɯ t͡ɕʰ i m
kalipi	k a̠ ɾ i b i
kamaut͡ɕi	k a̠ m a̠ u d͡ʑ i
kaman	k a̠ m a̠ n
kamantuta	k a̠ m a̠ n d u d a̠
kamatʰa	k a̠ː m a̠ tʰ a̠
kamun	k a̠ m u n
kapaŋ	k a̠ b a̠ ŋ
kapoŋ	k a̠ b o̞ ŋ
kasita	k a̠ ɕʰ i d a̠
kat͡ɕaŋt͡ɕali	k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i
kat͡ɕjʌkata	k a̠ d͡ʑ ʌ̹ ɡ a̠ d a̠
kakt͈o	k a̠ k̚ t͈ o̞
kant͡ɕilita	k a̠ ɲ d͡ʑ i ɾ i d a̠
kantʰoŋ	k a̠ː n tʰ o̞ ŋ
kalpi	k a̠ ɭ b i
kamt͡ɕʰo	k a̠ m t͡ɕʰ o̞
kaŋkuk	k a̠ ŋ ɡ u k̚
kaŋsʌl	k a̠ː ŋ sʰ ʌ̹ ɭ
kʌman	k ɘː m a̠ n
kʌmunko	k ʌ̹ m u n ɡ o̞
kʌni	k ɘː n ɰ i
kʌlle	k ʌ̹ ɭ ɭ e̞
kʌlpʰɯlentɯ	k ʌ̹ ɭ pʰ ɯ ɾ e̞ n d ɯ
kʌmta	k ɘː m t͈ a̠
kʌmtuŋi	k ʌ̹ m d u ŋ i
kʌmsa	k ɘː m sʰ a̠
kʌmjʌl	k ɘː m ɲ j ʌ̹ ɭ
kʌmɯnkɯm	k ʌ̹ m ɯ n ɡ ɯ m
kelilla	k e̞ ɾ i ɭ ɭ a̠
keitʰɯ	k e̞ i tʰ ɯ
ket͡ɕaŋ	k e̞ d͡ʑ a̠ ŋ
kjʌtɯlaŋi	k j ʌ̹ d ɯ ɾ a̠ ŋ i
kjʌu	k j ʌ̹ u
kjʌls͈im	k j ʌ̹ ɭ ɕ͈ i m
kjʌlpʰip	k j ʌ̹ ɭ pʰ i p̚
kjʌlon	k j ʌ̹ ɾ β o̞ n
kjʌŋt͡ɕʰal	k j ɘː ŋ t͡ɕʰ a̠ ɭ
kjekɯp	k j e̞ ɡ ɯ p̚
kjesɯŋ	k j e̞ sʰ ɯ ŋ
kjejʌl	k j e̞ j ʌ̹ ɭ
kjet͡ɕʌl	k j e̞ː d͡ʑ ʌ̹ ɭ
kokikjʌpp͈aŋ	k o̞ ɡ i ɡ j ʌ̹ p̚ p͈ a̠ ŋ
kot͡ɕisikʰata	k o̞ d͡ʑ i ɕʰ i kʰ a̠ d a̠
kot͡ɕipʰata	k o̞ d͡ʑ i pʰ a̠ d a̠
kotp͈alo	k o̞ t̚ p͈ a̠ ɾ o̞
komsil	k o̞ m ɕʰ i ɭ
koŋkal	k o̞ː ŋ ɡ a̠ ɭ
koŋkun	k o̞ ŋ ɡ u n
koŋmuwʌn	k o̞ ŋ m u w ʌ̹ n
koŋsantaŋ	k o̞ː ŋ sʰ a̠ n d a̠ ŋ
koŋʌp	k o̞ ŋ ʌ̹ p̚
koŋwʌn	k o̞ ŋ w ʌ̹ n
koŋt͡ɕʌŋ	k o̞ ŋ d͡ʑ ʌ̹ ŋ
koŋt͡ɕu	k o̞ ŋ d͡ʑ u
koŋt͡ɕuŋ	k o̞ ŋ d͡ʑ u ŋ
kwakʌjʌŋ	k w a̠ː ɡ ʌ̹ ʝ j ʌ̹ ŋ
kwalosa	k w a̠ː ɾ o̞ sʰ a̠
kwailtanmul	k w a̠ i ɭ d a̠ n m u ɭ
