ㄱㅏㄱㅗㅇㅍㅜㅁ	k a̠ ɡ o̞ ŋ pʰ u m
ㄱㅏㄹㅡㅊㅣㅁ	k a̠ ɾ ɯ t͡ɕʰ i m
ㄱㅏㄹㅣㅂㅣ	k a̠ ɾ i b i
ㄱㅏㅁㅏㅇㅜㅈㅣ	k a̠ m a̠ u d͡ʑ i
ㄱㅏㅁㅏㄴ	k a̠ m a̠ n
ㄱㅏㅁㅏㄴㄷㅜㄷㅏ	k a̠ m a̠ n d u d a̠
ㄱㅏㅁㅏㅎㄷㅏ	k a̠ː m a̠ tʰ a̠
ㄱㅏㅁㅜㄴ	k a̠ m u n
ㄱㅏㅂㅏㅇ	k a̠ b a̠ ŋ
ㄱㅏㅂㅗㅇ	k a̠ b o̞ ŋ
ㄱㅏㅅㅣㄷㅏ	k a̠ ɕʰ i d a̠
ㄱㅏㅈㅏㅇㅈㅏㄹㅣ	k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i
ㄱㅏㅈㅕㄱㅏㄷㅏ	k a̠ d͡ʑ ʌ̹ ɡ a̠ d a̠
ㄱㅏㄱㄷㅗ	k a̠ k̚ t͈ o̞
ㄱㅏㄴㅈㅣㄹㅇㅣㄷㅏ	k a̠ ɲ d͡ʑ i ɾ i d a̠
ㄱㅏㄴㅌㅗㅇ	k a̠ː n tʰ o̞ ŋ
ㄱㅏㄹㅂㅣ	k a̠ ɭ b i
ㄱㅏㅁㅊㅗ	k a̠ m t͡ɕʰ o̞
ㄱㅏㅇㄱㅜㄱ	k a̠ ŋ ɡ u k̚
ㄱㅏㅇㅅㅓㄹ	k a̠ː ŋ sʰ ʌ̹ ɭ
ㄱㅓㅁㅏㄴ	k ɘː m a̠ n
ㄱㅓㅁㅜㄴㄱㅗ	k ʌ̹ m u n ɡ o̞
ㄱㅓㄴㅇㅢ	k ɘː n ɰ i
ㄱㅓㄹㄹㅔ	k ʌ̹ ɭ ɭ e̞
ㄱㅓㄹㅍㅡㄹㅔㄴㄷㅡ	k ʌ̹ ɭ pʰ ɯ ɾ e̞ n d ɯ
ㄱㅓㅁㄷㅏ	k ɘː m t͈ a̠
ㄱㅓㅁㄷㅜㅇㅇㅣ	k ʌ̹ m d u ŋ i
ㄱㅓㅁㅅㅏ	k ɘː m sʰ a̠
ㄱㅓㅁㅇㅕㄹ	k ɘː m ɲ j ʌ̹ ɭ
ㄱㅓㅁㅇㅡㄴㄱㅡㅁ	k ʌ̹ m ɯ n ɡ ɯ m
ㄱㅔㄹㅣㄹㄹㅏ	k e̞ ɾ i ɭ ɭ a̠
ㄱㅔㅇㅣㅌㅡ	k e̞ i tʰ ɯ
ㄱㅔㅈㅏㅇ	k e̞ d͡ʑ a̠ ŋ
ㄱㅕㄷㅡㄹㅏㅇㅇㅣ	k j ʌ̹ d ɯ ɾ a̠ ŋ i
ㄱㅕㅇㅜ	k j ʌ̹ u
ㄱㅕㄹㅅㅣㅁ	k j ʌ̹ ɭ ɕ͈ i m
ㄱㅕㄹㅍㅣㅂ	k j ʌ̹ ɭ pʰ i p̚
ㄱㅕㄹㅎㅗㄴ	k j ʌ̹ ɾ β o̞ n
ㄱㅕㅇㅊㅏㄹ	k j ɘː ŋ t͡ɕʰ a̠ ɭ
ㄱㅖㄱㅡㅂ	k j e̞ ɡ ɯ p̚
ㄱㅖㅅㅡㅇ	k j e̞ sʰ ɯ ŋ
ㄱㅖㅇㅕㄹ	k j e̞ j ʌ̹ ɭ
ㄱㅖㅈㅓㄹ	k j e̞ː d͡ʑ ʌ̹ ɭ
ㄱㅗㄱㅣㄱㅕㅂㅃㅏㅇ	k o̞ ɡ i ɡ j ʌ̹ p̚ p͈ a̠ ŋ
ㄱㅗㅈㅣㅅㅣㄱㅎㅏㄷㅏ	k o̞ d͡ʑ i ɕʰ i kʰ a̠ d a̠
ㄱㅗㅈㅣㅂㅎㅏㄷㅏ	k o̞ d͡ʑ i pʰ a̠ d a̠
ㄱㅗㄷㅂㅏㄹㅗ	k o̞ t̚ p͈ a̠ ɾ o̞
ㄱㅗㅁㅅㅣㄹ	k o̞ m ɕʰ i ɭ
ㄱㅗㅇㄱㅏㄹ	k o̞ː ŋ ɡ a̠ ɭ
ㄱㅗㅇㄱㅜㄴ	k o̞ ŋ ɡ u n
ㄱㅗㅇㅁㅜㅇㅝㄴ	k o̞ ŋ m u w ʌ̹ n
ㄱㅗㅇㅅㅏㄴㄷㅏㅇ	k o̞ː ŋ sʰ a̠ n d a̠ ŋ
ㄱㅗㅇㅇㅓㅂ	k o̞ ŋ ʌ̹ p̚
ㄱㅗㅇㅇㅝㄴ	k o̞ ŋ w ʌ̹ n
ㄱㅗㅇㅈㅓㅇ	k o̞ ŋ d͡ʑ ʌ̹ ŋ
ㄱㅗㅇㅈㅜ	k o̞ ŋ d͡ʑ u
ㄱㅗㅇㅈㅜㅇ	k o̞ ŋ d͡ʑ u ŋ
ㄱㅘㄱㅓㅎㅕㅇ	k w a̠ː ɡ ʌ̹ ʝ j ʌ̹ ŋ
ㄱㅘㄹㅗㅅㅏ	k w a̠ː ɾ o̞ sʰ a̠
ㄱㅘㅇㅣㄹㄷㅏㄴㅁㅜㄹ	k w a̠ i ɭ d a̠ n m u ɭ
ㄱㅘㅌㅔㅁㅏㄹㄹㅏ	k w a̠ tʰ e̞ m a̠ ɭ ɭ a̠
ㄱㅘㅎㅏㄱㅈㅓㄱ	k w a̠ ɦ a̠ k̚ t͡ɕ͈ ʌ̹ k̚
ㄱㅘㄴㅎㅕㅇㅅㅏ	k w a̠ n ʝ j ʌ̹ ŋ sʰ a̠
ㄱㅘㅇㄱㅓㅁ	k w a̠ ŋ ɡ ʌ̹ m
ㄱㅘㅇㅅㅓㄱ	k w a̠ː ŋ sʰ ʌ̹ k̚
ㄱㅚㄱㅣ	k w e̞ ɡ i
ㄱㅚㄹㅚ	k w e̞ː ɾ w e̞
ㄱㅚㅇㅈㅏㅇㅎㅣ	k w e̞ ŋ d͡ʑ a̠ ŋ ʝ i
ㄱㅛㄹㅠ	k j o ɾ j u
ㄱㅛㅍㅗ	k j o pʰ o̞
ㄱㅛㅎㅚㄹㅗㄴ	k j oː β w e̞ ɾ o̞ n
ㄱㅜㄱㅡㅂㅊㅏ	k uː ɡ ɯ p̚ t͡ɕʰ a̠
ㄱㅜㄹㅡㅁㄷㅏㄹㅣ	k u ɾ ɯ m d a̠ ɾ i
ㄱㅜㅊㅔㅈㅓㄱ	k u t͡ɕʰ e̞ d͡ʑ ʌ̹ k̚
ㄱㅜㅊㅜㄹ	k uː t͡ɕʰ u ɭ
