kəkuθaɴbuja	k a̰ k ṵ θ à ɴ pʰ ə j á
kəkɛʔsʰəkɛʔ	k ɛ ʔ sʰ ɛ ʔ
kəkɛʔθəlɪʔ	k ɛ ʔ θ ə l ɪ ʔ
kət͡ɕi	k a̰ d͡ʑ í
kət͡ɕʰɪɴ	k ə t͡ɕʰ ɪ̀ ɴ
kəsaθəma	ɡ ə s á ð ə m á
kətik	ɡ ə d ɛ́ ɡ a̰
kəti	ɡ ə d ḭ
kətɔ	ɡ ə d ɔ̰
kətʰik	k ə tʰ ḭ k a̰
kənedəါ	k a̰ n è d à
kaʔjɔɡəါ	k a ʔ j ɔ́ ɡ à
kəbilu	k a̰ b ə l ú
kaɴ	k á ɴ
kaɴt͡ɕʰe	k á ɴ d͡ʑ è
kəlaʔ	k ə l a ʔ
kələja	k ə l ə j à
kəwi	k ə w ḭ
ka	k à
kakəwɛ	k à ɡ w ɛ̀
kakəwɛsʰe	k à ɡ w ɛ̀ z é
kakəwɛje	k à ɡ w ɛ̀ j é
kazəkɛʔsətaɴ	k à z ɛ ʔ s ə t à ɴ
kaləθajɔɡəါ	k à l a̰ θ á j ɔ́ ɡ à
ka	k á
kaɡeɪʔ	k á ɡ e ɪ ʔ
kisə္s	k e ɪ ʔ s a̰
kinə္nəja	k è ɪ ɴ n ə j à
keɪɴ	k é ɪ ɴ
kimiləbed	k ḭ m ḭ l a̰ b è d a̰
kijija	k ə ɹ ḭ j à
koɛsaɬɛ	k ò j z ə l̥ ɛ̀
kojaɴt͡ɕaɴ	k ò ɹ à ɴ t͡ɕ á ɴ
kojija	k ò ɹ í j á
koʊɴ	k ò ʊ ɴ
kub	k ṵ b a̰
kumə္pəni	k ò ʊ ɴ p ə n ì
kuləθəməɡə္ɡ	k ṵ l a̰ θ a̰ m ɛ ʔ ɡ a̰
kulano	k ə l ə n o̰
kuɲi	k ù ɲ ì
kusəkɛʔjɔɡəါ	k ú z ɛ ʔ j ɔ́ ɡ à
kuto	ɡ ə d o̰
keθ	k è θ a̰
kaʊɴsɪʔwaɴjoʊɴ	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ j ó ʊ ɴ
kɔnə္dəɲ	k ɔ̀ n d ə ɲ a̰
kaʊʔməti	k ɔ̀ m ə t ì
t͡ɕənaʊʔ	t͡ɕ ə n ɔ̀
t͡ɕaɴ	t͡ɕ à ɴ
t͡ɕaɴmaje	t͡ɕ á ɴ m à j é
t͡ɕaʔ	t͡ɕ a ʔ
t͡ɕəm	t͡ɕ ə m a̰
t͡ɕɔkɛʔpʰəjoʊɴ	t͡ɕ a ʊ ʔ pʰ ə j ò ʊ ɴ
t͡ɕʊɴtɔɛʔ	t͡ɕ ʊ̀ ɴ d ɔ̰
t͡ɕʊɴtaʊʔ	t͡ɕ ʊ̀ ɴ d ɔ̀
t͡ɕʊɴtaʊʔto	t͡ɕ ʊ̀ ɴ d ɔ̀ d o̰
t͡ɕʊɴm	t͡ɕ ʊ̀ ɴ m a̰
t͡ɕəkɛʔt͡ɕʰeni	t͡ɕ ɛ ʔ t͡ɕʰ è n ì
t͡ɕəkɛʔtujəwe	t͡ɕ ɛ ʔ t ù j w é
t͡ɕəkɛʔθʊɴpʰəju	t͡ɕ ɛ ʔ θ ʊ̀ ɴ b j ù
t͡ɕa	t͡ɕ à
t͡ɕaθəpəte	t͡ɕ à θ a̰ p a̰ d é
t͡ɕa	t͡ɕ á
t͡ɕo	t͡ɕ ó
t͡ɕi	t͡ɕ í
t͡ɕaʊɴkəle	t͡ɕ à ʊ ɴ ɡ ə l é
t͡ɕewəါ	t͡ɕ é w à
t͡ɕəwkɛʔno	t͡ɕ w ɛ ʔ n o̰
