hinduisme	h ɪ n d ʉ ɪ s m ə
geir	j æ ɪ̯ r
annan	 ɑ nː ɑ n
korar	 k uː r ɑ r
føremon	 f øː r ə m uː n
sylv	s ʏ l
kosmisk	k u s m i s k
besøk	b eː s øː k
bjørgvin	 b j ø r ɡ v ɪ n
overleva	ɔː ʋ ɛː r l eː v a
holete	 h oː l ɛ t ə
tosk	t o s k
turu	 t ʉː r ʉ
rovdyr	r ɔː ʋ d yː r
sikksakk	s i k s a k
vegetarianar	ʋ eː ɡ eː t aː r i aː n aː r
keisar	 ç æ ɪ s ɑ r
kvantefysikk	k v a n t e f y s i k k
nærleik	n æː r l ɛ i k
vrak	ʋ r ɑː k
naudsynt	n a ʉː s yː n t
besøkja	b eː s øː ç a
velkomen	ʋ ɛ l k ɔː m ə n
chattar	 t͡ʃ æ tː ɑ r
galt	ɡ ɑ l t
skaka	 s k ɑː k ɑ
farar	f ɑː r ɑː r
bortkasta	b ʊ r t k a s t a
skjenkte	 ʃ ɛ ŋ t ə
kreft	k r e f t
nettside	n ɛ t s i ə
utanfrå	ʉː t a n f r ɒ
svikta	s ʋ i k t a
raudruss	r ø ʉ r ʉ s
lun	l ʉː n
valda	ʋ ɑ l d ɑ
spekk	s p ɛ k
fylgja	 f ʏ l j ɑ
hardast	h ɑː r ɑ s t
pinleg	p iː n l eː ɡ
utvandring	ʉː t ʋ a n d r i ŋ ɡ
vaksen	 ʋ ɑ k s n̩
innverknad	i n ʋ ɛ r k n a
hekka	h ɛ k a
sunnmøre	 s ʉ n m øː r ə
søtleik	s øː t l e i k
terroråtak	t ɛ r u r ɒː t aː k
andlet	 ɑ n l eː t
auke	ø u k ə
rådgjevar	r ɒː d j eː ʋ a r
hann	h a n
biblioteka	b ɪ b l j u t eː k ɑ
lystra	 l ʏ s t r ɑ
tekkjast	 t ɛ ç ç ɑ s t
kikkert	ç i k ɛ r t
soge	 s oː ɡ ə
flåte	f ɽ oː t ə
utsletta	ʉː t s l ɛ t a
lunde	 l ʉ n d ə
skilting	ʃ i l t i ŋ ɡ
modig	m uː d i
nemleg	n ɛ m l eː ɡ
kjøttmeis	 ç ø t m æ ɪ s
eingong	ɛ i n ɡ ɔ ŋ ɡ
kaffi	k a f i
morn	m ɔ ɳ
meining	m ɛ i n i ŋ
matematikk	m a t e m a t i k
avisene	ɑ ʋ iː s n̩ ə
visne	 ʋ ɪ s n ɑ
krige	k r iː ɡ e
boms	b u m s
talsmann	t aː l s m a n
bekk	b ɛ kː
franske	f r a n s k ə
brennmanet	b r ɛ n m aː n eː t
einskap	ɛ i n s k aː p
løysa	 l œ ʏ s ɑ
sivilisasjon	s i ʋ i l i s aː ʃ uː n
søvn	s ø v n
stemne	 s t ɛ m n ə
lyng	l ʏ ŋː
chatte	 t͡ʃ æ tː ə
bru	b r ʉː
sumar	 s ʊ mː ɑ r
jakta	j a k t a
skjemde	 ʃ ɛ m d ə
inspirerande	i n s p i r eː r aː n ə
tyrann	t y r a n
grunnleggjande	ɡ r ʉ n l ɛ ʝ a n d ə
dovendyr	d oː v e n d yː r
hardare	 h ɑː r ɑ r ə
austover	ø ʉ s t ɔː ʋ ɛ r
avhengig	aː ʋ h e ŋ ɡ i
mure	 m ʉː r ə
utviklar	ʉː t ʋ i k l a r
psykiatri	s yː k i a t r i
ljore	 j uː r ə
tjukk	ç ʊ kː
fleirtal	f l æ ɪ r t ɑː l
tokt	t ɔ k t
noko	 n oː k ʊ
romvesen	r u m v eː s e n
namnedag	n a m n e d aː ɡ
lærepeng	l æː r ə p ɛ ŋ ɡ
stue	 s t ʉː ə
skjegg	ʂ e ɡ
filar	 f iː l ɑ r
penge	 p ɛ ŋː ə
hemmeleg	h ɛ m ə l eː ɡ
innvandra	i n ʋ a n d r a
gro	ɡ r uː
snø	s n øː
opphav	 ʊ pː h ɑː ʋ
dane	 d ɑː n ə
sivil	s iː ʋ iː l
kvinnfolk	k ʋ i n f ɔ l k
bylgje	 b ʏ l j ə
vern	ʋ ɛ r n
for	f ɔ rː
enormt	eː n ɔ r m t
tsjetsjensk	t ʃ ə t ʃ eː n s k
bildet	b ɪ l d ə
