abaton	a b a t ɔ n
abażur	a b a ʐ u r
abdykacja	a b d ɨ k a t͡s j a
abiturientach	a b i t u r j ɛ n t a x
abonentowi	a b ɔ n ɛ n t ɔ v i
abrazyjny	a b r a z ɨ j n ɨ
absolut	a p s ɔ l u t
absyd	a p s ɨ t
adiutański	a d j u t a ɲ s k i
administratoria	a d m i ɲ i s t r a t ɔ r j a
adwokacikowi	a d v ɔ k a t͡ɕ i k ɔ v i
adwokactwem	a d v ɔ k a t͡s t f ɛ m
aeronomiczny	a ɛ r ɔ n ɔ m i t͡ʂ n ɨ
aerozolowano	a ɛ r ɔ z ɔ l ɔ v a n ɔ
afarski	a f a r s k i
afatycznymi	a f a t ɨ t͡ʂ n ɨ m i
agrafko	a ɡ r a f k ɔ
agrest	a ɡ r ɛ s t
agronomiczny	a ɡ r ɔ n ɔ m i t͡ʂ n ɨ
alarmująco	a l a r m u j ɔ n t͡s ɔ
albańskich	a l b a ɲ s k i x
aleksytymia	a l ɛ k s ɨ t ɨ m j a
algierczyk	a l ɡ j ɛ r t͡ʂ ɨ k
aliterackie	a l i t ɛ r a t͡s k j ɛ
aluzyjnie	a l u z ɨ j ɲ ɛ
ambarkowanie	a m b a r k ɔ v a ɲ ɛ
amerykanista	a m ɛ r ɨ k a ɲ i s t a
amfiboliczny	a m f i b ɔ l i t͡ʂ n ɨ
amfiktionia	a m f i k t j ɔ ɲ a
amiant	a m j a n t
amonicyja	a m ɔ ɲ i t͡s ɨ j ɒ
anafora	a n a f ɔ r a
anatoksyna	a n a t ɔ k s ɨ n a
angina	a ŋ ɡ i n a
animowanie	a ɲ i m ɔ v a ɲ ɛ
apostatyczny	a p ɔ s t a t ɨ t͡ʂ n ɨ
apostolstwo	a p ɔ s t ɔ l s t f ɔ
apteką	a p t ɛ k ɔ w̃
arbitraż	a r b i t r a ʂ
archiwalne	a r x i v a l n ɛ
archiwizujące	a r x i v i z u j ɔ n t͡s ɛ
armada	a r m a d a
arteriosklerozie	a r t ɛ r j ɔ s k l ɛ r ɔ ʑ ɛ
artykulacje	a r t ɨ k u l a t͡s j ɛ
asenizator	a s ɛ ɲ i z a t ɔ r
asocjatywność	a s ɔ t͡s j a t ɨ v n ɔ ɕ t͡ɕ
asteniczny	a s t ɛ ɲ i t͡ʂ n ɨ
astrowieżyczkami	a s t r ɔ v j ɛ ʐ ɨ t͡ʂ k a m i
atakujecie	a t a k u j ɛ t͡ɕ ɛ
autobiograficzny	a w t ɔ b j ɔ ɡ r a f i t͡ʂ n ɨ
autokataliza	a w t ɔ k a t a l i z a
autokratka	a w t ɔ k r a t k a
autolizujesz	a w t ɔ l i z u j ɛ ʂ
autoryzowany	a w t ɔ r ɨ z ɔ v a n ɨ
autoryzowałaś	a w t ɔ r ɨ z ɔ v a w a ɕ
awanturniczy	a v a n t u r ɲ i t͡ʂ ɨ
babią	b a b j ɔ w̃
