javstvʲenno	j a f s t vʲ i n a
ɡomʲer	ɡ a mʲ e r
splʲetavʂij	s p lʲ i t a f ʂ i j
usɨnovlʲajtʲe	u s i n a v lʲ a j tʲ e
lʲda	lʲ d a
prozvut͡ɕʲiʂʲː	p r a z v u t͡ɕ i ʂ
satʲirax	s a tʲ i r a x
rʲemʲiksov	rʲ i mʲ i k s a f
zalʲeplʲau	z a lʲ i p lʲ a j u
absorbʲirovaniamʲi	a p s a r bʲ i r a v a nʲ i j a mʲ i
plavkou	p ɫ a f k a j u
zaʂumʲit	z a ʂ u mʲ i t
muʒenenavʲistnit͡ɕʲestvam	m u ʐ i nʲ i n a vʲ i sʲ nʲ i t͡ɕ i s t v a m
zolotʲistɨm	z a ɫ a tʲ i s t i m
katʲerot͡ɕʲkax	k a tʲ i r o t͡ɕ k a x
smʲealosʲ	s mʲ i j a ɫ a sʲ
zamɨslu	z a m i s ɫ u
sʲemʲiuɡolʲnika	sʲ i mʲ i u ɡ o lʲ nʲ i k a
prʲisʲaɡnuvʂi	p rʲ i sʲ i ɡ n u f ʂ i
ponosʲat	p a n o sʲ a t
izut͡ɕʲitʲesʲ	i z u t͡ɕ i tʲ i sʲ
pomojkou	p a m o j k a j u
anɡlʲit͡sizat͡sieu	a n ɡ lʲ i t͡s i z a t͡s i j i j u
prɨɕːavɨj	p r i ɕː a v i j
usopla	u s o p ɫ a
polʲetatʲ	p a lʲ i t a tʲ
ukutɨvauɕːij	u k u t i v a j u ɕː i j
muruj	m u r u j
summʲirueʂʲː	s u mʲ i r u j i ʂ
sʲekta	sʲ e k t a
zaklʲejtʲe	z a k lʲ e j tʲ e
amʲilazoj	a mʲ i ɫ a z a j
posodʲejstvovatʲ	p a s a dʲ e j s t v a v a tʲ
opʲanivʂij	a p ⁽ʲ ⁾ j i nʲ i f ʂ i j
zaɡovarʲivajtʲesʲ	z a ɡ a v a rʲ i v a j tʲ i sʲ
uʒestot͡ɕʲenia	u ʐ i s t a t͡ɕ e nʲ i j a
raspravax	r a s p r a v a x
lʲetnɨj	lʲ e t n i j
dubu	d u b u
zaɡadʲit	z a ɡ a dʲ i t
propʲitajtʲesʲ	p r a pʲ i t a j tʲ i sʲ
otst͡ɕʲotax	a t͡ɕ ɕː o t a x
dʲesnit͡su	dʲ i sʲ nʲ i t͡s u
obuevala	a b u j i v a ɫ a
vʲertluɡ	vʲ i r t ɫ u k
navʲevavʂij	n a vʲ i v a f ʂ i j
polʲiɡrafʲiax	p a lʲ i ɡ r a fʲ i j a x
zapadaeʂʲː	z a p a d a j i ʂ
dozrʲeu	d a z rʲ e j u
vzɨskʲivaetʲe	v z i s kʲ i v a j i tʲ e
izʲjanamʲi	i z j a n a mʲ i
mʲetafʲizʲiku	mʲ i t a fʲ i zʲ i k u
vʲesʲelʲeeʂʲː	vʲ i sʲ i lʲ e j i ʂ
tʲexnokratʲiu	tʲ i x n a k r a tʲ i j u
prʲiɡorodom	p rʲ i ɡ a r a d a m
pʲionerov	pʲ i a nʲ e r a f
porut͡ɕʲitʲelʲstvom	p a r u t͡ɕ i tʲ i lʲ s t v a m
ɡostʲax	ɡ o sʲ tʲ j a x
podtʲaɡivausʲ	p a tʲː a ɡʲ i v a j u sʲ
prʲist͡ɕʲitɨvaj	p rʲ i ɕː i t i v a j
ottaalo	a t a j i ɫ a
opuʂalasʲ	a p u ʂ a ɫ a sʲ
poklonnit͡ɕʲestvo	p a k ɫ o nʲ i t͡ɕ i s t v a
ablautov	a b ɫ a u t a f
otʲekau	a tʲ i k a j u
stʲipʲendʲij	sʲ tʲ i pʲ e nʲ dʲ i j
kromkoj	k r o m k a j
vlʲapalsʲa	v lʲ a p a ɫ s ⁽ʲ ⁾ a
uvʲerovatʲ	u vʲ e r a v a tʲ
tusknevʂi	t u s k nʲ e f ʂ i
prokalɨvaeʂʲː	p r a k a ɫ i v a j i ʂ
skonfuzʲat	s k a n f u zʲ a t
izvʲinalʲi	i z vʲ i nʲ a lʲ i
pofʲiɡizmamʲi	p a fʲ i ɡʲ i z m a mʲ i
murzʲikamʲi	m u r zʲ i k a mʲ i
rʲekvʲizʲit͡siamʲi	rʲ i k vʲ i zʲ i t͡s i j a mʲ i
admʲinistrat͡siax	a d mʲ i nʲ i s t r a t͡s i j a x
ottaɕːila	a t a ɕː i ɫ a
srodnivʂij	s r a dʲ nʲ i f ʂ i j
nedolʲublʲivajtʲe	nʲ i d a lʲ u b lʲ i v a j tʲ e
mnoʒitsʲa	m n o ʐ i t͡s a
nardɨ	n a r d i
istʲekʲi	i sʲ tʲ i kʲ i
pravooxranitʲelʲnɨj	p r a v a a x r a nʲ i tʲ i lʲ n i j
vɨskablʲivaa	v i s k a b lʲ i v a j a
audʲitʲe	a u dʲ i tʲ e
obvʲil	a b vʲ i ɫ
ʂepnuv	ʂ i p n u f
ɡorkoj	ɡ o r k a j
flʲeksʲijnɨj	f lʲ i k sʲ i j n i j
svʲatou	s vʲ i t o j u
kastanetɨ	k a s t a nʲ j e t i
podʲejstvovatʲ	p a dʲ e j s t v a v a tʲ
kʲebabax	kʲ i b a b a x
oʒivlʲajtʲesʲ	a ʐ i v lʲ a j tʲ i sʲ
osklablʲau	a s k ɫ a b lʲ a j u
uklonenii	u k ɫ a nʲ e nʲ i i
adʲekvatnostʲax	a d i k v a t n a sʲ tʲ a x
analʲizʲiruet	a n a lʲ i zʲ i r u j i t
lososʲa	ɫ a s o sʲ a
babosam	b a b o s a m
vosstanut	v a s t a n u t
krasʲiv	k r a sʲ i f
t͡ɕʲajkovskʲij	t͡ɕ i j k o f s kʲ i j
asʲinxronnɨj	a sʲ i n x r o n i j
mʲirovɨmʲi	mʲ i r a v i mʲ i
vakansʲiu	v a k a n ⁽ʲ ⁾ sʲ i j u
vodʲanoɡo	v a dʲ i n o v a
obrosʂij	a b r o ʂ i j
tʲekʲilax	tʲ i kʲ i ɫ a x
nasaʒdavʂi	n a s a ʐ d a f ʂ i
dʲiskʲetax	dʲ i s kʲ e t a x
prʲiplʲasɨvatʲ	p rʲ i p lʲ a s i v a tʲ
plʲeʂʲː	p lʲ e ʂ
prʲedʲjavʲitsʲa	p rʲ i d j a vʲ i t͡s a
razmʲaɡt͡ɕʲaemɨj	r a z mʲ i x t͡ɕ a j i m i j
zaprʲaɡut	z a p rʲ i ɡ u t
nastut͡ɕʲav	n a s t u t͡ɕ a f
ɡubʲerniax	ɡ u bʲ e r nʲ i j a x
unesʲotʲesʲ	u nʲ i sʲ o tʲ i sʲ
raskat͡ɕʲivaemsʲa	r a s k a t͡ɕ i v a j i m sʲ a
bolʲnai	b a lʲ n a i
pomazannikov	p a m a z a nʲ i k a f
numʲerat͡siej	n u mʲ i r a t͡s i j i j
izɡotovlʲeniem	i z ɡ a t a v lʲ e nʲ i j i m
