bayawak	b a j a w a k
pabor	p a b o ɾ
Cobarrubias	k o b a ɾ u b j a s
luminis	l u m i n i s
Arevalo	ʔ a ɾ e v a l o
malikhain	m a l i k h a ʔ i n
Kuwaresma	k u a ɾ e s m a
propesyonalismo	p ɾ o p e s j o n a l i s m o
ingkorporasyon	ʔ i ŋ k o ɾ p o ɾ a s j o n
Lumibao	l u m i b a w
mahinhin	m a h i n h i n
sapak	s a p a k
lamasin	l a m a s i n
letsugas	l e t͡ʃ u ɡ a s
panwelo	p a n w e l o
milagro	m i l a ɡ ɾ o
Collado	k o l j a d o
kolehiyal	k o l e h i a l
samo	s a m o ʔ
mambabarang	ˌm a m b a b a ɾ a ŋ
bibliyoteka	b i b l i o t e k a
magaan	m a ɡ a ʔ a n
literatura	l i t e ɾ a t u ɾ a
z	z i
Clemente	k l e m e n t e
mamuhay	m a m u h a j
entero	ʔ e n t e ɾ o
teista	t e i s t a
korido	k o ɾ i d o
rehente	ɾ e h e n t e
ibabaan	ʔ i b a b a ʔ a n
patol	p a t o l
pinansiyal	p i ˌn a n s i a l
sigwasan	s i ɡ w a s a n
Gabaldon	ɡ a b a l d o n
pinapagtawanan	p i ˌn a p a ɡ t a w a n a n
bulsa	b u l s a
baligtad	b a l i ɡ t a d
balimbing	b a l i m b i ŋ
asog	ʔ a s o ɡ
matitibay	m a t i t i b a j
Cu	k u
Heminis	h e m i n i s
Cavite	k a v i t e
giwa	ɡ i w a ʔ
Odeste	ʔ o d e s t e
Lascano	l a s k a n o
sumunod	s u m u n o d
konsumido	k o n s u m i d o
bokya	b o k j a ʔ
misis	m i s i s
Montemayor	m o n t e m a j o ɾ
bungaw	b u ŋ a w
halumigmig	h a l u m i ɡ m i ɡ
makuha	m a k u h a
butot	b u t o t
langhap	l a ŋ h a p
ermita	ʔ e ɾ m i t a
bansalagin	b a n s a l a ɡ i n
kakabig	k a k a b i ɡ
bansot	b a n s o t
nabuwisit	n a b u i s i t
pagerper	ˌp a ɡ e ɾ p e ɾ
luwang	l u a ŋ
perspektiba	p e ɾ s p e k t i b a
tsitsa	t͡ʃ i t͡ʃ a
makaramdam	m a k a ɾ a m d a m
eksperimento	ʔ e k s p e ɾ i m e n t o
tako	t a k o
hirol	h i ɾ o l
Indotsina	ʔ i n d o t͡ʃ i n a
alisangsang	ʔ a l i s a ŋ s a ŋ
Libjo	l i b h o ʔ
Gerda	ɡ e ɾ d a
baat	b a ʔ a t
sidlan	s i d l a n
kanal	k a n a l
mamutla	m a m u t l a ʔ
trabahador	t ɾ a b a h a d o ɾ
adiksiyon	ʔ a d i k s j o n
batubalani	b a t u b a l a n i ʔ
abyugin	ʔ a b j u ɡ i n
kompiyuteran	k o m p i u t e ɾ a n
abuhin	ʔ a b u h i n
adisyon	ʔ a d i s j o n
kukis	k u k i s
kandidatura	k a n d i d a t u ɾ a
kawingan	k a w i ŋ a n
duwag	d u a ɡ
palaisipan	p a ˌl a ʔ i s i p a n
himlay	h i m l a j
entremetido	ʔ e n t ɾ e m e t i d o
tupak	t u p a k
parlamentaryo	p a ɾ l a m e n t a ɾ j o
dinagipik	d i n a ɡ i p i k
Anunsiyasyon	ʔ a n u n s i a s j o n
