bayawak	b a j a w a k
luminis	l u m i n i s
Kuwaresma	k u a ɾ e s m a
mahinhin	m a h i n h i n
lamasin	l a m a s i n
kolehiyal	k o l e h i a l
samo	s a m o ʔ
bibliyoteka	b i b l i o t e k a
z	z i
Clemente	k l e m e n t e
entero	ʔ e n t e ɾ o
rehente	ɾ e h e n t e
balimbing	b a l i m b i ŋ
matitibay	m a t i t i b a j
giwa	ɡ i w a ʔ
sumunod	s u m u n o d
misis	m i s i s
bungaw	b u ŋ a w
halumigmig	h a l u m i ɡ m i ɡ
makuha	m a k u h a
tako	t a k o
hirol	h i ɾ o l
Indotsina	ʔ i n d o t͡ʃ i n a
alisangsang	ʔ a l i s a ŋ s a ŋ
Libjo	l i b h o ʔ
sidlan	s i d l a n
batubalani	b a t u b a l a n i ʔ
abyugin	ʔ a b j u ɡ i n
kandidatura	k a n d i d a t u ɾ a
entremetido	ʔ e n t ɾ e m e t i d o
dinagipik	d i n a ɡ i p i k
hukuman	h u k u m a n
manlait	m a n l a ʔ i t
singaw	s i ŋ a w
Closa	k l o s a
kumpensasyon	k u m p e n s a s j o n
Layco	l a j k o
Aliga	ʔ a l i ɡ a
taglamig	t a ɡ l a m i ɡ
arkitektura	ʔ a ɾ k i t e k t u ɾ a
sawil	s a w i l
pasma	p a s m a
peryodista	p e ɾ j o d i s t a
bini	b i n i ʔ
humiram	h u m i ɾ a m
Asistio	ʔ a s i s t j o
yumanig	j u m a n i ɡ
Barbie	b a ɾ b i
timayok	t i m a j o k
Pansol	p a n s o l
Tagaytay	t a ɡ a j t a j
Ruedas	ɾ u e d a s
magbasanlot	m a ɡ b a s a n l o t
ipatapon	ʔ i p a t a p o n
polaynas	p o l a j n a s
Maloles	m a l o l e s
isakay	ʔ i s a k a j
Pinagkaisahan	p i n a ɡ k a ʔ i s a h a n
kutsukutso	k u ˌt͡ʃ u k u t͡ʃ o
halimbawa	h a l i m b a w a ʔ
mamilis	m a m i l i s
muhala	m u h a l a ʔ
mamaya	m a m a j a ʔ
taludtod	t a l u d t o d
lalawigan	l a l a w i ɡ a n
maghati	m a ɡ h a t i ʔ
suhol	s u h o l
ragsak	ɾ a ɡ s a k
radyo	ɾ a d j o
mabalasik	m a b a l a s i k
talang	t a l a ŋ
budhi	b u d h i ʔ
umusbong	ʔ u m u s b o ŋ
alahero	ʔ a l a h e ɾ o
kaalit	k a ʔ a l i t
maabo	m a ʔ a b o
dengge	d e ŋ ɡ e
karelyebo	k a ɾ e l j e b o
sabi	s a b i
tarang	t a ɾ a ŋ
Soledad	s o l e d a d
marites	m a ɾ i t e s
heneral	h e n e ɾ a l
Kankanaey	k a n k a n a ʔ e j
Cueto	k u e t o
yakyak	j a k j a k
lahi	l a h i ʔ
daungan	ˌd a ʔ u ŋ a n
magkaaway	m a ɡ k a ʔ a w a j
adres	ʔ a d ɾ e s
traidor	t ɾ a j d o ɾ
ayon	ʔ a j o n
iskul	ʔ i s k u l
talibas	t a l i b a s
Marulas	m a ɾ u l a s
deliryo	d e l i ɾ j o
pagkasuplado	p a ɡ k a s u p l a d o
pribilehiyo	p ɾ i b i l e h i o
rotonda	ɾ o t o n d a
'di	d i ʔ
kita	k i t a
pampanitikan	p a m p a n i t i k a n
Nadine	n a d i n
talunton	t a l u n t o n
hapit	h a p i t
Soliven	s o l i v e n
magbababoy	m a ɡ b a b a b o j
bayad	b a j a d
gumimik	ɡ u m i m i k
aksiyon	ʔ a k s i o n
tindalo	t i n d a l o ʔ
kaanib	k a ʔ a n i b
balandra	b a l a n d ɾ a
ekselensiya	ʔ e k s e l e n s j a
telepatiya	t e l e p a t i a
tuma	t u m a
bertebrado	b e ɾ t e b ɾ a d o
