ئائىت	ʔ ɑ ʔ i t
ئابباس	ʔ ɑ b b ɑ s
ئابدال	ʔ ɑ b d ɑ l
ئابدۇلئەھەد	ʔ ɑ b d u l ʔ ɛ h ɛ t
ئابدۇللا	ʔ ɑ b d u l l ɑ
ئابلىز	ʔ ɑ b l i z
ئابنۇس	ʔ ɑ b n u s
ئات	ʔ ɑ t
ئاتا	ʔ ɑ t ɑ
ئاتلىقلار	ʔ ɑ t l i q l ɑ r
ئاتمىش	ʔ ɑ t m i ʃ
ئاجايىپ	ʔ ɑ d͡ʒ ɑ j i p
ئاخشام	ʔ ɑ χ ʃ ɑ m
ئاخىر	ʔ ɑ χ i r
ئاخىرەت	ʔ ɑ χ i r ɛ t
ئادالەت	ʔ ɑ d ɑ l ɛ t
ئادرىس	ʔ ɑ d r i s
ئادىل	ʔ ɑ d i l
ئادۋوكات	ʔ ɑ d w o k ɑ t
ئادەت	ʔ ɑ d ɛ t
ئادەم	ʔ ɑ d ɛ m
ئارزۇ	ʔ ɑ r z u
ئارسلان	ʔ ɑ r s l ɑ n
ئارغىماق	ʔ ɑ r ʁ i m ɑ q
ئارغۇن	ʔ ɑ r ʁ u n
ئارقا	ʔ ɑ r q ɑ
ئارماغان	ʔ ɑ r m ɑ ʁ ɑ n
ئارىسىدا	ʔ ɑ r i s i d ɑ
ئارىفمېتىكا	ʔ ɑ r i p m e t i k ɑ
ئارگون	ʔ ɑ r ɡ o n
ئاز	ʔ ɑ z
ئازاپ	ʔ ɑ z ɑ p
ئازوت	ʔ ɑ z o t
ئاسارەت	ʔ ɑ s ɑ r ɛ t
ئاساسەن	ʔ ɑ s ɑ s ɛ n
ئاسان	ʔ ɑ s ɑ n
ئاسايىش	ʔ ɑ s ɑ j i ʃ
ئاسفالت	ʔ ɑ s p ɑ l t
ئاسلان	ʔ ɑ s l ɑ n
ئاسماق	ʔ ɑ s m ɑ q
ئاسمان	ʔ ɑ s m ɑ n
ئاسى	ʔ ɑ s i
ئاسىيا	ʔ ɑ s i j ɑ
ئاش	ʔ ɑ ʃ
ئاشقازان	ʔ ɑ ʃ q ɑ z ɑ n
ئاشكارا	ʔ ɑ ʃ k ɑ r ɑ
ئاشىق	ʔ ɑ ʃ i q
ئاشيان	ʔ ɑ ʃ j ɑ n
ئاشپەز	ʔ ɑ ʃ p ɛ z
ئاغ	ʔ ɑ ʁ
ئاغرىتماق	ʔ ɑ ʁ r i t m ɑ q
ئاغرىق	ʔ ɑ ʁ r i q
ئاغىنە	ʔ ɑ ʁ i n ɛ
ئاق	ʔ ɑ q
ئاقرابا	ʔ ɑ q r ɑ b ɑ
ئاقراپ	ʔ ɑ q r ɑ p
ئاقساقال	ʔ ɑ q s ɑ q ɑ l
ئاققۇ	ʔ ɑ q q u
ئاقماق	ʔ ɑ q m ɑ q
ئاقىل	ʔ ɑ q i l
ئاقىۋەت	ʔ ɑ q i w ɛ t
ئاكا	ʔ ɑ k ɑ
ئاكتىنىي	ʔ ɑ k t i n i j
ئالا	ʔ ɑ l ɑ
ئالاقاغا	ʔ ɑ l ɑ q ɑ ʁ ɑ
ئالاقە	ʔ ɑ l ɑ q ɛ
ئالامەت	ʔ ɑ l ɑ m ɛ t
ئالاڭ	ʔ ɑ l ɑ ŋ
ئالتىنچى	ʔ ɑ l t i n t͡ʃ i
ئالتە	ʔ ɑ l t ɛ
ئالقىش	ʔ ɑ l q i ʃ
ئالما	ʔ ɑ l m ɑ
ئالماس	ʔ ɑ l m ɑ s
ئالىم	ʔ ɑ l i m
ئالىي	ʔ ɑ l i j
ئالىيجاناب	ʔ ɑ l i j d͡ʒ ɑ n ɑ p
ئاليۇمىن	ʔ ɑ l j u m i n
ئالپ	ʔ ɑ l p
ئالگېبرا	ʔ ɑ l ɡ e b r ɑ
ئالەت	ʔ ɑ l ɛ t
ئامال	ʔ ɑ m ɑ l
ئامانەت	ʔ ɑ m ɑ n ɛ t
ئامراق	ʔ ɑ m r ɑ q
