ئائىت	ʔ ɑ ʔ i t
ئائىلە	ʔ ɑ ʔ i l ɛ
ئابدال	ʔ ɑ b d ɑ l
ئابدۇلئەھەد	ʔ ɑ b d u l ʔ ɛ h ɛ t
ئابدۇلفەتتاھ	ʔ ɑ b d u l p ɛ t t ɑ h
ئاتا	ʔ ɑ t ɑ
ئاتلىقلار	ʔ ɑ t l i q l ɑ r
ئاتىماق	ʔ ɑ t i m ɑ q
ئاجىز	ʔ ɑ d͡ʒ i z
ئاخىرەت	ʔ ɑ χ i r ɛ t
ئادەت	ʔ ɑ d ɛ t
ئادەتتە	ʔ ɑ d ɛ t t ɛ
ئارزۇ	ʔ ɑ r z u
ئارسىن	ʔ ɑ r s i n
ئارىسىدا	ʔ ɑ r i s i d ɑ
ئازات	ʔ ɑ z ɑ t
ئازاپ	ʔ ɑ z ɑ p
ئازوت	ʔ ɑ z o t
ئاساس	ʔ ɑ s ɑ s
ئاستاتىن	ʔ ɑ s t ɑ t i n
ئاسفالت	ʔ ɑ s p ɑ l t
ئاسماق	ʔ ɑ s m ɑ q
ئاشقازان	ʔ ɑ ʃ q ɑ z ɑ n
ئاشيان	ʔ ɑ ʃ j ɑ n
ئاشپەز	ʔ ɑ ʃ p ɛ z
ئافغان	ʔ ɑ p ʁ ɑ n
ئاكا	ʔ ɑ k ɑ
ئالامەت	ʔ ɑ l ɑ m ɛ t
ئالاڭ	ʔ ɑ l ɑ ŋ
ئالتۇن	ʔ ɑ l t u n
ئالتە	ʔ ɑ l t ɛ
ئالما	ʔ ɑ l m ɑ
ئالماس	ʔ ɑ l m ɑ s
ئالپ	ʔ ɑ l p
ئامال	ʔ ɑ m ɑ l
ئامانەت	ʔ ɑ m ɑ n ɛ t
ئاياز	ʔ ɑ j ɑ z
ئاياغلار	ʔ ɑ j ɑ ʁ l ɑ r
ئاياقلار	ʔ ɑ j ɑ q l ɑ r
ئايران	ʔ ɑ j r ɑ n
ئايغىر	ʔ ɑ j ʁ i r
ئايماق	ʔ ɑ j m ɑ q
ئاپرېل	ʔ ɑ p r e l
ئاپىرىن	ʔ ɑ p i r i n
ئاپىيەت	ʔ ɑ p i j ɛ t
ئاپېلسىن	ʔ ɑ p e l s i n
ئاپەت	ʔ ɑ p ɛ t
ئاچقۇچ	ʔ ɑ t͡ʃ q u t͡ʃ
ئاچماق	ʔ ɑ t͡ʃ m ɑ q
ئاھالە	ʔ ɑ h ɑ l ɛ
ئاۋاز	ʔ ɑ w ɑ z
ئاۋام	ʔ ɑ w ɑ m
ئاۋىئاتسىيە	ʔ ɑ w i ʔ ɑ t s i j ɛ
ئوتتۇز	ʔ o t t u z
ئوتۇن	ʔ o t u n
ئوخشىماق	ʔ o χ ʃ i m ɑ q
ئورتاق	ʔ o r t ɑ q
ئوغا	ʔ o ʁ ɑ
ئوق	ʔ o q
ئوقۇتقۇچى	ʔ o q u t q u t͡ʃ i
ئومۇم	ʔ o m u m
ئومۇمىي	ʔ o m u m i j
ئومۇمىيەت	ʔ o m u m i j ɛ t
ئونىنچى	ʔ o n i n t͡ʃ i
ئىبادەتخانا	ʔ i b ɑ d ɛ t χ ɑ n ɑ
ئىت	ʔ i t
ئىتائەت	ʔ i t ɑ ʔ ɛ t
ئىجات	ʔ i d͡ʒ ɑ t
ئىجتىمائىي	ʔ i d͡ʒ t i m ɑ ʔ i j
ئىجتىمائىيەت	ʔ i d͡ʒ t i m ɑ ʔ i j ɛ t
ئىختىيار	ʔ i χ t i j ɑ r
ئىخلاس	ʔ i χ l ɑ s
ئىس	ʔ i s
ئىستىراھەت	ʔ i s t i r ɑ h ɛ t
ئىستىسنا	ʔ i s t i s n ɑ
ئىستېمال	ʔ i s t e m ɑ l
ئىستېپا	ʔ i s t e p ɑ
ئىسراپ	ʔ i s r ɑ p
ئىسلام	ʔ i s l ɑ m
ئىسلاھات	ʔ i s l ɑ h ɑ t
ئىسيانچى	ʔ i s j ɑ n t͡ʃ i
ئىشغال	ʔ i ʃ ʁ ɑ l
ئىشق	ʔ i ʃ q
ئىشقىلىپ	ʔ i ʃ q i l i p
ئىشىتمەك	ʔ i ʃ i t m ɛ k
ئىشچى	ʔ i ʃ t͡ʃ i
ئىشەك	ʔ i ʃ ɛ k
ئىقلىم	ʔ i q l i m
ئىلاھ	ʔ i l ɑ h
ئىم	ʔ i m
ئىمامەت	ʔ i m ɑ m ɛ t
ئىمكان	ʔ i m k ɑ n
ئىمكانىيەت	ʔ i m k ɑ n i j ɛ t
ئىنسانىيەت	ʔ i n s ɑ n i j ɛ t
ئىنشا	ʔ i n ʃ ɑ
ئىنكار	ʔ i n k ɑ r
ئىنى	ʔ i n i
ئىنەك	ʔ i n ɛ k
ئىيۇل	ʔ i j u l
ئىيۇن	ʔ i j u n
ئىپپەت	ʔ i p p ɛ t
ئىگە	ʔ i ɡ ɛ
ئىگەر	ʔ i ɡ ɛ r
ئۆز	ʔ ø z
ئۆستەڭ	ʔ ø s t ɛ ŋ
ئۆكتەبر	ʔ ø k t ɛ b r
ئۆپكە	ʔ ø p k ɛ
ئۆچ	ʔ ø t͡ʃ
ئۇتۇق	ʔ u t u q
ئۇرۇش	ʔ u r u ʃ
ئۇل	ʔ u l
ئۇلار	ʔ u l ɑ r
ئۇلۇغ	ʔ u l u ʁ
ئۇنىۋېرسىتېت	ʔ u n i w e r s i t e t
ئۇنۋان	ʔ u n w ɑ n
ئۇي	ʔ u j
ئۇيغۇرچە	ʔ u j ʁ u r t͡ʃ ɛ
ئۇيقۇ	ʔ u j q u
ئۇۋا	ʔ u w ɑ
ئۇۋاق	ʔ u w ɑ q
ئۈزۈك	ʔ y z y k
ئۈزۈم	ʔ y z y m
ئۈلپەت	ʔ y l p ɛ t
ئۈچ	ʔ y t͡ʃ
ئېتىراپ	ʔ e t i r ɑ p
ئېتىۋار	ʔ e t i w ɑ r
ئېربىي	ʔ e r b i j
ئېرىمەك	ʔ e r i m ɛ k
ئېكىن	ʔ e k i n
ئېيىق	ʔ e j i q
ئېھتىلام	ʔ e h t i l ɑ m
ئەبەد	ʔ ɛ b ɛ t
ئەتىر	ʔ ɛ t i r
ئەجداد	ʔ ɛ d͡ʒ d ɑ t
ئەجەب	ʔ ɛ d͡ʒ ɛ p
ئەجەم	ʔ ɛ d͡ʒ ɛ m
ئەخلاق	ʔ ɛ χ l ɑ q
ئەخمەت	ʔ ɛ χ m ɛ t
ئەدەپ	ʔ ɛ d ɛ p
ئەردەم	ʔ ɛ r d ɛ m
ئەرز	ʔ ɛ r z
ئەرپە	ʔ ɛ r p ɛ
ئەرۋاھ	ʔ ɛ r w ɑ h
ئەرەب	ʔ ɛ r ɛ p
ئەرەبچە	ʔ ɛ r ɛ b t͡ʃ ɛ
ئەزا	ʔ ɛ z ɑ
ئەسكى	ʔ ɛ s k i
ئەسلى	ʔ ɛ s l i
ئەسلىھە	ʔ ɛ s l i h ɛ
ئەسىر	ʔ ɛ s i r
ئەسەر	ʔ ɛ s ɛ r
ئەقرىبا	ʔ ɛ q r i b ɑ
ئەكس	ʔ ɛ k s
ئەل	ʔ ɛ l
ئەلا	ʔ ɛ l ɑ
ئەلۋەتتە	ʔ ɛ l w ɛ t t ɛ
ئەمما	ʔ ɛ m m ɑ
ئەيب	ʔ ɛ j p
ئەينەن	ʔ ɛ j n ɛ n
ئەيىپ	ʔ ɛ j i p
ئەپسانىۋىي	ʔ ɛ p s ɑ n i w i j
ئەپسۇس	ʔ ɛ p s u s
ئەپسۇن	ʔ ɛ p s u n
ئەپيۈن	ʔ ɛ p j y n
ئەھل	ʔ ɛ h l
ئەھمىيەت	ʔ ɛ h m i j ɛ t
ئەھەد	ʔ ɛ h ɛ t
ئەۋقاپ	ʔ ɛ w q ɑ p
باتارى	b ɑ t ɑ r i
باتىل	b ɑ t i l
باج	b ɑ d͡ʒ
بادام	b ɑ d ɑ m
بارىي	b ɑ r i j
بازار	b ɑ z ɑ r
باقىي	b ɑ q i j
بانا	b ɑ n ɑ
بانداژ	b ɑ n d ɑ ʒ
بايانات	b ɑ j ɑ n ɑ t
بايراق	b ɑ j r ɑ q
بولۇو	b o l u o
بولۇپ	b o l u p
بويسۇندۇرماق	b o j s u n d u r m ɑ q
بويۇن	b o j u n
بىتون	b i t o n
بىدئەت	b i d ʔ ɛ t
بىسمۇت	b i s m u t
بىلەن	b i l ɛ n
بىڭگۇر	b i ŋ ɡ u r
بۆشۈك	b ø ʃ y k
بۆلمەك	b ø l m ɛ k
بۆھران	b ø h r ɑ n
بۇ	b u
بۇت	b u t
بۇتپەرەس	b u t p ɛ r ɛ s
بۇدجېت	b u d d͡ʒ e t
بۇرادەر	b u r ɑ d ɛ r
بۇرۇت	b u r u t
بۇغ	b u ʁ
بۇقا	b u q ɑ
بۇيرۇق	b u j r u q
بېغىر	b e ʁ i r
بېلوك	b e l o k
بېلىقچى	b e l i q t͡ʃ i
بېنزىن	b e n z i n
بەختىيار	b ɛ χ t i j ɑ r
بەخش	b ɛ χ ʃ
بەدەل	b ɛ d ɛ l
بەدەن	b ɛ d ɛ n
بەرمەك	b ɛ r m ɛ k
بەش	b ɛ ʃ
بەلغەم	b ɛ l ʁ ɛ m
بەلكى	b ɛ l k i
بەنسىيۇەن	b ɛ n s i j u ɛ n
بەنسىچۇ	b ɛ n s i t͡ʃ u
بەياز	b ɛ j ɑ z
تارازا	t ɑ r ɑ z ɑ
تازى	t ɑ z i
تاسادىپىي	t ɑ s ɑ d i p i j
تاقەت	t ɑ q ɛ t
تاكسى	t ɑ k s i
تاللىي	t ɑ l l i j
تام	t ɑ m
تاما	t ɑ m ɑ
تاملار	t ɑ m l ɑ r
تاي	t ɑ j
تاۋار	t ɑ w ɑ r
تاۋۇز	t ɑ w u z
تورۇق	t o r u q
توشقان	t o ʃ q ɑ n
توق	t o q
توقسان	t o q s ɑ n
توققۇز	t o q q u z
تولۇق	t o l u q
توننا	t o n n ɑ
توپ	t o p
توپلىماق	t o p l i m ɑ q
توپچى	t o p t͡ʃ i
تىبابەت	t i b ɑ b ɛ t
تىجارەت	t i d͡ʒ ɑ r ɛ t
تىرناق	t i r n ɑ q
تىرىك	t i r i k
تىز	t i z
تىكەن	t i k ɛ n
تىلاۋەت	t i l ɑ w ɛ t
تىللار	t i l l ɑ r
تىلەك	t i l ɛ k
تىمساخ	t i m s ɑ χ
تىياتىر	t i j ɑ t i r
تۆش	t ø ʃ
تۆمۈر	t ø m y r
تۆھمەت	t ø h m ɛ t
تۇت	t u t
تۇخۇم	t u χ u m
تۇز	t u z
تۇزاق	t u z ɑ q
تۇل	t u l
تۈتۈن	t y t y n
تۈر	t y r
تۈمەن	t y m ɛ n
تېتىك	t e t i k
تېخنېتسىي	t e χ n e t s i j
تېربىي	t e r b i j
تېكە	t e k ɛ
تەبدىل	t ɛ b d i l
تەبرىك	t ɛ b r i k
تەبلىغ	t ɛ b l i ʁ
تەبەسسۈم	t ɛ b ɛ s s y m
تەتىل	t ɛ t i l
تەجرىبىخانا	t ɛ d͡ʒ r i b i χ ɑ n ɑ
تەجرىبە	t ɛ d͡ʒ r i b ɛ
تەخمىن	t ɛ χ m i n
تەخمىنەن	t ɛ χ m i n ɛ n
تەدبىر	t ɛ d b i r
تەر	t ɛ r
تەربىيىۋى	t ɛ r b i j i w i
تەرجىمان	t ɛ r d͡ʒ i m ɑ n
تەررەھھۇم	t ɛ r r ɛ h h u m
تەرىپ	t ɛ r i p
تەس	t ɛ s
تەسلىم	t ɛ s l i m
تەسەللى	t ɛ s ɛ l l i
تەسەۋۋۇر	t ɛ s ɛ w w u r
تەشۋىش	t ɛ ʃ w i ʃ
