ait	ʔ ɑ ʔ i t
ailɛ	ʔ ɑ ʔ i l ɛ
abdal	ʔ ɑ b d ɑ l
abdulɛhɛd	ʔ ɑ b d u l ʔ ɛ h ɛ t
abdulfɛttah	ʔ ɑ b d u l p ɛ t t ɑ h
ata	ʔ ɑ t ɑ
atliqlar	ʔ ɑ t l i q l ɑ r
atimaq	ʔ ɑ t i m ɑ q
ad͡ʒiz	ʔ ɑ d͡ʒ i z
aχirɛt	ʔ ɑ χ i r ɛ t
adɛt	ʔ ɑ d ɛ t
adɛttɛ	ʔ ɑ d ɛ t t ɛ
arzu	ʔ ɑ r z u
arsin	ʔ ɑ r s i n
arisida	ʔ ɑ r i s i d ɑ
azat	ʔ ɑ z ɑ t
azap	ʔ ɑ z ɑ p
azot	ʔ ɑ z o t
asas	ʔ ɑ s ɑ s
astatin	ʔ ɑ s t ɑ t i n
asfalt	ʔ ɑ s p ɑ l t
asmaq	ʔ ɑ s m ɑ q
aʃqazan	ʔ ɑ ʃ q ɑ z ɑ n
aʃjan	ʔ ɑ ʃ j ɑ n
aʃpɛz	ʔ ɑ ʃ p ɛ z
afʁan	ʔ ɑ p ʁ ɑ n
aka	ʔ ɑ k ɑ
alamɛt	ʔ ɑ l ɑ m ɛ t
alaŋ	ʔ ɑ l ɑ ŋ
altun	ʔ ɑ l t u n
altɛ	ʔ ɑ l t ɛ
alma	ʔ ɑ l m ɑ
almas	ʔ ɑ l m ɑ s
alp	ʔ ɑ l p
amal	ʔ ɑ m ɑ l
amanɛt	ʔ ɑ m ɑ n ɛ t
ajaz	ʔ ɑ j ɑ z
ajaʁlar	ʔ ɑ j ɑ ʁ l ɑ r
ajaqlar	ʔ ɑ j ɑ q l ɑ r
ajran	ʔ ɑ j r ɑ n
ajʁir	ʔ ɑ j ʁ i r
ajmaq	ʔ ɑ j m ɑ q
aprel	ʔ ɑ p r e l
apirin	ʔ ɑ p i r i n
apijɛt	ʔ ɑ p i j ɛ t
apelsin	ʔ ɑ p e l s i n
apɛt	ʔ ɑ p ɛ t
at͡ʃqut͡ʃ	ʔ ɑ t͡ʃ q u t͡ʃ
at͡ʃmaq	ʔ ɑ t͡ʃ m ɑ q
ahalɛ	ʔ ɑ h ɑ l ɛ
awaz	ʔ ɑ w ɑ z
awam	ʔ ɑ w ɑ m
awiatsijɛ	ʔ ɑ w i ʔ ɑ t s i j ɛ
ottuz	ʔ o t t u z
otun	ʔ o t u n
oχʃimaq	ʔ o χ ʃ i m ɑ q
ortaq	ʔ o r t ɑ q
oʁa	ʔ o ʁ ɑ
oq	ʔ o q
oqutqut͡ʃi	ʔ o q u t q u t͡ʃ i
omum	ʔ o m u m
omumij	ʔ o m u m i j
omumijɛt	ʔ o m u m i j ɛ t
onint͡ʃi	ʔ o n i n t͡ʃ i
ibadɛtχana	ʔ i b ɑ d ɛ t χ ɑ n ɑ
it	ʔ i t
itaɛt	ʔ i t ɑ ʔ ɛ t
id͡ʒat	ʔ i d͡ʒ ɑ t
id͡ʒtimaij	ʔ i d͡ʒ t i m ɑ ʔ i j
id͡ʒtimaijɛt	ʔ i d͡ʒ t i m ɑ ʔ i j ɛ t
iχtijar	ʔ i χ t i j ɑ r
iχlas	ʔ i χ l ɑ s
is	ʔ i s
istirahɛt	ʔ i s t i r ɑ h ɛ t
istisna	ʔ i s t i s n ɑ
istemal	ʔ i s t e m ɑ l
istepa	ʔ i s t e p ɑ
israp	ʔ i s r ɑ p
islam	ʔ i s l ɑ m
islahat	ʔ i s l ɑ h ɑ t
isjant͡ʃi	ʔ i s j ɑ n t͡ʃ i
iʃʁal	ʔ i ʃ ʁ ɑ l
iʃq	ʔ i ʃ q
