аб'юрація	ɛ b j u r ɑ t͡sʲ i j ɛ
абатиса	ɛ b ɛ t ɪ s ɛ
абвер	ɑ b ʋ ɪ r
аберація	ɛ b ɪ r ɑ t͡sʲ i j ɛ
абеткування	ɛ b ɪ t k u ʋ ɑ nʲ ɛ
абзац	ɛ b z ɑ t͡s
аби	ɐ b ɪ
абияк	ɛ b ɪ j ɛ k
аблактування	ɛ b ɫ ɛ k t u ʋ ɑ nʲ ɛ
абластика	ɛ b ɫ ɑ s t ɪ k ɛ
абляція	ɛ b lʲ ɑ t͡sʲ i j ɛ
аболіціонізм	ɛ b ɔ lʲ i t͡sʲ i ɔ nʲ i z m
аболіціоніст	ɛ b ɔ lʲ i t͡sʲ i ɔ nʲ i s t
аборт	ɛ b ɔ r t
абортувати	ɛ b ɔ r t u ʋ ɑ t ɪ
абразія	ɛ b r ɑ zʲ i j ɛ
абрикос	ɛ b r ɪ k ɔ s
абрикоса	ɛ b r ɪ k ɔ s ɛ
абрикосник	ɛ b r ɪ k ɔ s n ɪ k
аброгація	ɛ b r ɔ ɦ ɑ t͡sʲ i j ɛ
абсанс	ɛ b s ɑ n s
абсолютист	ɛ b s ɔ lʲ u t ɪ s t
абсолютно	ɛ b s ɔ lʲ u t n ɔ
абсорбент	ɐ b s ɔ r b ɛ n t
абсорбер	ɛ b s ɔ r b ɪ r
абстрагованість	ɛ b s t r ɛ ɦ ɔ ʋ ɛ nʲ i sʲ tʲ
абстрагування	ɛ b s t r ɛ ɦ u ʋ ɑ nʲ ɛ
абстракціоніст	ɛ b s t r ɛ k t͡sʲ i ɔ nʲ i s t
абстракція	ɛ b s t r ɑ k t͡sʲ i j ɛ
абсурдно	ɛ b s u r d n ɔ
абсурдність	ɛ b s u r dʲ nʲ i sʲ tʲ
абхаз	ɛ b x ɑ z
абхазець	ɛ b x ɑ z ɪ t͡sʲ
абіогенез	ɛ b i ɔ ɦ ɪ n ɛ z
аваліст	ɛ ʋ ɛ lʲ i s t
авантура	ɛ ʋ ɛ n t u r ɛ
авантюрниця	ɛ ʋ ɛ nʲ tʲ u r n ɪ t͡sʲ ɛ
аварійний	ɛ ʋ ɛ rʲ i i n ɪ i
аварія	ɐ ʋ ɑ rʲ i j ɐ
авгіїв	ɛ u ɦ i j i u
аврора	ɛ u r ɔ r ɛ
австралопітек	ɛ u s t r ɛ ɫ ɔ p i t ɛ k
австромарксист	ɛ u s t r ɔ m ɛ r k s ɪ s t
австрійський	ɛ u s tʲ rʲ i i sʲ k ɪ i
автаркізм	ɛ u t ɛ r k i z m
автентичність	ɐ u̯ t e n t ɪ t͡ʃ nʲ i sʲ tʲ
авто	ɐ u̯ t ɔ
автобальзам	ɛ u t ɔ b ɛ lʲ z ɑ m
автобусик	ɛ u t ɔ b u s ɪ k
автобусна	ɛ u t ɔ b u s n ɛ
автобусний	ɛ u t ɔ b u s n ɪ i
автобіограф	ɛ u t ɔ b i ɔ ɦ r ɛ f
автовагон	ɛ u t ɔ ʋ ɛ ɦ ɔ n
автовласник	ɛ u t ɔ u ɫ ɑ s n ɪ k
автоводоцистерна	ɛ u t ɔ ʋ ɔ d ɔ t͡s ɪ s t ɛ r n ɛ
автогемотерапія	ɛ u t ɔ ɦ ɪ m ɔ t ɪ r ɛ p i j ɛ
автодидакт	ɛ u t ɔ d ɪ d ɑ k t
автореференція	ɑ u t ɔ r ɪ f ɪ r ɛ nʲ t͡sʲ i j ɛ
авторизувати	ɛ u t ɔ r ɪ z u ʋ ɑ t ɪ
авіабаза	ɛ ʋ i ɛ b ɑ z ɛ
авіабензин	ɛ ʋ i ɛ b ɪ n z ɪ n
авіавиставка	ɛ ʋ i ɛ ʋ ɪ s t ɛ u k ɛ
авіадвигун	ɛ ʋ i ɛ d ʋ ɪ ɦ u n
авіадесантник	ɛ ʋ i ɛ d ɪ s ɑ n t n ɪ k
авіадивізія	ɛ ʋ i ɛ d ɪ ʋ i zʲ i j ɛ
авіалайнер	ɐ ʋʲ i ɐ ɫ ɑ i̯ n e r
авіаль	ɛ ʋ i ɑ lʲ
авіамаяк	ɛ ʋ i ɛ m ɛ j ɑ k
авіаметеослужба	ɛ ʋ i ɛ m ɪ t ɪ ɔ s ɫ u ʒ b ɛ
авіаметеостанція	ɛ ʋ i ɛ m ɪ t ɪ ɔ s t ɑ nʲ t͡sʲ i j ɛ
авіапарк	ɛ ʋ i ɛ p ɑ r k
авіапасажир	ɛ ʋ i ɛ p ɛ s ɛ ʒ ɪ r
авіаполк	ɛ ʋ i ɛ p ɔ ɫ k
авіапорт	ɛ ʋ i ɛ p ɔ r t
авіапідживлення	ɛ ʋ i ɛ p i d͡ʒ ɪ u ɫ ɪ nʲ ɛ
авіарейд	ɛ ʋ i ɛ r ɛ i d
авіарозвідка	ɛ ʋ i ɛ r ɔ zʲ ʋ i d k ɛ
авіасалон	ɛ ʋ i ɛ s ɛ ɫ ɔ n
авіатика	ɛ ʋ i ɑ t ɪ k ɛ
авіатранспорт	ɛ ʋ i ɛ t r ɑ n s p ɔ r t
авіатраса	ɛ ʋ i ɛ t r ɑ s ɛ
авіаучилище	ɛ ʋ i ɛ u t͡ʃ ɪ ɫ ɪ ʃ t͡ʃ ɪ
авіз	ɛ ʋ i z
авізування	ɛ ʋ i z u ʋ ɑ nʲ ɛ
авіста	ɛ ʋ i s t ɛ
авієтка	ɛ ʋ i j ɛ t k ɛ
аграрний	ɐ ɦ r ɑ r n e i̯
агресивність	ɛ ɦ r ɪ s ɪ u nʲ i sʲ tʲ
адреса	ɛ d r ɛ s ɛ
аероліт	ɛ ɪ r ɔ lʲ i t
