dɛmɔkrɑtɪʈ͡ʂnɔ	d ɪ m ɔ k r ɛ t ɪ t͡ʃ n ɔ
sɑmɔbutnʲij	s ɛ m ɔ b u tʲ nʲ i i
sɑtɑnɑ	s ɛ t ɛ n ɑ
ɑfɦɑnsʲkɪj	ɛ f ɦ ɑ nʲ sʲ k ɪ i
lʲit	lʲ i t
ɑvtɔbusnɑ	ɛ u t ɔ b u s n ɛ
ʂʈ͡ʂɔkɔu	ʃ t͡ʃ ɔ k ɔ j u
ɔlɛnɪnɑ	ɔ ɫ ɪ n ɪ n ɛ
kɔsmɔdrɔm	k ɔ s m ɔ d r ɔ m
pɔstupku	p ɔ s t u p k u
ɔznɑjɔmlɛnnʲɑ	ɔ z n ɛ j ɔ m ɫ ɪ nʲ ɛ
druɦɪj	d r u ɦ ɪ i
sviʈ͡ʂɑ	sʲ ʋ i t͡ʃ ɛ
kɑpitɑl	k ɛ p i t ɑ ɫ
im'ɑ	i m j ɛ
nɑsɔlɔdɪtɪsʲɑ	n ɛ s ɔ ɫ ɔ d ɪ t ɪ sʲ ɛ
ʈ͡ʂɔrt	t͡ʃ ɔ r t
kɑplɪt͡sʲi	k ɛ p ɫ ɪ t͡sʲ i
pɛrɛvɪxɔvɑtɪ	p ɪ r ɪ ʋ ɪ x ɔ ʋ ɛ t ɪ
svɔɑk	s ʋ ɔ j ɑ k
nɛzɑlɛʐnɔstɪ	n ɪ z ɛ ɫ ɛ ʒ n ɔ s t ɪ
dɔsʲɑɦnɛnnʲɑ	d ɔ sʲ ɑ ɦ n ɪ nʲ ɛ
idɛɑlʲnɪj	i d ɪ ɑ lʲ n ɪ i
zɑvdʲɑkɪ	z ɛ u dʲ ɛ k ɪ
tunɛlʲɑx	t u n ɛ lʲ ɛ x
ɔbɦɔvɔrʲuvɑtɪ	ɔ b ɦ ɔ ʋ ɔ rʲ u ʋ ɛ t ɪ
lɑkrɔs	ɫ ɛ k r ɔ s
zɑnɔtuvɑtɪ	z ɛ n ɔ t u ʋ ɑ t ɪ
ɛpɔxɪ	ɪ p ɔ x ɪ
nɛprɪjnʲɑtnɪj	n ɪ p r ɪ i nʲ ɛ t n ɪ i
prɪʈ͡ʂɪnnɪj	p r ɪ t͡ʃ ɪ n ɪ i
ʂʈ͡ʂɔtɪʐnɛvɪj	ʃ t͡ʃ ɔ t ɪ ʒ n ɛ ʋ ɪ i
kɑpitulʲuvɑtɪ	k ɛ p i t u lʲ u ʋ ɑ t ɪ
prɔtɪtɑnkɔvɪj	p r ɔ t ɪ t ɑ n k ɔ ʋ ɪ i
trɑktɔr	t r ɑ k t ɔ r
kɔnflʲikt	k ɔ n f lʲ i k t
lɛbɛdɪnɪj	ɫ ɪ b ɪ d ɪ n ɪ i
pʂɛnɪt͡sʲɑ	p ʃ ɪ n ɪ t͡sʲ ɛ
krɑb	k r ɑ b
nɛdɔstupnɪj	n ɪ d ɔ s t u p n ɪ i
rɔzzbrɔuvɑtɪ	r ɔ z b r ɔ j u ʋ ɛ t ɪ
klɑviɑtur	k ɫ ɛ ʋ i ɛ t u r
trɔtuɑrɪ	t r ɔ t u ɑ r ɪ
izrɑjilʲtʲɑnɪn	i z r ɛ j i lʲ tʲ ɑ n ɪ n
ʈ͡ʂudɔvɪsʲkɔ	t͡ʃ u d ɔ ʋ ɪ sʲ k ɔ
ustɑ	u s t ɑ
rɔzpɔʈ͡ʂɑtɪ	r ɔ z p ɔ t͡ʃ ɑ t ɪ
dɪnɑmikɑ	d ɪ n ɑ m i k ɛ
ɦɔspitɑlʲizɑt͡sʲiɑ	ɦ ɔ sʲ p i t ɛ lʲ i z ɑ t͡sʲ i j ɛ
ɑfrɪkɑnɛt͡sʲ	ɛ f r ɪ k ɑ n ɪ t͡sʲ
pɔvistʲ	p ɔ ʋ i sʲ tʲ
ɦirsʲkɪj	ɦ i r sʲ k ɪ i
ɔstɑtɔʈ͡ʂnɪj	ɔ s t ɛ t ɔ t͡ʃ n ɪ i
pɔɦnɑtɪ	p ɔ ɦ n ɑ t ɪ
sʲirɪj	sʲ i r ɪ i
pɔkɑrɑnʲ	p ɔ k ɛ r ɑ nʲ
pɔʂɪrɪtɪ	p ɔ ʃ ɪ r ɪ t ɪ
plʲivkɑ	p lʲ i u k ɛ
pɔlʲit͡sʲiɑx	p ɔ lʲ i t͡sʲ i j ɛ x
pɔtvɔrnɪj	p ɔ t ʋ ɔ r n ɪ i
mɔtɔt͡sɪkl	m ɔ t ɔ t͡s ɪ k ɫ
pɔstupkɪ	p ɔ s t u p k ɪ
pɔzbɑvlʲɑtɪ	p ɔ z b ɛ u lʲ ɑ t ɪ
vɪsnɑʐuvɑtɪ	ʋ ɪ s n ɑ ʒ u ʋ ɛ t ɪ
smɛrtɔnɔsnɪj	s m ɪ r t ɔ n ɔ s n ɪ i
ɦlɑvɑ	ɦ ɫ ɛ ʋ ɑ
rɔzdʲil	r ɔ zʲ dʲ i ɫ
pɔzdɔrɔvlʲɑtɪ	p ɔ z d ɔ r ɔ u lʲ ɑ t ɪ
dɔrɔɦɑ	d ɔ r ɔ ɦ ɛ
ɑnɑlʲizuvɑtɪ	ɛ n ɛ lʲ i z u ʋ ɑ t ɪ
ilʲuzʲiɑ	i lʲ u zʲ i j ɛ
pɛrsɔnɑlʲnɪj	p ɪ r s ɔ n ɑ lʲ n ɪ i
kɔrɔnɑvirus	k ɔ r ɔ n ɛ ʋ i r u s
zɑspɔkijlɪvɪj	z ɛ s p ɔ k i i ɫ ɪ ʋ ɪ i
dɛv'ɑnɔstɪj	d ɪ ʋ j ɛ n ɔ s t ɪ i
vstupɑtɪ	ʋ s t u p ɑ t ɪ
vɪbɪrɑtɪ	ʋ ɪ b ɪ r ɑ t ɪ
zɑruʈ͡ʂɑtɪ	z ɛ r u t͡ʃ ɑ t ɪ
pɔmɪrɑtɪ	p ɔ m ɪ r ɑ t ɪ
prɔmɔvlʲɑtɪ	p r ɔ m ɔ u lʲ ɑ t ɪ
mikrɔskɔp	m i k r ɔ s k ɔ p
spivrɔbitnɪk	sʲ p i u r ɔ b i t n ɪ k
nɔminɑlʲnɪj	n ɔ m i n ɑ lʲ n ɪ i
prɪbiʈ͡ʂnɪt͡sʲɑ	p r ɪ b i t͡ʃ n ɪ t͡sʲ ɛ
dɛnʲ	d ɛ nʲ
z'ɑsuvɑtɪ	z j ɛ s u ʋ ɑ t ɪ
virtuɑlʲnɪj	ʋ i r t u ɑ lʲ n ɪ i
pɛrɛsʲiʈ͡ʂnɪj	p ɪ r ɪ sʲ i t͡ʃ n ɪ i
spivisnuvɑnnʲɑ	sʲ p i ʋ i s n u ʋ ɑ nʲ ɛ
mɛlɔdʲiɑm	m ɪ ɫ ɔ dʲ i j ɛ m
vidɔkrɛmɪtɪ	ʋ i d ɔ k r ɛ m ɪ t ɪ
prɔt͡sɛdurnɪj	p r ɔ t͡s ɪ d u r n ɪ i
ɑllɔ	ɛ ɫ ɔ
ɦipɔtɛzɑ	ɦ i p ɔ t ɪ z ɛ
rɔzv'ɑzuvɑtɪ	r ɔ z ʋ j ɑ z u ʋ ɛ t ɪ
tʲi	tʲ i
ɑntɪdɔt	ɛ n t ɪ d ɔ t
mɔvɔznɑvɛt͡sʲ	m ɔ ʋ ɔ z n ɑ ʋ ɪ t͡sʲ
zɑbɔbɔn	z ɛ b ɔ b ɔ n
ɔrɛndɑ	ɔ r ɛ n d ɛ
ɛtɑp	ɪ t ɑ p
pɔvikɪ	p ɔ ʋ i k ɪ
ɑvstrɔmɑrksɪst	ɛ u s t r ɔ m ɛ r k s ɪ s t
ɛtɪkɑ	ɛ t ɪ k ɛ
bɔlɦɑrɪn	b ɔ ɫ ɦ ɑ r ɪ n
pɔstɑtʲ	p ɔ s t ɛ tʲ
milʲjɔn	m i lʲ j ɔ n
ʂʈ͡ʂi	ʃ t͡ʃʲ i
lɑvɑndɔvɪj	ɫ ɛ ʋ ɑ n d ɔ ʋ ɪ i
ʂvɛdsʲkɪj	ʃ ʋ ɛ d͡zʲ sʲ k ɪ i
ɔt͡sɪmɪ	ɔ t͡s ɪ m ɪ
vʈ͡ʂɪtɛlʲ	ʋ t͡ʃ ɪ t ɪ lʲ
bɛzʐurnɪj	b ɪ ʒ u r n ɪ i
xɔtʲitɪsʲɑ	x ɔ tʲ i t ɪ sʲ ɛ
slɪnɑ	s ɫ ɪ n ɛ
vɑrʲiɑntɑmɪ	ʋ ɛ rʲ i ɑ n t ɛ m ɪ
vidʈ͡ʂutɪ	ʋ i d͡ʒ t͡ʃ u t ɪ
pɛrlɪnɑ	p ɪ r ɫ ɪ n ɛ
rɛlʲiɦijnɪj	r ɪ lʲ i ɦ i i n ɪ i
stɑtʲ	s t ɑ tʲ
strɪmɑtɪ	s t r ɪ m ɛ t ɪ
vɪprɔmɛnɪtɪ	ʋ ɪ p r ɔ m ɪ n ɪ t ɪ
nɑɦrɔmɑdʐuvɑtɪ	n ɛ ɦ r ɔ m ɑ d͡ʒ u ʋ ɛ t ɪ
kɔrʲinʲ	k ɔ rʲ i nʲ
klɑsɔvɪj	k ɫ ɑ s ɔ ʋ ɪ i
vɔrɔtɑ	ʋ ɔ r ɔ t ɛ
j	j
dɪvnɪj	d ɪ u n ɪ i
vidpɔʈ͡ʂɪvɑtɪ	ʋ i d p ɔ t͡ʃ ɪ ʋ ɑ t ɪ
ʐɔdnɪj	ʒ ɔ d n ɪ i
zmɔvɑ	z m ɔ ʋ ɛ
viddɑnɪj	ʋ i d ɛ n ɪ i
tɛplɔtɑ	t ɪ p ɫ ɔ t ɑ
xrɛst	x r ɛ s t
