creu	k r e i̯
ffermwr	f ɛ r m ʊ r
gyrru	ɡ ə r i
gorwedd	ɡ ɔ r w ɛ ð
sgrin	s ɡ r iː n
ffôn	f oː n
ai	a i̯
adran	a d r a n
dde	ð eː
edrych	ɛ d r ɪ χ
ŵr	uː r
aberhonddu	a b ɛ r h ɔ n ð i
yma	ə m a
ysgol	ə s ɡ ɔ l
bachgen	b a χ ɡ ɛ n
arddangos	a r ð a ŋ ɡ ɔ s
ffasiwn	f a ʃ ʊ n
darllen	d a r ɬ ɛ n
ati	a t i
sef	s eː v
dorri	d ɔ r i
copa	k ɔ p a
doniol	d ɔ n j ɔ l
gymru	ɡ ə m r i
cyfrwng	k ə v r ʊ ŋ
amddiffyn	a m ð ɪ f ɪ n
dwy	d ʊ i̯
gweler	ɡ w eː l ɛ r
chymorth	χ ə m ɔ r θ
lle	ɬ eː
gwynedd	ɡ u i̯ n ɛ ð
efrog	ɛ v r ɔ ɡ
blasu	b l a s i
tynnu	t ə n i
heddlu	h ɛ ð l i
asgell	a s ɡ ɛ ɬ
hafren	h a v r ɛ n
fath	v aː θ
cerddor	k ɛ r ð ɔ r
wella	w ɛ ɬ a
gwreiddiol	ɡ w r e i̯ ð j ɔ l
mod	m oː d
sillaf	s ɪ ɬ a v
cyfres	k ə v r ɛ s
cymdeithasol	k ə m d e i̯ θ a s ɔ l
trwy	t r ʊ i̯
galon	ɡ a l ɔ n
mlwydd	m l ʊ i̯ ð
dŷ	d iː
hwyr	h ʊ i̯ r
diod	d iː ɔ d
cŵn	k uː n
academyddion	a k a d ɛ m ə ð j ɔ n
decaf	d ɛ k a v
bro	b r oː
bwrdd	b ʊ r ð
wlad	w l aː d
yno	ə n ɔ
nai	n a i̯
ystod	ə s d ɔ d
llygod	ɬ ə ɡ ɔ d
fodlon	v ɔ d l ɔ n
llywydd	ɬ ə u̯ ɪ ð
cwrdd	k ʊ r ð
cyfreithiwr	k ə v r e i̯ θ j ʊ r
traw	t r a u̯
gwres	ɡ w r eː s
llai	ɬ a i̯
cheir	χ e i̯ r
sedd	s eː ð
cyngaws	k ə ŋ a u̯ s
wyth	ʊ i̯ θ
ngorllewin	ŋ ɔ r ɬ ɛ u̯ ɪ n
llatai	ɬ a t a i̯
tir	t iː r
ymhlith	ə m h l iː θ
traddodiad	t r a ð ɔ d j a d
cyfamser	k ə v a m s ɛ r
swistir	ə s w ɪ s d ɪ r
ŵyl	ʊ i̯ l
en	ɛ n
crist	k r ɪ s t
crech	k r eː χ
pob	p oː b
gerrig	ɡ ɛ r ɪ ɡ
cwblhau	k ʊ b l h a i̯
hi	h iː
cywir	k ə w ɪ r
ebrill	ɛ b r ɪ ɬ
dyfi	d ə v i
bydd	b iː ð
mi	m iː
