aare	ɑ ɹ ə
abacaxi	æ b ə k ə ʃ i
abashment	ə b æ ʃ m ə n t
abderite	æ b d ə ɹ a ɪ t
abembryonic	æ b ɛ m b ɹ i ɑ n ɪ k
abhinaya	ə b ɪ n ə j ə
abidden	ə b ɪ d n̩
abietene	æ b i ə t i n
abjectness	æ b d͡ʒ ɛ k t n ə s
ableist	e ɪ b ə l ɪ s t
absinthism	æ b s ə n θ ɪ z m̩
abstruse	æ b s t ɹ u s
abuser	ə b j u z ɚ
acacia	ə k e ɪ ʃ ə
acaricide	ə k ɛ ɹ ə s i d
accessorial	æ k s ə s ɔ ɹ i ə l
accidental	æ k s ɪ d ɛ n t l̩
accismus	æ k s ɪ z m ə s
accommodating	ə k ɔ m ə d e ɪ t ɪ ŋ
acerb	ə s ɜ ɹ b
aceric	æ s ɜ ɹ ɪ k
acetary	ə s i t ə ɹ i
acidic	ə s ɪ d ɪ k
adam	æ d ə m
adiaphanous	æ d ɪ æ f ə n ə s
adle	e ɪ d ə l
adventurous	æ d v ɛ n t͡ʃ ɚ ʌ s
adytum	a d ə t ə m
aeolus	i o ʊ l ə s
affinity	ə f ɪ n ɪ t i
afflicted	ə f l ɪ k t ɪ d
aflutter	ə f l ʌ t ɚ
ageful	e ɪ d͡ʒ f ʊ l
ailed	e ɪ l d
aldehydes	æ l d i h a ɪ d z
algedonic	æ l d͡ʒ ɪ d ɔ n ɪ k
algo	æ l ɡ o ʊ̯
alias	e ɪ l i ə s
allies	æ l a ɪ z
allowance	ə l a ʊ ə n s
alluding	ə l u d ɪ ŋ
almucantar	æ l m ə k æ n t ɚ
alquifou	æ l k ɪ f u
amaranthine	æ m ə r æ n θ ɪ n
amphibolous	æ m f ɪ b ə l ə s
analogous	ə n æ l ə ɡ ə s
anarchy	æ n ɑ ɹ k i
anchovy	æ n t͡ʃ o ʊ v i
ancientry	e ɪ n ʃ ə n t ɹ i
angelina	æ n d͡ʒ ə l i n ə
anglesey	æ ŋ ɡ ə l s i
anglophilia	æ ŋ ɡ l o ʊ f ɪ l i ə
animalcule	æ n ɪ m æ l k j u l
anlauts	a n l a ʊ t s
anomaloscope	ə n ɑ m ə l o ʊ s k o ʊ p
anorexia	æ n ə ɹ ɛ k s i ə
anthology	æ n θ ɑ l ə d͡ʒ i
anxious	æ ŋ k ʃ ə s
aorist	e ɪ ə ɹ ɪ s t
apamea	æ p ə m i ə
apartment	ə p ɑ ɹ t m ə n t
apology	ə p ɔ l ə d͡ʒ i
appointment	ə p ɔ ɪ n t m ɛ n t
apraxia	ə p ɹ æ k s ɪ ə
aprons	e ɪ p ɹ ə n z
aquabib	æ k w ə b ɪ b
aragon	æ ɹ ə ɡ ɑ n
arbuscle	ɑ b ʌ s ə l
arctogaeal	ɑ ɹ k t ə d͡ʒ i ə
arduous	ɑ ɹ d͡ʒ u ə s
arithmetician	ə ɹ ɪ θ m ə t ɪ ʃ ə n
asphodel	æ s f ə d ɛ l
asplode	ə s p l o ʊ d
assisting	ə s ɪ s t ɪ ŋ
asteroids	æ s t ə ɹ o ɪ d z
astonishment	ə s t ɑ n ɪ ʃ m ə n t
atmosphere	æ t m ə s f ɪ ɹ
attaching	ə t æ t͡ʃ ɪ ŋ
aubergine	o ʊ b ɚ ʒ i n
augean	ɔ d͡ʒ i ə n
augurs	ɔ ɡ ɚ z
augustan	ɔ ɡ ʌ s t ə n
austenite	ɔ s t ɪ n a ɪ t
austerity	ɔ s t ɛ ɹ ɪ t i
averroes	ə v ɛ ɹ o ʊ i z
awook	ə w ʊ k
azalea	ə z e ɪ l i ə
backrest	b æ k ɹ e s t
backslang	b æ k s l æ ŋ
baconian	b ə k o ʊ n ɪ ə n
badly	b æ d l i
baggie	b æ ɡ i
bales	b e ɪ l z
ball	b ɔ l
ballet	b æ l e ɪ
baloney	b ə l o ʊ n i
bamf	b æ m f
bandersnatch	b æ n d ə ɹ s n æ t͡ʃ
baptism	b æ p t ɪ z ə m
batcrap	b æ t k ɹ æ p
bayed	b e ɪ d
beads	b i d z
beam	b i m
beanbag	b i n b æ ɡ
beaten	b i t ə n
beater	b i t ɚ
beaus	b o ʊ z
beechmast	b i t͡ʃ m æ s t
beefsteak	b i f s t e ɪ k
beeping	b i p ɪ ŋ
beggings	b ɛ ɡ ɪ ŋ z
beida	b e ɪ d a
belches	b ɛ l t͡ʃ ɪ z
benevolence	b ə n ɛ v ə l ə n s
berg	b ɝ ɡ
bergamot	b ɝ ɡ ə m ɑ t
besalted	b ɪ s ɑ l t ɪ d
besprenge	b ɪ s p ɹ ɛ n d͡ʒ
biceps	b a ɪ s ɛ p s
biennial	b a ɪ ɛ n ɪ ə l
bimetallic	b a ɪ m ɪ t æ l ɪ k
binomial	b a ɪ n o ʊ m i ə l
biscotti	b ɪ s k ɑ t i
bitty	b ɪ t i
blabs	b l æ b z
blackout	b l æ k a ʊ t
blazoning	b l e ɪ z ə n ɪ ŋ
blending	b l ɛ n d ɪ ŋ
blighted	b l a ɪ t ɪ d
blinkard	b l ɪ ŋ k ə ɹ d
blister	b l ɪ s t ɚ
blocks	b l ɑ k s
blond	b l ɑ n d
boaster	b o ʊ s t ɚ
bolete	b o ʊ l i t
bonapartism	b o ʊ n ə p ɑ ɹ t ɪ z ə m
bond	b ɑ n d
bookshelf	b ʊ k ʃ ɛ l f
boon	b u n
boughten	b ɔ t ə n
boundings	b a ʊ n d ɪ ŋ z
boy	b ɔ ɪ
braising	b ɹ e ɪ z ɪ ŋ
brangle	b ɹ æ ŋ ɡ ə l
bread	b ɹ ɛ d
breaths	b ɹ ɛ θ s
bred	b ɹ ɛ d
breeding	b ɹ i d ɪ ŋ
breton	b ɹ ɛ t ə n
bribing	b ɹ a ɪ b ɪ ŋ
bridgehead	b ɹ ɪ d͡ʒ h ɛ d
briefed	b ɹ i f t
brighten	b ɹ a ɪ t ə n
brightest	b ɹ a ɪ t ɪ s t
bringer	b ɹ ɪ ŋ ə ɹ
brisk	b ɹ ɪ s k
broseph	b ɹ o ʊ s ə f
brow	b ɹ a ʊ
browsing	b ɹ a ʊ z ɪ ŋ
brumby	b ɹ ʌ m b i
buckle	b ʌ k ə l
buffoonic	b ə f u n ɪ k
building	b ɪ l d ɪ ŋ
bullion	b ʊ l j ə n
bummer	b ʌ m ə ɹ
bungle	b ʌ ŋ ɡ ə l
burb	b ɝ b
bushel	b ʊ ʃ ə l
busticate	b ʌ s t ɪ k e ɪ t
butt	b ʌ t
butterbrot	b ʊ t ə ɹ b ɹ o ʊ t
butterfish	b ʌ t ə ɹ f ɪ ʃ
byte	b a ɪ t
calas	k ə l ɑ
cali	k æ l i
cameron	k æ m ə ɹ ə n
camo	k æ m o ʊ
camps	k æ m p s
cant	k æ n t
capacitate	k ə p æ s ɪ t e ɪ t
capisce	k ə p i ʃ
capless	k æ p l ə s
capricornus	k æ p ɹ ɪ k ɔ ɹ n ə s
capuchin	k æ p ə t͡ʃ ɪ n
carburetor	k ɑ ɹ b j ə ɹ e ɪ t ɚ
carelessly	k ɛ ɹ l ə s l i
carinthian	k ə r ɪ n θ i ə n
carlisle	k ɑ ɹ l a ɪ l
catchment	k æ t͡ʃ m ə n t
caveat	k æ v i ɑ t
caws	k ɔ z
cedar	s i d ɚ
ceilidhean	k e ɪ l i ə n
cellophane	s ɛ l ə f e ɪ n
celluloid	s ɛ l j ə l ɔ ɪ d
cervix	s ɝ v ɪ k s
chaconne	ʃ a k ɔ n
chaplin	t͡ʃ æ p l ɪ n
chen	t͡ʃ ɛ n
cherine	ʃ ɪ ɹ i n
cheroot	t͡ʃ ə ɹ u t
chickenhawk	t͡ʃ ɪ k ɪ n h ɔ k
child	t͡ʃ a ɪ l d
childbed	t͡ʃ a ɪ l d b ɛ d
childrearing	t͡ʃ a ɪ l d ɹ ɪ ə ɹ ɪ ŋ
chimings	t͡ʃ a ɪ m ɪ ŋ z
chinatown	t͡ʃ a ɪ n ə t a ʊ n
chitinous	k a ɪ t ɪ n ə s
choenix	k i n ɪ k s
chon	t͡ʃ ɑ n
chopstix	t͡ʃ ɑ p s t ɪ k s
choral	k ɔ ɹ ə l
chord	k ɔ ɹ d
chose	t͡ʃ o ʊ z
christ	k ɹ a ɪ s t
chucky	t͡ʃ ʌ k i
ciera	s i ɛ ɹ ə
civilized	s ɪ v ɪ l a ɪ z d
cladribine	k l æ d ɹ ɪ b i n
clamped	k l æ m p t
clapping	k l æ p ɪ ŋ
claps	k l æ p s
cleanliness	k l ɛ n l i n ə s
clevedon	k l i v d ə n
cleverer	k l ɛ v ɚ ɚ
