aare	ɑ ɹ ə
abacaxi	æ b ə k ə ʃ i
abashment	ə b æ ʃ m ə n t
abbreviation	ə b ɹ i v i e ɪ ʃ n̩
abderite	æ b d ə ɹ a ɪ t
abembryonic	æ b ɛ m b ɹ i ɑ n ɪ k
abhinaya	ə b ɪ n ə j ə
abidden	ə b ɪ d n̩
abietene	æ b i ə t i n
abiotic	e ɪ b a ɪ ɑ t ɪ k
abjectness	æ b d͡ʒ ɛ k t n ə s
ablastous	e ɪ b l æ s t ə s
ableist	e ɪ b ə l ɪ s t
abortive	ə b ɔ ɹ t ɪ v
abrogator	æ b ɹ ə ɡ e ɪ t ɚ
abronia	ə b ɹ o ʊ n i ə
abruption	ə b ɹ ʌ p ʃ n̩
absinthism	æ b s ə n θ ɪ z m̩
abstruse	æ b s t ɹ u s
abuser	ə b j u z ɚ
abysm	ə b ɪ z m̩
acacia	ə k e ɪ ʃ ə
academism	ə k æ d ə m ɪ z ə m
acampsia	ə k æ m p s i ə
acanthamoeba	ə k æ n θ ə m i b ə
acaricide	ə k ɛ ɹ ə s i d
accessorial	æ k s ə s ɔ ɹ i ə l
accidental	æ k s ɪ d ɛ n t l̩
accismus	æ k s ɪ z m ə s
accommodating	ə k ɔ m ə d e ɪ t ɪ ŋ
accomplish	ə k ɑ m p l ɪ ʃ
accusingly	ə k j u z ɪ ŋ l i
acedia	ə s i d ɪ ə
acerb	ə s ɜ ɹ b
aceric	æ s ɜ ɹ ɪ k
acervation	æ s ɚ v e ɪ ʃ ə n
acetabulum	æ s ə t æ b j ə l ə m
acetary	ə s i t ə ɹ i
acidic	ə s ɪ d ɪ k
acquest	ə k w ɛ s t
ada	e ɪ d ə
adam	æ d ə m
addressed	ə d ɹ ɛ s t
adiaphanous	æ d ɪ æ f ə n ə s
adits	æ d ɪ t s
adle	e ɪ d ə l
adventurous	æ d v ɛ n t͡ʃ ɚ ʌ s
adytum	a d ə t ə m
aeolic	i ɑ l ɪ k
aeolus	i o ʊ l ə s
affinity	ə f ɪ n ɪ t i
afflicted	ə f l ɪ k t ɪ d
aflush	ə f l ʌ ʃ
aflutter	ə f l ʌ t ɚ
aga	ɑ ɡ ə
against	ə ɡ ɛ n s t
agartala	ə ɡ ə ɹ t ə l ə
ageful	e ɪ d͡ʒ f ʊ l
agitate	æ d͡ʒ ɪ t e ɪ t
agitation	æ d͡ʒ ɪ t e ɪ ʃ ə n
agnew	æ ɡ n u
agraffe	ə ɡ ɹ æ f
agriculture	æ ɡ ɹ ɪ k ʌ l t͡ʃ ɚ
aiding	e ɪ d ɪ ŋ
ailed	e ɪ l d
alary	e ɪ l ə ɹ i
aldehydes	æ l d i h a ɪ d z
alep	ə l ɛ p
aleurometer	æ l j ə ɹ ɑ m ɪ t ɚ
algedonic	æ l d͡ʒ ɪ d ɔ n ɪ k
algo	æ l ɡ o ʊ̯
alias	e ɪ l i ə s
alleyway	æ l i w e ɪ
allies	æ l a ɪ z
allowance	ə l a ʊ ə n s
alluding	ə l u d ɪ ŋ
almucantar	æ l m ə k æ n t ɚ
alquifou	æ l k ɪ f u
amalgamate	ə m æ l ɡ ə m e ɪ t
amaranthine	æ m ə r æ n θ ɪ n
ambushings	æ m b ʊ ʃ ɪ ŋ z
amerce	ə m ɝ s
amissible	ə m ɪ s ɪ b ə l
amphibolous	æ m f ɪ b ə l ə s
analogous	ə n æ l ə ɡ ə s
analyze	æ n ə l a ɪ z
anarchy	æ n ɑ ɹ k i
anchovy	æ n t͡ʃ o ʊ v i
ancientry	e ɪ n ʃ ə n t ɹ i
angelina	æ n d͡ʒ ə l i n ə
anglesey	æ ŋ ɡ ə l s i
anglophilia	æ ŋ ɡ l o ʊ f ɪ l i ə
angolan	æ ŋ ɡ o ʊ l ə n
animalcule	æ n ɪ m æ l k j u l
animals	æ n ɪ m ə l z
animated	æ n ɪ m e ɪ t ɪ d
anlauts	a n l a ʊ t s
anneal	ə n i l
annette	ə n ɛ t
anodyne	æ n ə d a ɪ n
anomaloscope	ə n ɑ m ə l o ʊ s k o ʊ p
anorexia	æ n ə ɹ ɛ k s i ə
anthology	æ n θ ɑ l ə d͡ʒ i
antioxidant	æ n t i ɔ k s ɪ d ə n t
antirrio	æ n t ɪ ɹ i o ʊ
anxious	æ ŋ k ʃ ə s
aorist	e ɪ ə ɹ ɪ s t
apamea	æ p ə m i ə
apartment	ə p ɑ ɹ t m ə n t
aperture	æ p ɚ t͡ʃ ɚ
apodeictic	a p ə d a ɪ k t ɪ k
apology	ə p ɔ l ə d͡ʒ i
appellative	ə p ɛ l ə t ɪ v
appointment	ə p ɔ ɪ n t m ɛ n t
apprehensive	æ p ɹ ɪ h ɛ n s ɪ v
apraxia	ə p ɹ æ k s ɪ ə
aprium	e ɪ p ɹ i ə m
aprons	e ɪ p ɹ ə n z
aquabib	æ k w ə b ɪ b
arab	æ ɹ ə b
aracari	ɑ ɹ ə s ɑ ɹ i
arachnidism	ə ɹ æ k n ɪ d ɪ z m
aragon	æ ɹ ə ɡ ɑ n
arbuscle	ɑ b ʌ s ə l
arch	ɑ ɹ t͡ʃ
archelaus	ɑ ɹ k ə l e ɪ ə s
arctogaeal	ɑ ɹ k t ə d͡ʒ i ə
ardent	ɑ ɹ d ə n t
arduous	ɑ ɹ d͡ʒ u ə s
argon	ɑ ɹ ɡ ɔ n
arithmetician	ə ɹ ɪ θ m ə t ɪ ʃ ə n
armament	ɑ ɹ m ə m ə n t
arnold	ɑ ɹ n ə l d
artless	ɑ ɹ t l ɪ s
asphodel	æ s f ə d ɛ l
asplode	ə s p l o ʊ d
assent	ə s ɛ n t
assimilation	ə s ɪ m ə l e ɪ ʃ ə n
assisting	ə s ɪ s t ɪ ŋ
assort	ə s ɔ ɹ t
asterix	æ s t ə ɹ ɪ k s
asteroids	æ s t ə ɹ o ɪ d z
astonishment	ə s t ɑ n ɪ ʃ m ə n t
astral	æ s t ɹ ə l
astrogeometry	æ s t ɹ ə d͡ʒ i ɑ m ɛ t ɹ i
astrozoology	æ s t ɹ ə z o ʊ ɔ l ə d͡ʒ i
asymmetry	e ɪ s ɪ m ɪ t ɹ i
atmosphere	æ t m ə s f ɪ ɹ
atom	a t ə m
attaching	ə t æ t͡ʃ ɪ ŋ
attainted	ə t e ɪ n t ə d
attests	ə t ɛ s t s
aubergine	o ʊ b ɚ ʒ i n
audible	ɔ d ɪ b l̩
augean	ɔ d͡ʒ i ə n
augurs	ɔ ɡ ɚ z
augustan	ɔ ɡ ʌ s t ə n
austenite	ɔ s t ɪ n a ɪ t
austerity	ɔ s t ɛ ɹ ɪ t i
aventurine	ə v ɛ n t͡ʃ ə ɹ ɪ n
averroes	ə v ɛ ɹ o ʊ i z
aviation	e ɪ v i e ɪ ʃ ə n
awook	ə w ʊ k
axe	æ k s
axiom	æ k s i ə m
azalea	ə z e ɪ l i ə
azeri	ə z ɛ ɹ i
babber	b æ b ə ɹ
backrest	b æ k ɹ e s t
backslang	b æ k s l æ ŋ
backstroke	b æ k s t ɹ o ʊ k
baconian	b ə k o ʊ n ɪ ə n
bactericide	b æ k t ɪ ə ɹ ɪ s a ɪ d
bacteriotherapy	b æ k t ɪ ə ɹ ɪ o ʊ θ e ɹ ə p i
badly	b æ d l i
baffound	b æ f a ʊ n d
bagel	b e ɪ ɡ l̩
baggage	b æ ɡ ɪ d͡ʒ
baggie	b æ ɡ i
baikal	b a ɪ k ɑ l
baldmoney	b ɔ l d m ʌ n i
balearic	b æ l i æ ɹ ɪ k
baled	b e ɪ l d
bales	b e ɪ l z
ball	b ɔ l
ballcock	b ɔ l k ɔ k
ballet	b æ l e ɪ
ballsy	b ɔ l z i
baloney	b ə l o ʊ n i
bamf	b æ m f
bandersnatch	b æ n d ə ɹ s n æ t͡ʃ
bangkok	b æ ŋ k ɔ k
banner	b æ n ɚ
baptism	b æ p t ɪ z ə m
barley	b ɑ ɹ l i
barnacle	b ɑ ɹ n ə k l̩
basins	b e ɪ s ɪ n z
bassoon	b ə s u n
bassooner	b ə s u n ə ɹ
batcrap	b æ t k ɹ æ p
bayed	b e ɪ d
beads	b i d z
beam	b i m
beanbag	b i n b æ ɡ
beasts	b i s t s
beaten	b i t ə n
beater	b i t ɚ
beath	b i ð
beaujolais	b o ʊ ʒ ə l e ɪ
beaus	b o ʊ z
bedded	b ɛ d ɪ d
beech	b i t͡ʃ
beechmast	b i t͡ʃ m æ s t
beefsteak	b i f s t e ɪ k
beeline	b i l a ɪ n
beeping	b i p ɪ ŋ
beggings	b ɛ ɡ ɪ ŋ z
begnaw	b ɪ n ɔ
