<|IND|>gen	ɡ ɛ n
<|IND|>kapas	k a . p a s
<|IND|>senter	s ɛ n t ə r
<|IND|>juag	d͡ʒ u a k̚
<|IND|>rahayu	r a h a j u
<|IND|>gatal	ɡ a . t a l
<|IND|>pendarahan	p ə n . d a . r a h . a n
<|IND|>akil	a . k ɪ l
<|IND|>sentralistis	s ɛ n t r a l ɪ s t ɪ s
<|IND|>negeri	n ə ɡ ə r i
<|IND|>perjaka	p ə r . d͡ʒ a . k a
<|IND|>lansia	l a n s i a
<|IND|>bersedia	a b o n ə m ɛ n
<|IND|>vetsin	v ɛ t . ʃ i n
<|IND|>keadilan	k ə a d ɪ l a n
<|IND|>abilah	a b i l a h
<|IND|>kempis	k ə m p ɪ s
<|IND|>amo	a m o
<|IND|>malem	m a . l ə m
<|IND|>dansa	d a n . s a
<|IND|>nyiur	ɲ j u r
<|IND|>tahap	t a . h a p
<|IND|>bam	b a m
<|IND|>reanimasi	r e a n i m a s i
<|IND|>voli	v o . l i
<|IND|>mengalir	m ə ŋ . a . l ɪ r
<|IND|>lelang	l ɛ l a ŋ
<|IND|>bodok	b o d ɔ k̚
<|IND|>antigen	a n . t i . ɡ ɛ n
<|IND|>audite	a u̯ . d i . t e
<|IND|>defile	d e f i l e
<|IND|>kuil	k u ɪ l
<|IND|>puri	p u . r i
<|IND|>balur	b a l ʊ r
<|IND|>bangsa	b a ŋ . s a
<|IND|>pulut	p u l ʊ t̚
<|IND|>menganiayai	m ə ŋ a n i a j a i
<|IND|>mama	m a m a
<|IND|>kruk	k r ʊ k
<|IND|>bapak	b a p a ʔ
<|IND|>stasi	s t a s i
<|IND|>lintasan	l ɪ n . t a s . a n
<|IND|>amali	a . m a . l i
<|IND|>pendukung	p ə n d u k ʊ ŋ
<|IND|>siram	s i . r a m
<|IND|>yakin	j a k ɪ n
<|IND|>videografer	v i d e o ɡ r a f ə r
<|IND|>pengguna	p ə ŋ ɡ u n a
<|IND|>kuliah	k u l i a h
<|IND|>telur	t ə l u r
<|IND|>veteriner	v ɛ . t ə . r i . n ɛ r
<|IND|>anghun	a ŋ . h u n
<|IND|>imperialisme	ɪ m p ɛ r i a l ɪ s m ə
<|IND|>L	ɛ l
<|IND|>lateral	l a . t ə . r a l
<|IND|>urita	u r i t a
<|IND|>abir	a b ɪ r
<|IND|>semak	s ə m a ʔ
<|IND|>pemberontakan	p ə m b ə r ɔ n t a k a n
<|IND|>faring	f ä . r i ŋ
<|IND|>obrol	ɔ b r ɔ l
<|IND|>sabi	s a . b i
<|IND|>semir	s ə m i r
<|IND|>kardiolog	k a r . d i . o . l ɔ k
<|IND|>berus	b ə r ʊ s
<|IND|>ortu	o r . t u
<|IND|>engkau	ə ŋ k a u̯
<|IND|>tua	t u . a
<|IND|>makmum	m a ʔ m ʊ m
<|IND|>hakam	h a . k a m
<|IND|>anua	a . n u . a
<|IND|>korporal	k ɔ r . p o . r a l
<|IND|>perjanjian	p ə r . d͡ʒ a n . d͡ʒ i . a n
<|IND|>kuartal	k u a r t a l
<|IND|>penanda	p ə n a n d a
<|IND|>malik	m a . l ɪ ʔ
<|IND|>anyam	a ɲ a m
<|IND|>sutra	s u . t r a
<|IND|>gelora	ɡ ə l o r a
<|IND|>alir	a . l ɪ r
<|IND|>sempoa	s ə m p o a
<|IND|>bak	b a k
<|IND|>jangan	d͡ʒ a ŋ a n
<|IND|>enzim	ɛ n . z ɪ m
<|IND|>wasabi	w a s a b i
<|IND|>kumpulan	k ʊ m p ʊ l a n
<|IND|>selada	s a l a d a
<|IND|>altitudo	a l t i t u d o
<|IND|>nabi	n a b i
<|IND|>alpa	a l . p a
<|IND|>cendana	t͡ʃ ə n . d a . n a
<|IND|>mulai	m u . l a i̯
<|IND|>pasraman	p a s . r a . m a n
<|IND|>perasaan	p ə r a s a a n
<|IND|>Allah	ɑ l l ɑ h
<|IND|>tir	t ɪ r
<|IND|>kau	k a u̯
<|IND|>tebang	t ə . b a ŋ
<|IND|>kaji	k a d͡ʒ i
<|IND|>hedonisme	h e . d o . n i s . m ə
<|IND|>reduksionisme	r e . d ʊ k . s i . o . n ɪ s . m ə
<|IND|>arhir	a r . h ɪ r
<|IND|>ambyur	a m bʲ ʊ r
<|IND|>pulau	p u l a u̯
<|IND|>lomba	l ɔ m b a
<|IND|>kesenjangan	k ə . s ə n . d͡ʒ a ŋ . a n
<|IND|>tempeleng	t ə m . p e . l ɛ ŋ
<|IND|>margarin	m a r ɡ a r ɪ n
<|IND|>selaka	s ə . l a . k a
<|IND|>aliah	a l i a h
<|IND|>adiafora	a d i a f o r a
<|IND|>Naufal	n a u . f a l
<|IND|>prabu	p r a . b u
<|IND|>dakwaan	d a ʔ w a a n
<|IND|>menemukan	m ə n ə m u k a n
<|IND|>ketinggalan	k ə t i ŋ . ɡ a . l a n
<|IND|>ponsel	p o n s ɛ l
<|IND|>wadah	w a . d a h
<|IND|>soba	s o . b a
<|IND|>kartun	k a r t u n
<|IND|>celaan	t͡ʃ ə l a a n
<|IND|>kredo	k r e . d o
<|IND|>berambang	b ə . r a m . b a ŋ
<|IND|>difusi	d i f u s i
<|IND|>ergonomi	e r ɡ o n o m i
<|IND|>anjing	a n d͡ʒ i ŋ
<|IND|>romusa	r o . m u . s a
<|IND|>praktek	p r a k̚ t ɛ k̚
<|IND|>nira	n i . r a
<|IND|>grahita	ɡ r a . h i . t a
<|IND|>maktub	m a k t u b
<|IND|>reputasi	r e p u t a s i
<|IND|>gempita	ɡ ə m . p i . t a
<|IND|>cecer	t͡ʃ e . t͡ʃ ɛ r
<|IND|>sambilan	s a m . b ɪ l . a n
<|IND|>cabul	t͡ʃ a . b ʊ l
<|IND|>usul	u s ʊ l
<|IND|>kenyataan	k ə . ɲ a . t a . a n
<|IND|>Rabu	r a . b u
<|IND|>toto	t o t o
<|IND|>waralaba	w a r a l a b a
