<|GER|>ab	a p
<|GER|>abfertigung	a p f ɛ ʁ t i ɡ ʊ ŋ
<|GER|>abfinden	a p f ɪ n d ə n
<|GER|>abflug	ʔ a p f l uː k
<|GER|>abgang	a p ɡ a ŋ
<|GER|>abkürzung	a p k ʏ ʁ t s ʊ ŋ
<|GER|>abschirmen	a p ʃ ɪ ʁ m ə n
<|GER|>abstand	a p ʃ t a n t
<|GER|>abstrich	a p ʃ t ʁ ɪ ç
<|GER|>abwehrspieler	a p v ɛ ɐ̯ ʃ p iː l ɐ
<|GER|>abzug	a p t͡s uː k
<|GER|>all	a l
<|GER|>allein	a l a ɪ n
<|GER|>allem	a l ə m
<|GER|>allerdings	ʔ a l ɐ d ɪ ŋ s
<|GER|>alte	a l t ə
<|GER|>amt	a m t
<|GER|>an	ʔ a n
<|GER|>anblick	ʔ a n b l ɪ k
<|GER|>andere	ʔ a n d ə ʁ ə
<|GER|>anderer	a n d ə r ə r
<|GER|>anfang	ʔ a n f a ŋ
<|GER|>angesichts	ʔ a n ɡ ə z ɪ ç t s
<|GER|>angespannt	a n ɡ ə ʃ p a n t
<|GER|>angewiesen	a n ɡ ə v iː z n̩
<|GER|>angriff	a n ɡ ʁ ɪ f
<|GER|>ankündigung	a n k ʏ n d ɪ ɡ ʊ ŋ
<|GER|>ansatz	a n z a t s
<|GER|>anschauen	ʔ a n ʃ a ʊ̯ ə n
<|GER|>ansicht	ʔ a n z ɪ ç t
<|GER|>antje	ʔ a n t j ə
<|GER|>antworten	a n t v ɔ ʁ t ə n
<|GER|>anwohner	a n v oː n ɐ
<|GER|>anzahl	a n t s aː l
<|GER|>arbeitsplatz	ʔ a ʁ b a ɪ̯ t s p l a t s
<|GER|>architektur	a ʁ ç i t ɛ k t uː ɐ̯
<|GER|>aschenbrödel	a ʃ n̩ b ʁ øː d l̩
<|GER|>atem	aː t ə m
<|GER|>attacke	a t a k ə
<|GER|>attila	a t i l a
<|GER|>auf	a ʊ̯ f
<|GER|>aufkleber	a ʊ̯ f k l eː b ɐ
<|GER|>aufrechterhalten	a ʊ̯ f ʁ ɛ ç t ʔ ɛ ɐ̯ h a l t n̩
<|GER|>aufruf	a ʊ̯ f ʁ uː f
<|GER|>aufs	a ʊ̯ f s
<|GER|>aufschlag	a ʊ̯ f ʃ l aː k
<|GER|>aus	a ʊ s
<|GER|>ausfallen	a ʊ̯ s f a l ə n
<|GER|>ausführung	ʔ a ʊ̯ s f yː ʁ ʊ ŋ
<|GER|>ausgeben	a ʊ̯ s ɡ eː b ə n
<|GER|>ausgebildet	a ʊ̯ s ɡ ə b ɪ l d ə t
<|GER|>ausgehen	ʔ a ʊ̯ s ɡ eː ə n
<|GER|>ausgeschlossen	a ʊ̯ s ɡ ə ʃ l ɔ s ə n
<|GER|>ausmass	a ʊ̯ s m aː s
<|GER|>ausnahme	a ʊ̯ s n aː m ə
<|GER|>aussage	a ʊ̯ s z aː ɡ ə
