<|DEU|>ab	a p
<|DEU|>abfertigung	a p f ɛ ʁ t i ɡ ʊ ŋ
<|DEU|>abfinden	a p f ɪ n d ə n
<|DEU|>abflug	ʔ a p f l uː k
<|DEU|>abgang	a p ɡ a ŋ
<|DEU|>abkürzung	a p k ʏ ʁ t s ʊ ŋ
<|DEU|>abschirmen	a p ʃ ɪ ʁ m ə n
<|DEU|>abstand	a p ʃ t a n t
<|DEU|>abstrich	a p ʃ t ʁ ɪ ç
<|DEU|>abwehrspieler	a p v ɛ ɐ̯ ʃ p iː l ɐ
<|DEU|>abzug	a p t͡s uː k
<|DEU|>all	a l
<|DEU|>allein	a l a ɪ n
<|DEU|>allem	a l ə m
<|DEU|>allerdings	ʔ a l ɐ d ɪ ŋ s
<|DEU|>alte	a l t ə
<|DEU|>amt	a m t
<|DEU|>an	ʔ a n
<|DEU|>anblick	ʔ a n b l ɪ k
<|DEU|>andere	ʔ a n d ə ʁ ə
<|DEU|>anderer	a n d ə r ə r
<|DEU|>anfang	ʔ a n f a ŋ
<|DEU|>angesichts	ʔ a n ɡ ə z ɪ ç t s
<|DEU|>angespannt	a n ɡ ə ʃ p a n t
<|DEU|>angewiesen	a n ɡ ə v iː z n̩
<|DEU|>angriff	a n ɡ ʁ ɪ f
<|DEU|>ankündigung	a n k ʏ n d ɪ ɡ ʊ ŋ
<|DEU|>ansatz	a n z a t s
<|DEU|>anschauen	ʔ a n ʃ a ʊ̯ ə n
<|DEU|>ansicht	ʔ a n z ɪ ç t
<|DEU|>antje	ʔ a n t j ə
<|DEU|>antworten	a n t v ɔ ʁ t ə n
<|DEU|>anwohner	a n v oː n ɐ
<|DEU|>anzahl	a n t s aː l
<|DEU|>arbeitsplatz	ʔ a ʁ b a ɪ̯ t s p l a t s
<|DEU|>architektur	a ʁ ç i t ɛ k t uː ɐ̯
<|DEU|>aschenbrödel	a ʃ n̩ b ʁ øː d l̩
<|DEU|>atem	aː t ə m
<|DEU|>attacke	a t a k ə
<|DEU|>attila	a t i l a
<|DEU|>auf	a ʊ̯ f
<|DEU|>aufkleber	a ʊ̯ f k l eː b ɐ
<|DEU|>aufrechterhalten	a ʊ̯ f ʁ ɛ ç t ʔ ɛ ɐ̯ h a l t n̩
<|DEU|>aufruf	a ʊ̯ f ʁ uː f
<|DEU|>aufs	a ʊ̯ f s
<|DEU|>aufschlag	a ʊ̯ f ʃ l aː k
<|DEU|>aus	a ʊ s
<|DEU|>ausfallen	a ʊ̯ s f a l ə n
<|DEU|>ausführung	ʔ a ʊ̯ s f yː ʁ ʊ ŋ
<|DEU|>ausgeben	a ʊ̯ s ɡ eː b ə n
<|DEU|>ausgebildet	a ʊ̯ s ɡ ə b ɪ l d ə t
