<|असम|>অংক	ɔ ŋ k ɔ
<|असम|>অংগ	ɔ ŋ ɡ ɔ
<|असम|>অইন	ɔ ɪ n
<|असम|>অকলশৰীয়া	ɔ k ɔ l x ɔ ɹ i a
<|असम|>অকলে	ɔ k ɔ l ɛ
<|असम|>অনুবাদ	ɔ n u b a d
<|असम|>অন্য	ɔ ɪ n n ɔ
<|असम|>অবৈধ	ɔ b ɔ ɪ d ɦ ɔ
<|असम|>অভাৱ	ɔ bʱ a w
<|असम|>অমিয়	ɔ m i ɔ
<|असम|>অলপ	ɔ l ɔ p
<|असम|>অশোক	ɔ x ʊ k
<|असम|>অসম	ɔ x ɔ m
<|असम|>অসমীয়া	ɔ x o m i a
<|असम|>অহা	ɔ ɦ a
<|असम|>আঁক	ã k
<|असम|>আঁকা	ã k a
<|असम|>আঁচ	ã s
<|असम|>আঁচনি	ã s ɔ n i
<|असम|>আঁচোৰ	ã s ʊ ɹ
<|असम|>আঁঠু	ã tʰ u
<|असम|>আঁত	ã t
<|असम|>আই	a ɪ
<|असम|>আইনা	a ɪ n a
<|असम|>আখি	a kʰ i
<|असम|>আগ	a ɡ
<|असम|>আগতীয়াকৈ	a ɡ ɔ t i a k o ɪ
<|असम|>আগতে	a ɡ ɔ t ɛ
<|असम|>আগেয়ে	a ɡ ɛ ɛ
<|असम|>আঘোণ	a ɡʱ ʊ n
<|असम|>আঙঠা	a ŋ ɔ tʰ a
<|असम|>আঙঠি	a ŋ ɔ tʰ i
<|असम|>আঙুলি	a ŋ u l i
<|असम|>আচল	a s ɔ l
<|असम|>আচহুৱা	a s ɔ ɦ u a
<|असम|>আছে	a s ɛ
<|असम|>আজান	a z a n
<|असम|>আঞ্জা	a n z a
<|असम|>আঠ	a tʰ
<|असम|>আঢ়ৈ	a ɹʱ o ɪ
<|असम|>আতৰ	a t ɔ ɹ
<|असम|>আথৰ	a tʰ ɔ ɹ
<|असम|>আদা	a d a
<|असम|>আদালত	a d a l ɔ t
<|असम|>আদৰ	a d ɔ ɹ
<|असम|>আধা	a dʱ a
<|असम|>আধিপত্য	a dʱ i p ɔ ɪ t t ɔ
<|असम|>আন	a n
<|असम|>আনা	a n a
<|असम|>আন্দাজ	a n d a z
<|असम|>আপুনি	a p u n i
<|असम|>আপেল	a p ɛ l
<|असम|>আপোনাৰ	a p ʊ n a ɹ
<|असम|>আফিং	a pʰ i ŋ
<|असम|>আম	a m
<|असम|>আমি	a m i
<|असम|>আম্মা	a m m a
<|असम|>আয়	a j
<|असम|>আলহী	a l ɔ ɦ i
<|असम|>আলু	a l u
<|असम|>আশী	a x i
<|असम|>আহা	a ɦ a
<|असम|>আৰু	a ɹ u
<|असम|>আৰ্হি	a ɹ ɦ i
<|असम|>ইকৰা	i k ɔ ɹ a
<|असम|>ইতিহাস	i t i ɦ a x
<|असम|>ইতৰ	i t ɔ ɹ
<|असम|>ইমান	i m a n
<|असम|>ইয়াত	i a t
<|असम|>ঈশ্বৰ	i s s ɔ ɹ
<|असम|>উঁই	ũ i
<|असम|>উঘাল	u ɡʱ a l
<|असम|>উজনি	u z ɔ n i
<|असम|>উট	u t
<|असम|>উদ	u d
