<|RUS|>явственно	j a f s t vʲ i n a
<|RUS|>гомер	ɡ a mʲ e r
<|RUS|>сплетавший	s p lʲ i t a f ʂ i j
<|RUS|>усыновляйте	u s i n a v lʲ a j tʲ e
<|RUS|>льда	lʲ d a
<|RUS|>прозвучишь	p r a z v u t͡ɕ i ʂ
<|RUS|>сатирах	s a tʲ i r a x
<|RUS|>ремиксов	rʲ i mʲ i k s a f
<|RUS|>залепляю	z a lʲ i p lʲ a j u
<|RUS|>абсорбированиями	a p s a r bʲ i r a v a nʲ i j a mʲ i
<|RUS|>плавкою	p ɫ a f k a j u
<|RUS|>зашумит	z a ʂ u mʲ i t
<|RUS|>мужененавистничествам	m u ʐ i nʲ i n a vʲ i sʲ nʲ i t͡ɕ i s t v a m
<|RUS|>золотистым	z a ɫ a tʲ i s t i m
<|RUS|>катерочках	k a tʲ i r o t͡ɕ k a x
<|RUS|>смеялось	s mʲ i j a ɫ a sʲ
<|RUS|>замыслу	z a m i s ɫ u
<|RUS|>семиугольника	sʲ i mʲ i u ɡ o lʲ nʲ i k a
<|RUS|>присягнувши	p rʲ i sʲ i ɡ n u f ʂ i
<|RUS|>поносят	p a n o sʲ a t
<|RUS|>изучитесь	i z u t͡ɕ i tʲ i sʲ
<|RUS|>помойкою	p a m o j k a j u
<|RUS|>англицизациею	a n ɡ lʲ i t͡s i z a t͡s i j i j u
<|RUS|>прыщавый	p r i ɕː a v i j
<|RUS|>усопла	u s o p ɫ a
<|RUS|>полетать	p a lʲ i t a tʲ
<|RUS|>укутывающий	u k u t i v a j u ɕː i j
<|RUS|>муруй	m u r u j
<|RUS|>суммируешь	s u mʲ i r u j i ʂ
<|RUS|>секта	sʲ e k t a
<|RUS|>заклейте	z a k lʲ e j tʲ e
<|RUS|>амилазой	a mʲ i ɫ a z a j
<|RUS|>посодействовать	p a s a dʲ e j s t v a v a tʲ
<|RUS|>опьянивший	a p ⁽ʲ ⁾ j i nʲ i f ʂ i j
<|RUS|>заговаривайтесь	z a ɡ a v a rʲ i v a j tʲ i sʲ
<|RUS|>ужесточения	u ʐ i s t a t͡ɕ e nʲ i j a
<|RUS|>расправах	r a s p r a v a x
<|RUS|>летный	lʲ e t n i j
<|RUS|>дубу	d u b u
<|RUS|>загадит	z a ɡ a dʲ i t
<|RUS|>пропитайтесь	p r a pʲ i t a j tʲ i sʲ
<|RUS|>отсчётах	a t͡ɕ ɕː o t a x
<|RUS|>десницу	dʲ i sʲ nʲ i t͡s u
<|RUS|>обуевала	a b u j i v a ɫ a
<|RUS|>вертлуг	vʲ i r t ɫ u k
<|RUS|>навевавший	n a vʲ i v a f ʂ i j
<|RUS|>полиграфиях	p a lʲ i ɡ r a fʲ i j a x
<|RUS|>западаешь	z a p a d a j i ʂ
<|RUS|>дозрею	d a z rʲ e j u
<|RUS|>взыскиваете	v z i s kʲ i v a j i tʲ e
<|RUS|>изъянами	i z j a n a mʲ i
<|RUS|>метафизику	mʲ i t a fʲ i zʲ i k u
