<|РУС|>явственно	j a f s t vʲ i n a
<|РУС|>гомер	ɡ a mʲ e r
<|РУС|>сплетавший	s p lʲ i t a f ʂ i j
<|РУС|>усыновляйте	u s i n a v lʲ a j tʲ e
<|РУС|>льда	lʲ d a
<|РУС|>прозвучишь	p r a z v u t͡ɕ i ʂ
<|РУС|>сатирах	s a tʲ i r a x
<|РУС|>ремиксов	rʲ i mʲ i k s a f
<|РУС|>залепляю	z a lʲ i p lʲ a j u
<|РУС|>абсорбированиями	a p s a r bʲ i r a v a nʲ i j a mʲ i
<|РУС|>плавкою	p ɫ a f k a j u
<|РУС|>зашумит	z a ʂ u mʲ i t
<|РУС|>мужененавистничествам	m u ʐ i nʲ i n a vʲ i sʲ nʲ i t͡ɕ i s t v a m
<|РУС|>золотистым	z a ɫ a tʲ i s t i m
<|РУС|>катерочках	k a tʲ i r o t͡ɕ k a x
<|РУС|>смеялось	s mʲ i j a ɫ a sʲ
<|РУС|>замыслу	z a m i s ɫ u
<|РУС|>семиугольника	sʲ i mʲ i u ɡ o lʲ nʲ i k a
<|РУС|>присягнувши	p rʲ i sʲ i ɡ n u f ʂ i
<|РУС|>поносят	p a n o sʲ a t
<|РУС|>изучитесь	i z u t͡ɕ i tʲ i sʲ
<|РУС|>помойкою	p a m o j k a j u
<|РУС|>англицизациею	a n ɡ lʲ i t͡s i z a t͡s i j i j u
<|РУС|>прыщавый	p r i ɕː a v i j
<|РУС|>усопла	u s o p ɫ a
<|РУС|>полетать	p a lʲ i t a tʲ
<|РУС|>укутывающий	u k u t i v a j u ɕː i j
<|РУС|>муруй	m u r u j
<|РУС|>суммируешь	s u mʲ i r u j i ʂ
<|РУС|>секта	sʲ e k t a
<|РУС|>заклейте	z a k lʲ e j tʲ e
<|РУС|>амилазой	a mʲ i ɫ a z a j
<|РУС|>посодействовать	p a s a dʲ e j s t v a v a tʲ
<|РУС|>опьянивший	a p ⁽ʲ ⁾ j i nʲ i f ʂ i j
<|РУС|>заговаривайтесь	z a ɡ a v a rʲ i v a j tʲ i sʲ
<|РУС|>ужесточения	u ʐ i s t a t͡ɕ e nʲ i j a
<|РУС|>расправах	r a s p r a v a x
<|РУС|>летный	lʲ e t n i j
<|РУС|>дубу	d u b u
<|РУС|>загадит	z a ɡ a dʲ i t
<|РУС|>пропитайтесь	p r a pʲ i t a j tʲ i sʲ
<|РУС|>отсчётах	a t͡ɕ ɕː o t a x
<|РУС|>десницу	dʲ i sʲ nʲ i t͡s u
