<|rus|>явственно	j a f s t vʲ i n a
<|rus|>гомер	ɡ a mʲ e r
<|rus|>сплетавший	s p lʲ i t a f ʂ i j
<|rus|>усыновляйте	u s i n a v lʲ a j tʲ e
<|rus|>льда	lʲ d a
<|rus|>прозвучишь	p r a z v u t͡ɕ i ʂ
<|rus|>сатирах	s a tʲ i r a x
<|rus|>ремиксов	rʲ i mʲ i k s a f
<|rus|>залепляю	z a lʲ i p lʲ a j u
<|rus|>абсорбированиями	a p s a r bʲ i r a v a nʲ i j a mʲ i
<|rus|>плавкою	p ɫ a f k a j u
<|rus|>зашумит	z a ʂ u mʲ i t
<|rus|>мужененавистничествам	m u ʐ i nʲ i n a vʲ i sʲ nʲ i t͡ɕ i s t v a m
<|rus|>золотистым	z a ɫ a tʲ i s t i m
<|rus|>катерочках	k a tʲ i r o t͡ɕ k a x
<|rus|>смеялось	s mʲ i j a ɫ a sʲ
<|rus|>замыслу	z a m i s ɫ u
<|rus|>семиугольника	sʲ i mʲ i u ɡ o lʲ nʲ i k a
<|rus|>присягнувши	p rʲ i sʲ i ɡ n u f ʂ i
<|rus|>поносят	p a n o sʲ a t
<|rus|>изучитесь	i z u t͡ɕ i tʲ i sʲ
<|rus|>помойкою	p a m o j k a j u
<|rus|>англицизациею	a n ɡ lʲ i t͡s i z a t͡s i j i j u
<|rus|>прыщавый	p r i ɕː a v i j
<|rus|>усопла	u s o p ɫ a
<|rus|>полетать	p a lʲ i t a tʲ
<|rus|>укутывающий	u k u t i v a j u ɕː i j
<|rus|>муруй	m u r u j
<|rus|>суммируешь	s u mʲ i r u j i ʂ
<|rus|>секта	sʲ e k t a
<|rus|>заклейте	z a k lʲ e j tʲ e
<|rus|>амилазой	a mʲ i ɫ a z a j
<|rus|>посодействовать	p a s a dʲ e j s t v a v a tʲ
<|rus|>опьянивший	a p ⁽ʲ ⁾ j i nʲ i f ʂ i j
<|rus|>заговаривайтесь	z a ɡ a v a rʲ i v a j tʲ i sʲ
<|rus|>ужесточения	u ʐ i s t a t͡ɕ e nʲ i j a
<|rus|>расправах	r a s p r a v a x
<|rus|>летный	lʲ e t n i j
<|rus|>дубу	d u b u
<|rus|>загадит	z a ɡ a dʲ i t
<|rus|>пропитайтесь	p r a pʲ i t a j tʲ i sʲ
<|rus|>отсчётах	a t͡ɕ ɕː o t a x
<|rus|>десницу	dʲ i sʲ nʲ i t͡s u
<|rus|>обуевала	a b u j i v a ɫ a
<|rus|>вертлуг	vʲ i r t ɫ u k
<|rus|>навевавший	n a vʲ i v a f ʂ i j
<|rus|>полиграфиях	p a lʲ i ɡ r a fʲ i j a x
<|rus|>западаешь	z a p a d a j i ʂ
<|rus|>дозрею	d a z rʲ e j u
<|rus|>взыскиваете	v z i s kʲ i v a j i tʲ e
<|rus|>изъянами	i z j a n a mʲ i
<|rus|>метафизику	mʲ i t a fʲ i zʲ i k u
<|rus|>веселеешь	vʲ i sʲ i lʲ e j i ʂ
<|rus|>технократию	tʲ i x n a k r a tʲ i j u
