<|BUL|>holandski	x o ɫ a n t s kʲ i
<|BUL|>bratash	b r ɐ t a ʃ
<|BUL|>ovlastitelen	o v ɫ ɐ s t i t ɛ lʲ ɛ n
<|BUL|>salamandăr	s ɐ ɫ ɐ m a n d ɐ r
<|BUL|>legla	lʲ ɛ ɡ ɫ a
<|BUL|>lakăt	ɫ a k ɐ t
<|BUL|>lipa	lʲ i p a
<|BUL|>săzra	s ɐ z r ɤ
<|BUL|>săstoyanie	s ɐ s t o j a n i ɛ
<|BUL|>vikam	v i k ɐ m
<|BUL|>hidroelektrichen	xʲ i d r o ɛ lʲ ɛ k t r i t͡ʃ ɛ n
<|BUL|>diona	d i ɔ n ɐ
<|BUL|>săbudya	s ɐ b u dʲ ɐ
<|BUL|>homoseksualistka	x ɔ m o s ɛ k s u ɐ lʲ i s k ɐ
<|BUL|>moreletnik	m o r ɛ lʲ ɛ t n i k
<|BUL|>panpsihizăm	p ɐ n p s i xʲ i z ɐ m
<|BUL|>abanos	ɐ b ɐ n ɔ s
<|BUL|>koi	k o i
<|BUL|>ulitsa	u lʲ i t͡s ɐ
<|BUL|>vashta	v a ʃ t ɐ
<|BUL|>turkmenistan	t u r k m ɛ n i s t a n
<|BUL|>kăzhlitsa	k ɐ ʒ lʲ i t͡s ɐ
<|BUL|>bida	b i d ɐ
<|BUL|>materiya	m ɐ t ɛ r i j ɐ
<|BUL|>uzakonyavaha	u z ɐ k o nʲ a v ɐ x ɐ
<|BUL|>zryan	z rʲ a n
<|BUL|>lavka	ɫ a f k ɐ
<|BUL|>andora	ɐ n d ɔ r ɐ
<|BUL|>strămnina	s t r ɐ m n i n a
<|BUL|>rabotilnitsa	r ɐ b o t i ɫ n i t͡s ɐ
<|BUL|>săobshtavam	s ɐ o p ʃ t a v ɐ m
<|BUL|>vărhu	v ɐ r x u
<|BUL|>săvetvam	s ɐ v ɛ t v ɐ m
<|BUL|>draka	d r a k ɐ
<|BUL|>tseziy	t͡s ɛ z i
<|BUL|>nachalo	n ɐ t͡ʃ a ɫ o
<|BUL|>proteka	p r o t ɛ k ɤ
<|BUL|>parizh	p ɐ r i ʃ
<|BUL|>primiram	p r i m i r ɐ m
<|BUL|>galba	ɡ ɐ ɫ b a
<|BUL|>shtiritsa	ʃ t i r i t͡s ɐ
<|BUL|>văstanie	v ɐ s t a n i ɛ
<|BUL|>hudozhnik	x u d ɔ ʒ n i k
<|BUL|>doverchiv	d o v ɛ r t͡ʃ i f
<|BUL|>cheshma	t͡ʃ ɛ ʃ m a
<|BUL|>uspeh	u s p ɛ x
<|BUL|>kateritsa	k a t ɛ r i t͡s ɐ
<|BUL|>trepetlika	t r ɛ p ɛ t lʲ i k ɐ
<|BUL|>vidra	v i d r ɐ
<|BUL|>vrabche	v r ɐ p t͡ʃ ɛ
<|BUL|>svetlosyanka	s v ɛ t ɫ o sʲ a n k ɐ
<|BUL|>shtastie	ʃ t a s t i ɛ
<|BUL|>zhivot	ʒ i v ɔ t
<|BUL|>prostitutka	p r o s t i t u t k ɐ
<|BUL|>krehăk	k r ɛ x ɐ k
<|BUL|>sivkav	s i f k ɐ f
<|BUL|>model	m o d ɛ ɫ
<|BUL|>lipăk	lʲ i p ɐ k
<|BUL|>sluchaen	s ɫ u t͡ʃ ɐ ɛ n
<|BUL|>aromaten	ɐ r o m a t ɛ n
<|BUL|>mărzel	m ɤ r z ɛ ɫ
<|BUL|>koe	k o ɛ
<|BUL|>platya	p ɫ ɐ tʲ ɤ
<|BUL|>tserber	t͡s ɛ r b ɛ r
<|BUL|>pechalen	p ɛ t͡ʃ a lʲ ɛ n
<|BUL|>braniya	b r a n i j ɐ
<|BUL|>părvi	p ɤ r v i
<|BUL|>zarist	z ɐ r i s t
<|BUL|>albaniya	ɐ ɫ b a n i j ɐ
<|BUL|>vărsha	v ɐ r ʃ a
<|BUL|>zanimaya	z ɐ n i m a j ɐ
<|BUL|>abdikiraliya	ɐ b d i kʲ i r ɐ lʲ i j ɐ
<|BUL|>ama	a m ɐ
