<|HBS|>abnormalnost	a b n o r m ǎː l n oː s t
<|HBS|>administracija	a d m i n i s t r ǎː t͡s i j a
<|HBS|>advokat	a d ʋ ǒ k aː t
<|HBS|>aerobik	a e r ǒ b i k
<|HBS|>akcija	ǎ k t͡s i j a
<|HBS|>aktivnost	a k t ǐː ʋ n oː s t
<|HBS|>alat	ǎ l aː t
<|HBS|>alternativan	â l t e r n a t iː ʋ a n
<|HBS|>anka	âː n k a
<|HBS|>anđeo	âː n d͡ʑ e o
<|HBS|>aplicirati	a p l i t͡s ǐː r a t i
<|HBS|>apostol	ǎ p o s t o l
<|HBS|>aranžman	a r ǎ n ʒ m aː n
<|HBS|>arogancija	a r o ɡ ǎ n t͡s i j a
<|HBS|>arogantan	a r o ɡ ǎ n t a n
<|HBS|>artiljerija	a r t i ʎ ě r i j a
<|HBS|>asirski	ǎ s iː r s k iː
<|HBS|>atletičarka	a t l ě t i t͡ʃ aː r k a
<|HBS|>atribut	a t r ǐ b uː t
<|HBS|>aukcija	a ǔ k t͡s i j a
<|HBS|>autocesta	a u t o t͡s ě s t a
<|HBS|>autoritet	a u t o r ǐ t eː t
<|HBS|>bacač	b ǎ t͡s aː t͡ʃ
<|HBS|>bajka	b âː j k a
<|HBS|>barijera	b a r i j ěː r a
<|HBS|>barjak	b ǎ r j aː k
<|HBS|>bend	b ê n d
<|HBS|>beskonačnost	b ê s k o n a t͡ʃ n oː s t
<|HBS|>beskoristan	b ê s k o r iː s t a n
<|HBS|>beton	b ě t oː n
<|HBS|>bevanda	b ě ʋ aː n d a
<|HBS|>bezbrižnost	b ě z b r i ʒ n oː s t
<|HBS|>bezgrešan	b ě z ɡ r e ʃ a n
<|HBS|>bezosjećajno	b ê z o s j e t͡ɕ aː j n o
<|HBS|>bezuspješan	b e z ǔ s p j e ʃ a n
<|HBS|>bešćutnost	b ě ʃ t͡ɕ u t n oː s t
<|HBS|>biciklizam	b i t͡s i k l ǐ z a m
<|HBS|>bilježnik	b ǐ ʎ e ʒ n iː k
