<|ARM|>աբորտ	ɑ b ɔ ɾ t
<|ARM|>աբրամ	ɑ b ɾ ɑ m
<|ARM|>ագնոստիկ	ɑ ɡ n ɔ s t i k
<|ARM|>ագուցել	ɑ ɡ u t͡sʰ ɛ l
<|ARM|>ադրբեջանցի	ɑ d ə ɾ b ɛ d͡ʒ ɑ n t͡sʰ i
<|ARM|>ազդվել	ɑ z d v ɛ l
<|ARM|>ալանի	ɑ l ɑ n i
<|ARM|>ալբոմ	ɑ l b ɔ m
<|ARM|>ալեմաներեն	ɑ l ɛ m ɑ n ɛ ɾ ɛ n
<|ARM|>ալյուր	ɑ l j u ɾ
<|ARM|>ալուցք	ɑ l u t͡sʰ kʰ
<|ARM|>ախտ	ɑ χ t
<|ARM|>ակադեմիա	ɑ k ɑ d ɛ m j ɑ
<|ARM|>ակնախնձոր	ɑ k n ɑ χ ə n d͡z ɔ ɾ
<|ARM|>ակնածալից	ɑ k n ɑ t͡s ɑ l i t͡sʰ
<|ARM|>ակնաղբյուր	ɑ k n ɑ χ p j u ɾ
<|ARM|>ակնթարթ	ɑ k ə n tʰ ɑ ɾ tʰ
<|ARM|>ահ	ɑ h
<|ARM|>աղբ	ɑ χ p
<|ARM|>աղեղ	ɑ ʁ ɛ ʁ
<|ARM|>աղիողորմ	ɑ ʁ i ɔ ʁ ɔ ɾ m
<|ARM|>աղունիկ	ɑ ʁ u n i k
<|ARM|>աղջամուղջ	ɑ ʁ d͡ʒ ɑ m u ʁ d͡ʒ
<|ARM|>ամենալավ	ɑ m ɛ n ɑ l ɑ v
<|ARM|>ամերիկացի	ɑ m ɛ ɾ i k ɑ t͡sʰ i
<|ARM|>ամնիստիա	ɑ m n i s t j ɑ
<|ARM|>այծենի	ɑ j t͡s ɛ n i
<|ARM|>այնուհետեւ	ɑ j n u h ɛ t ɛ v
<|ARM|>այնտեղ	ɑ j n t ɛ ʁ
<|ARM|>անալի	ɑ n ɑ l i
<|ARM|>անակ	ɑ n ɑ k
<|ARM|>անատոլիա	ɑ n ɑ t ɔ l j ɑ
<|ARM|>անատոլիական	ɑ n ɑ t ɔ l j ɑ k ɑ n
<|ARM|>անարատ	ɑ n ɑ ɾ ɑ t
<|ARM|>անգնահատելի	ɑ ŋ ɡ ə n ɑ h ɑ t ɛ l i
<|ARM|>անդեր	ɑ n d ɛ ɾ
<|ARM|>անդրկովկասյան	ɑ n d ə ɾ k ɔ f k ɑ s j ɑ n
<|ARM|>աներձագ	ɑ n ɛ ɾ d͡z ɑ kʰ
<|ARM|>անիրավ	ɑ n i ɾ ɑ v
<|ARM|>անկարելի	ɑ ŋ k ɑ ɾ ɛ l i
<|ARM|>անհամեստություն	ɑ n h ɑ m ɛ s t u tʰ j u n
<|ARM|>անհավանական	ɑ n h ɑ v ɑ n ɑ k ɑ n
<|ARM|>անհեթեթություն	ɑ n h ɛ tʰ ɛ tʰ u tʰ j u n
<|ARM|>անմահություն	ɑ n m ɑ h u tʰ j u n
<|ARM|>անսպառ	ɑ n s p ɑ r
<|ARM|>անտոնի	ɑ n t ɔ n i
<|ARM|>աշխեն	ɑ ʃ χ ɛ n
<|ARM|>ապահովել	ɑ p ɑ h ɔ v ɛ l
<|ARM|>ապուշ	ɑ p u ʃ
<|ARM|>ապստամբել	ɑ p ə s t ɑ m b ɛ l
<|ARM|>ապօրինի	ɑ p ɔ ɾ i n i
<|ARM|>առանձին	ɑ r ɑ n d͡z i n
<|ARM|>առաջադիմական	ɑ r ɑ t͡ʃʰ ɑ d i m ɑ k ɑ n
<|ARM|>առաջացում	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ u m
<|ARM|>առաջնորդել	ɑ r ɑ t͡ʃʰ n ɔ ɾ tʰ ɛ l
<|ARM|>առավելագույն	ɑ r ɑ v ɛ l ɑ ɡ u j n
<|ARM|>առաքելյան	ɑ r ɑ kʰ ɛ l j ɑ n
<|ARM|>առերես	ɑ r ɛ ɾ ɛ s
<|ARM|>առեւանգում	ɑ r ɛ v ɑ ŋ ɡ u m
<|ARM|>առկայծում	ɑ r k ɑ j t͡s u m
<|ARM|>առհավատչյա	ɑ r h ɑ v ɑ t t͡ʃʰ j ɑ
<|ARM|>առողջարան	ɑ r ɔ χ t͡ʃʰ ɑ ɾ ɑ n
<|ARM|>ասացվածք	ɑ s ɑ t͡sʰ v ɑ t͡s kʰ
<|ARM|>ասել	ɑ s ɛ l
<|ARM|>ասեղ	ɑ s ɛ ʁ
<|ARM|>ասկետիզմ	ɑ s k ɛ t i z m
<|ARM|>ասոցացնել	ɑ s ɔ t͡sʰ ɑ t͡sʰ n ɛ l
<|ARM|>աստվածաբանական	ɑ s t v ɑ t͡s ɑ b ɑ n ɑ k ɑ n
<|ARM|>աստվածաշունչ	ɑ s t v ɑ t͡s ɑ ʃ u n t͡ʃʰ
<|ARM|>ասք	ɑ s kʰ
<|ARM|>ավան	ɑ v ɑ n
<|ARM|>ավանդական	ɑ v ɑ n d ɑ k ɑ n
<|ARM|>ավարտել	ɑ v ɑ ɾ t ɛ l
<|ARM|>ավել	ɑ v ɛ l
<|ARM|>ատամնային	ɑ t ɑ m n ɑ j i n
<|ARM|>արագիլ	ɑ ɾ ɑ ɡ i l
<|ARM|>արգելել	ɑ ɾ kʰ ɛ l ɛ l
<|ARM|>արգիշտի	ɑ ɾ ɡ i ʃ t i
<|ARM|>արդարադատություն	ɑ ɾ tʰ ɑ ɾ ɑ d ɑ t u tʰ j u n
<|ARM|>արդյունաբերություն	ɑ ɾ tʰ j u n ɑ b ɛ ɾ u tʰ j u n
<|ARM|>արիստակես	ɑ ɾ i s t ɑ k ɛ s
<|ARM|>արծրուն	ɑ ɾ t͡s ɾ u n
<|ARM|>արկղ	ɑ ɾ k ə ʁ
<|ARM|>արձագանք	ɑ ɾ d͡z ɑ ɡ ɑ ŋ kʰ
<|ARM|>արմավ	ɑ ɾ m ɑ v
<|ARM|>արշիպելագ	ɑ ɾ ʃ i p ɛ l ɑ ɡ
<|ARM|>արու	ɑ ɾ u
<|ARM|>արույր	ɑ ɾ u j ɾ
<|ARM|>արսեն	ɑ ɾ s ɛ n
<|ARM|>արվեստագետ	ɑ ɾ v ɛ s t ɑ ɡ ɛ t
<|ARM|>արտահանում	ɑ ɾ t ɑ h ɑ n u m
<|ARM|>արտորայք	ɑ ɾ t ɔ ɾ ɑ j kʰ
<|ARM|>արցախ	ɑ ɾ t͡sʰ ɑ χ
<|ARM|>ափ	ɑ pʰ
<|ARM|>ափի	ɑ pʰ i
<|ARM|>աքսորել	ɑ kʰ s ɔ ɾ ɛ l
<|ARM|>բաբայան	b ɑ b ɑ j ɑ n
<|ARM|>բազմամարդ	b ɑ z m ɑ m ɑ ɾ tʰ
<|ARM|>բազմանալ	b ɑ z m ɑ n ɑ l
<|ARM|>բաժակ	b ɑ ʒ ɑ k
<|ARM|>բալ	b ɑ l
<|ARM|>բալալայկա	b ɑ l ɑ l ɑ j k ɑ
<|ARM|>բախում	b ɑ χ u m
<|ARM|>բահ	b ɑ h
<|ARM|>բաղադրիչ	b ɑ ʁ ɑ d ɾ i t͡ʃʰ
<|ARM|>բամբասանք	b ɑ m b ɑ s ɑ ŋ kʰ
<|ARM|>բայդեն	b ɑ j d ɛ n
<|ARM|>բանաստեղծուհի	b ɑ n ɑ s t ɛ χ t͡s u h i
<|ARM|>բանջար	b ɑ n d͡ʒ ɑ ɾ
<|ARM|>բարբառային	b ɑ ɾ b ɑ r ɑ j i n
<|ARM|>բարեկամություն	b ɑ ɾ ɛ k ɑ m u tʰ j u n
<|ARM|>բարձր	b ɑ ɾ t͡sʰ ə ɾ
<|ARM|>բարձրացնել	b ɑ ɾ t͡sʰ ɾ ɑ t͡sʰ n ɛ l
<|ARM|>բարձրություն	b ɑ ɾ t͡sʰ ɾ u tʰ j u n
<|ARM|>բարսեղ	b ɑ ɾ s ɛ ʁ
<|ARM|>բացորոշակի	b ɑ t͡sʰ ɔ ɾ ɔ ʃ ɑ k i
<|ARM|>բացում	b ɑ t͡sʰ u m
<|ARM|>բեթղեհեմ	b ɛ tʰ χ ɛ h ɛ m
<|ARM|>բելիսարիոս	b ɛ l i s ɑ ɾ i ɔ s
<|ARM|>բեռն	b ɛ r n
<|ARM|>բերման	b ɛ ɾ m ɑ n
<|ARM|>բիզնեսմեն	b i z n ɛ s m ɛ n
<|ARM|>բիլակ	b i l ɑ k
<|ARM|>բիֆշտեքս	b i f ʃ t ɛ kʰ s
<|ARM|>բնորոշ	b ə n ɔ ɾ ɔ ʃ
<|ARM|>բողոքարկում	b ɔ ʁ ɔ kʰ ɑ ɾ k u m
<|ARM|>բոյաջյան	b ɔ j ɑ d͡ʒ j ɑ n
<|ARM|>բու	b u
<|ARM|>բութ	b u tʰ
<|ARM|>բույլ	b u j l
<|ARM|>բուսակերություն	b u s ɑ k ɛ ɾ u tʰ j u n
<|ARM|>բռնազավթում	b ə r n ɑ z ɑ f tʰ u m
<|ARM|>բռնություն	b ə r n u tʰ j u n
<|ARM|>բրյուսել	b ɾ j u s ɛ l
<|ARM|>բրոնզ	b ə ɾ ɔ n z
<|ARM|>գազանանոց	ɡ ɑ z ɑ n ɑ n ɔ t͡sʰ
<|ARM|>գաղափար	ɡ ɑ ʁ ɑ pʰ ɑ ɾ
<|ARM|>գամիրք	ɡ ɑ m i ɾ kʰ
<|ARM|>գաջ	ɡ ɑ d͡ʒ
<|ARM|>գավիթ	ɡ ɑ v i tʰ
<|ARM|>գավոտ	ɡ ɑ v ɔ t
<|ARM|>գարնանային	ɡ ɑ ɾ n ɑ n ɑ j i n
