явственно	j a f s t vʲ i n a
гомер	ɡ a mʲ e r
сплетавший	s p lʲ i t a f ʂ i j
усыновляйте	u s i n a v lʲ a j tʲ e
льда	lʲ d a
прозвучишь	p r a z v u t͡ɕ i ʂ
сатирах	s a tʲ i r a x
ремиксов	rʲ i mʲ i k s a f
залепляю	z a lʲ i p lʲ a j u
абсорбированиями	a p s a r bʲ i r a v a nʲ i j a mʲ i
плавкою	p ɫ a f k a j u
зашумит	z a ʂ u mʲ i t
мужененавистничествам	m u ʐ i nʲ i n a vʲ i sʲ nʲ i t͡ɕ i s t v a m
золотистым	z a ɫ a tʲ i s t i m
катерочках	k a tʲ i r o t͡ɕ k a x
смеялось	s mʲ i j a ɫ a sʲ
замыслу	z a m i s ɫ u
семиугольника	sʲ i mʲ i u ɡ o lʲ nʲ i k a
присягнувши	p rʲ i sʲ i ɡ n u f ʂ i
поносят	p a n o sʲ a t
изучитесь	i z u t͡ɕ i tʲ i sʲ
помойкою	p a m o j k a j u
англицизациею	a n ɡ lʲ i t͡s i z a t͡s i j i j u
прыщавый	p r i ɕː a v i j
усопла	u s o p ɫ a
полетать	p a lʲ i t a tʲ
укутывающий	u k u t i v a j u ɕː i j
муруй	m u r u j
суммируешь	s u mʲ i r u j i ʂ
секта	sʲ e k t a
заклейте	z a k lʲ e j tʲ e
амилазой	a mʲ i ɫ a z a j
посодействовать	p a s a dʲ e j s t v a v a tʲ
опьянивший	a p ⁽ʲ ⁾ j i nʲ i f ʂ i j
заговаривайтесь	z a ɡ a v a rʲ i v a j tʲ i sʲ
ужесточения	u ʐ i s t a t͡ɕ e nʲ i j a
расправах	r a s p r a v a x
летный	lʲ e t n i j
дубу	d u b u
загадит	z a ɡ a dʲ i t
пропитайтесь	p r a pʲ i t a j tʲ i sʲ
отсчётах	a t͡ɕ ɕː o t a x
десницу	dʲ i sʲ nʲ i t͡s u
обуевала	a b u j i v a ɫ a
вертлуг	vʲ i r t ɫ u k
навевавший	n a vʲ i v a f ʂ i j
полиграфиях	p a lʲ i ɡ r a fʲ i j a x
западаешь	z a p a d a j i ʂ
дозрею	d a z rʲ e j u
взыскиваете	v z i s kʲ i v a j i tʲ e
изъянами	i z j a n a mʲ i
метафизику	mʲ i t a fʲ i zʲ i k u
веселеешь	vʲ i sʲ i lʲ e j i ʂ
технократию	tʲ i x n a k r a tʲ i j u
пригородом	p rʲ i ɡ a r a d a m
пионеров	pʲ i a nʲ e r a f
поручительством	p a r u t͡ɕ i tʲ i lʲ s t v a m
гостьях	ɡ o sʲ tʲ j a x
подтягиваюсь	p a tʲː a ɡʲ i v a j u sʲ
присчитывай	p rʲ i ɕː i t i v a j
оттаяло	a t a j i ɫ a
опушалась	a p u ʂ a ɫ a sʲ
поклонничество	p a k ɫ o nʲ i t͡ɕ i s t v a
