<|FAS|>dljl	d a l i l
<|FAS|>ɡlv	ɡ a l oː
<|FAS|>dɡrd͡ʒns‌ɡrɒ	d e ɡ a ɾ d͡ʒ e n s ɡ a ɾ ɑː
<|FAS|>mrnd	m a ɾ a n d
<|FAS|>hmɒm	h a m m ɑː m
<|FAS|>ktɒb	k e t ɑː b
<|FAS|>ɒʔzɒ	a ʔ z ɑː
<|FAS|>پjt͡ʃjdn	p e t͡ʃ i d a
<|FAS|>brɒdr	b a ɾ ɑː d a ɾ
<|FAS|>rftɒr	ɾ a f t ɑː ɾ
<|FAS|>ʃvr	ʃ oː ɾ
<|FAS|>bvj	b oː j
<|FAS|>t͡ʃtvr	t͡ʃ e t o v ɾ
<|FAS|>bnjɒdɡrɒ	b o n j ɑː d ɡ a ɾ ɑː
<|FAS|>rɒʔj	ɾ a ʔ j
<|FAS|>ɣɒft	ɢ ɑː f e t
<|FAS|>hʃt	h a ʃ t
<|FAS|>پɒkstɒnj	p ɑː k i s t ɑː n iː
<|FAS|>zhn	z e h n
<|FAS|>bhʃt	b e h e ʃ t
<|FAS|>rbɒʔj	ɾ o b ɑː ʔ iː
<|FAS|>fhrst	f e h ɾ e s t
<|FAS|>drɒjjdn	d a ɾ ɑː j iː d a n
<|FAS|>ks	k a s
<|FAS|>bxtr	b e x t a ɾ
<|FAS|>ʃʔb	ʃ o ʔ a b
<|FAS|>ɒhŋ	ɑː h a n ɡ
<|FAS|>t͡ʃɒʃnj	t ʃ ɑː ʃ n iː
<|FAS|>bz	b o z
<|FAS|>svrtj	s uː ɾ a t iː
<|FAS|>hj	h e j
<|FAS|>sljmɒn	s o l e j m ɑː n
<|FAS|>ɒd͡ʒɒzh	e d͡ʒ ɑː z e
<|FAS|>پvʃjdn	p oː ʃ iː d a n
<|FAS|>ɣsmt	ɢ i s m a t
<|FAS|>پxtn	p o x t a n
<|FAS|>brxvrdɒr	b a ɾ x o ɾ d ɑː ɾ
<|FAS|>bɒmdɒd	b ɑː m d ɑː n
<|FAS|>khkʃɒn‌hɒ	k a h k a ʃ ɑː n h ɑː
<|FAS|>dt͡ʃɒr	d o t͡ʃ ɑː ɾ
<|FAS|>srvdn	s o ɾ uː d a n
<|FAS|>ʒɒmbvn	ʒ ɑː m b o n
<|FAS|>پtk	p o t k
<|FAS|>ɒjndh	ɑː j a n d a
