<|FAS|>dlil	d a l i l
<|FAS|>glw	ɡ a l oː
<|FAS|>dgrjnsgra	d e ɡ a ɾ d͡ʒ e n s ɡ a ɾ ɑː
<|FAS|>mrnd	m a ɾ a n d
<|FAS|>hmam	h a m m ɑː m
<|FAS|>ktab	k e t ɑː b
<|FAS|>a'da	a ʔ z ɑː
<|FAS|>pitchidn	p e t͡ʃ i d a
<|FAS|>bradr	b a ɾ ɑː d a ɾ
<|FAS|>rftar	ɾ a f t ɑː ɾ
<|FAS|>shwr	ʃ oː ɾ
<|FAS|>bwi	b oː j
<|FAS|>tchtwr	t͡ʃ e t o v ɾ
<|FAS|>bniadgra	b o n j ɑː d ɡ a ɾ ɑː
<|FAS|>rai	ɾ a ʔ j
<|FAS|>ghaft	ɢ ɑː f e t
<|FAS|>hsht	h a ʃ t
<|FAS|>pakstani	p ɑː k i s t ɑː n iː
<|FAS|>thhn	z e h n
<|FAS|>bhsht	b e h e ʃ t
<|FAS|>rba'i	ɾ o b ɑː ʔ iː
<|FAS|>fhrst	f e h ɾ e s t
<|FAS|>draiidn	d a ɾ ɑː j iː d a n
<|FAS|>ks	k a s
<|FAS|>bkhtr	b e x t a ɾ
<|FAS|>sh'b	ʃ o ʔ a b
<|FAS|>ahng	ɑː h a n ɡ
<|FAS|>tchashni	t ʃ ɑː ʃ n iː
<|FAS|>bz	b o z
<|FAS|>swrti	s uː ɾ a t iː
<|FAS|>hi	h e j
<|FAS|>sliman	s o l e j m ɑː n
<|FAS|>ajazh	e d͡ʒ ɑː z e
<|FAS|>pwshidn	p oː ʃ iː d a n
<|FAS|>qsmt	ɢ i s m a t
<|FAS|>pkhtn	p o x t a n
<|FAS|>brkhwrdar	b a ɾ x o ɾ d ɑː ɾ
<|FAS|>bamdad	b ɑː m d ɑː n
<|FAS|>khkshanha	k a h k a ʃ ɑː n h ɑː
<|FAS|>dtchar	d o t͡ʃ ɑː ɾ
<|FAS|>srwdn	s o ɾ uː d a n
<|FAS|>jambwn	ʒ ɑː m b o n
<|FAS|>ptk	p o t k
<|FAS|>aindh	ɑː j a n d a
<|FAS|>hsab	h e s ɑː b
<|FAS|>hfdh	h a b d a h
<|FAS|>abdst	ɑː b d a s t
<|FAS|>gian	ɡ o j ɑː n
<|FAS|>hnr	h o n a ɾ
<|FAS|>zwrkhanh	z oː ɾ x ɑː n a
<|FAS|>gwah	ɡ o v ɑː h
<|FAS|>srdar	s a ɾ d ɑː ɾ
<|FAS|>mhm	m o h e m m
<|FAS|>asprzh	e s p a ɾ z e
<|FAS|>gi	a ɡ iː
<|FAS|>nskhh	n o s x e
<|FAS|>mrdha	m a ɾ d h ɑː
<|FAS|>mwssh	m o ʔ a s s a s e
<|FAS|>kimia	k iː m i j ɑː
<|FAS|>karwan	k ɑː ɾ v ɑː n
<|FAS|>mhrbani	m e h ɾ a b ɑː n iː
<|FAS|>fda	f a z ɑː
<|FAS|>tqsim	t a ɢ s i m
<|FAS|>zirzmin	z iː ɾ z a m iː n
<|FAS|>pnahndh	p a n ɑː h a n d e
<|FAS|>sdh	s a d a
<|FAS|>trazw	t a ɾ ɑː z uː
<|FAS|>bab	b ɑː b
<|FAS|>thbh	z e b h
<|FAS|>dadar	d ɑː d ɑː r
<|FAS|>alrji	ɑː l i ɾ ʒ iː
<|FAS|>zin	z i n
<|FAS|>dzd	d o z d
<|FAS|>thkr	z a k a ɾ
<|FAS|>msaft	m a s ɑː f a t
<|FAS|>kndn	k a n d a n
<|FAS|>knfrans	k o n f e ɾ ɑː n s
<|FAS|>migh	m e ɢ
<|FAS|>jnsi	d͡ʒ e n s iː
<|FAS|>bish	b e ʃ
<|FAS|>astanhi	ɑː s t ɑː n a iː
<|FAS|>glabi	ɡ o l ɑː b iː
<|FAS|>ziad	z i j ɑː d
<|FAS|>tkidn	t a k i d a n
<|FAS|>bhtan	b o h t u n
<|FAS|>jaigah	d͡ʒ ɑː j ɡ ɑː h
<|FAS|>zistshnas	z iː s t ʃ e n ɑː s
<|FAS|>idwn	e d u n
<|FAS|>babl	b ɑː b i l
<|FAS|>mrbwt	m a ɾ b u t
<|FAS|>ghwr	ɢ o v ɾ
<|FAS|>padash	p ɑː d ɑː ʃ
<|FAS|>bimar	b e m ɑː ɾ
<|FAS|>lthh	l a s e
<|FAS|>albrz	ʔ a l b o ɾ z
<|FAS|>hdih	h a d i j a
<|FAS|>mlaqat	m o l ɑː ɢ ɑː t
<|FAS|>fridwn	f e ɾ e i d uː n
<|FAS|>mjazat	m o d ʒ ɑː z ɑː t
<|FAS|>shwrh	ʃ oː ɾ e
<|FAS|>wir	v i ɾ
<|FAS|>tchmidn	t͡ʃ a m i d a n
<|FAS|>kalbd	k ɑː l b u d
<|FAS|>srprsti	s a ɾ p a ɾ a s t iː
<|FAS|>ikhtchal	j a x t͡ʃ ɑː l
<|FAS|>adgham	e d ɢ ɑː m
<|FAS|>anghwzh	ɑː n ɢ u z a
<|FAS|>prdis	p a ɾ d e s
<|FAS|>hnwz	h a n oː z
<|FAS|>graz	ɡ o ɾ ɑː z
<|FAS|>qhrman	ɢ a h ɾ a m ɑː n
<|FAS|>trsh	t o ɾ ʃ
<|FAS|>bimnak	b i n m ɑː k
<|FAS|>jwlidn	ʒ uː l iː d a n
<|FAS|>wash	v ɑ ʃ
<|FAS|>mikhwahm	m iː x ɑː h a m
<|FAS|>prndgan	p a ɾ a n d a ɡ ɑː n
<|FAS|>swrpraiz	s u r p e ɾ ɑ j z
<|FAS|>dmagh	d a m ɑː ɢ
<|FAS|>khakstri	x ɑː k i s t a ɾ iː
<|FAS|>jrfa	ʒ a ɾ f ɑː
<|FAS|>zrnapa	z u r n ɑː p ɑː
<|FAS|>dindari	d i n d ɑː ɾ iː
<|FAS|>bl'idn	b a l ʔ iː d a n
<|FAS|>that	z ɑː t
<|FAS|>tchish	t ʃ i ʃ
<|FAS|>hmishh	h a m e ʃ a
<|FAS|>mrgh	m o ɾ ɢ
<|FAS|>fsl	f a s l
<|FAS|>iaftn	j ɑː f t a n
