epoch	avg_loss	train_accuracy	dev_accuracy
0	0.8932	0.6500	0.4800
1	0.4325	0.6500	0.5600
2	0.4325	0.7000	0.5700
3	0.3256	0.7000	0.6700
4	0.3084	0.7700	0.6500
5	0.2775	0.7900	0.6800
6	0.2285	0.8200	0.7200
7	0.2101	0.8800	0.8100
8	0.1867	0.8900	0.8200
9	0.1413	0.9200	0.8600
10	0.1363	0.8900	0.8100
11	0.1215	0.9100	0.8300
12	0.1102	0.9300	0.8700
13	0.1044	0.9400	0.8700
14	0.0923	0.9200	0.8500
15	0.0983	0.9300	0.8400
16	0.0644	0.9500	0.8800
17	0.0715	0.9700	0.8500
18	0.0601	0.9500	0.8500
19	0.0648	0.9600	0.8300
20	0.0537	0.9700	0.8700
21	0.0447	0.9800	0.8900
22	0.0547	0.9800	0.8500
23	0.0493	0.9200	0.8300
24	0.0313	0.9800	0.8200
25	0.0364	0.9800	0.8300
26	0.0190	0.9900	0.8600
27	0.0245	0.9900	0.8300
28	0.0163	1.0000	0.8800
29	0.0181	1.0000	0.8600
30	0.0114	1.0000	0.8400
31	0.0125	1.0000	0.8700
32	0.0126	0.9900	0.8600
33	0.0093	1.0000	0.8800
